fixture_id,gameweek,home_team,away_team,p_home,p_draw,p_away,home_xg,away_xg
51,6,Arsenal,Leeds,0.8022,0.1434,0.0544,2.66,0.61
52,6,Aston Villa,Brentford,0.5449,0.2556,0.1995,1.8,1.02
53,6,Chelsea,Bournemouth,0.5893,0.2405,0.1702,1.93,0.96
57,6,Ipswich Town,Fulham,0.3131,0.2879,0.399,1.23,1.42
60,6,Sunderland,Brighton,0.2682,0.2795,0.4523,1.15,1.55
59,6,Man Utd,Spurs,0.4072,0.28,0.3128,1.49,1.28
55,6,Crystal Palace,Nott'm Forest,0.4698,0.2851,0.2452,1.52,1.04
56,6,Hull City,Everton,0.2891,0.2886,0.4223,1.16,1.45
58,6,Liverpool,Man City,0.3747,0.2877,0.3376,1.38,1.3
54,6,Coventry City,Newcastle,0.1857,0.2511,0.5631,0.98,1.84
64,7,Everton,Chelsea,0.2595,0.2804,0.4601,1.12,1.55
62,7,Brentford,Liverpool,0.1972,0.2573,0.5455,1.0,1.79
65,7,Fulham,Hull City,0.6309,0.2268,0.1423,2.03,0.88
67,7,Man City,Ipswich Town,0.8308,0.1241,0.0451,2.89,0.6
68,7,Newcastle,Aston Villa,0.4605,0.2729,0.2666,1.62,1.19
61,7,Bournemouth,Sunderland,0.5721,0.2488,0.1791,1.86,0.96
63,7,Brighton,Crystal Palace,0.4758,0.278,0.2462,1.58,1.08
66,7,Leeds,Man Utd,0.2682,0.2795,0.4523,1.15,1.55
69,7,Nott'm Forest,Arsenal,0.1365,0.2349,0.6286,0.8,1.93
70,7,Spurs,Coventry City,0.7076,0.1915,0.1009,2.32,0.79
77,8,Ipswich Town,Nott'm Forest,0.3673,0.2955,0.3372,1.31,1.25
72,8,Aston Villa,Man City,0.234,0.2681,0.4979,1.09,1.68
71,8,Arsenal,Everton,0.7554,0.1716,0.073,2.41,0.65
74,8,Coventry City,Fulham,0.2733,0.2823,0.4444,1.15,1.52
78,8,Liverpool,Brighton,0.6585,0.2142,0.1273,2.14,0.85
73,8,Chelsea,Spurs,0.4739,0.2704,0.2556,1.65,1.16
75,8,Crystal Palace,Newcastle,0.3072,0.2873,0.4054,1.22,1.43
76,8,Hull City,Brentford,0.2653,0.2798,0.4549,1.14,1.55
79,8,Man Utd,Bournemouth,0.5222,0.2613,0.2164,1.75,1.06
80,8,Sunderland,Leeds,0.3853,0.2905,0.3242,1.38,1.25
84,9,Chelsea,Man Utd,0.5036,0.2647,0.2317,1.72,1.11
82,9,Bournemouth,Leeds,0.5238,0.2649,0.2113,1.72,1.02
83,9,Brentford,Nott'm Forest,0.4728,0.2815,0.2457,1.55,1.06
85,9,Coventry City,Sunderland,0.4081,0.2879,0.3041,1.43,1.21
86,9,Hull City,Ipswich Town,0.3613,0.2897,0.349,1.34,1.31
88,9,Man City,Brighton,0.7113,0.1904,0.0983,2.32,0.77
90,9,Spurs,Crystal Palace,0.5546,0.2551,0.1903,1.8,0.98
81,9,Aston Villa,Fulham,0.529,0.2595,0.2115,1.77,1.05
87,9,Liverpool,Arsenal,0.378,0.2926,0.3294,1.35,1.25
89,9,Newcastle,Everton,0.5922,0.2434,0.1644,1.9,0.91
91,10,Arsenal,Hull City,0.8682,0.1005,0.0313,3.13,0.53
92,10,Brighton,Brentford,0.4788,0.2745,0.2467,1.62,1.11
93,10,Crystal Palace,Liverpool,0.1972,0.2609,0.5419,0.98,1.75
94,10,Everton,Coventry City,0.5514,0.2604,0.1882,1.75,0.94
95,10,Fulham,Newcastle,0.3235,0.2844,0.3921,1.28,1.43
96,10,Ipswich Town,Bournemouth,0.3222,0.2878,0.39,1.26,1.4
97,10,Leeds,Spurs,0.2442,0.2729,0.4829,1.11,1.63
98,10,Man Utd,Aston Villa,0.4204,0.2787,0.3009,1.52,1.26
99,10,Nott'm Forest,Man City,0.1322,0.2264,0.6413,0.82,2.01
100,10,Sunderland,Chelsea,0.1835,0.2491,0.5674,0.98,1.86
101,11,Aston Villa,Sunderland,0.6753,0.2063,0.1184,2.2,0.84
102,11,Bournemouth,Nott'm Forest,0.4809,0.2783,0.2408,1.58,1.06
103,11,Brentford,Everton,0.4572,0.2839,0.2589,1.52,1.09
104,11,Chelsea,Leeds,0.675,0.2077,0.1172,2.18,0.82
105,11,Coventry City,Crystal Palace,0.286,0.2891,0.4249,1.15,1.45
106,11,Hull City,Brighton,0.2288,0.2683,0.503,1.07,1.68
107,11,Liverpool,Man Utd,0.6156,0.2308,0.1536,2.01,0.92
108,11,Man City,Fulham,0.7362,0.1781,0.0857,2.41,0.73
109,11,Newcastle,Arsenal,0.2567,0.2806,0.4626,1.11,1.55
110,11,Spurs,Ipswich Town,0.6648,0.2114,0.1238,2.16,0.84
111,12,Arsenal,Man City,0.4211,0.2904,0.2886,1.43,1.15
112,12,Brighton,Newcastle,0.3514,0.2846,0.3639,1.35,1.38
113,12,Crystal Palace,Hull City,0.6096,0.2379,0.1525,1.93,0.88
114,12,Everton,Liverpool,0.1772,0.2522,0.5706,0.93,1.82
115,12,Fulham,Bournemouth,0.4431,0.2803,0.2767,1.54,1.17
116,12,Ipswich Town,Aston Villa,0.2365,0.2698,0.4937,1.09,1.67
117,12,Leeds,Coventry City,0.4981,0.2736,0.2283,1.63,1.04
118,12,Man Utd,Brentford,0.5273,0.2613,0.2115,1.75,1.04
119,12,Nott'm Forest,Chelsea,0.2462,0.278,0.4758,1.08,1.58
120,12,Sunderland,Spurs,0.2091,0.2595,0.5315,1.04,1.77
121,13,Aston Villa,Everton,0.5702,0.2506,0.1792,1.84,0.95
122,13,Bournemouth,Brighton,0.3948,0.285,0.3202,1.43,1.27
123,13,Brentford,Arsenal,0.1627,0.2469,0.5904,0.89,1.86
124,13,Chelsea,Crystal Palace,0.5899,0.2437,0.1664,1.9,0.92
125,13,Coventry City,Ipswich Town,0.3853,0.2905,0.3242,1.38,1.25
126,13,Hull City,Nott'm Forest,0.3029,0.2913,0.4058,1.19,1.4
127,13,Liverpool,Sunderland,0.8084,0.1372,0.0544,2.77,0.64
128,13,Man City,Leeds,0.8136,0.135,0.0514,2.77,0.62
129,13,Newcastle,Man Utd,0.4766,0.2706,0.2528,1.65,1.15
130,13,Spurs,Fulham,0.5424,0.2557,0.2019,1.8,1.03
131,14,Aston Villa,Crystal Palace,0.5413,0.2592,0.1995,1.77,1.0
132,14,Bournemouth,Hull City,0.6223,0.2298,0.1479,2.01,0.9
133,14,Brentford,Man City,0.1582,0.2389,0.603,0.9,1.93
134,14,Chelsea,Liverpool,0.3269,0.2837,0.3894,1.3,1.43
135,14,Everton,Fulham,0.3843,0.2922,0.3235,1.36,1.23
136,14,Leeds,Ipswich Town,0.4521,0.2833,0.2646,1.52,1.12
137,14,Man Utd,Coventry City,0.6792,0.2054,0.1154,2.2,0.82
138,14,Newcastle,Sunderland,0.6956,0.1973,0.1071,2.27,0.8
139,14,Nott'm Forest,Brighton,0.3413,0.293,0.3656,1.27,1.32
140,14,Spurs,Arsenal,0.249,0.2778,0.4733,1.09,1.58
141,15,Arsenal,Bournemouth,0.7333,0.1814,0.0854,2.36,0.71
142,15,Brighton,Everton,0.5047,0.272,0.2233,1.65,1.03
143,15,Coventry City,Aston Villa,0.2019,0.2575,0.5407,1.02,1.79
144,15,Crystal Palace,Man Utd,0.3429,0.2896,0.3675,1.3,1.35
145,15,Fulham,Brentford,0.4483,0.2809,0.2707,1.54,1.15
146,15,Hull City,Spurs,0.1745,0.2428,0.5826,0.97,1.92
147,15,Ipswich Town,Newcastle,0.2188,0.2649,0.5163,1.05,1.72
148,15,Liverpool,Leeds,0.7707,0.1596,0.0697,2.56,0.68
149,15,Man City,Chelsea,0.607,0.2351,0.1578,1.97,0.92
150,15,Sunderland,Nott'm Forest,0.3465,0.2949,0.3586,1.27,1.3
151,16,Arsenal,Man Utd,0.6582,0.2171,0.1246,2.1,0.82
152,16,Bournemouth,Coventry City,0.5942,0.2416,0.1642,1.92,0.92
153,16,Brentford,Newcastle,0.3084,0.2839,0.4077,1.25,1.46
154,16,Brighton,Ipswich Town,0.5876,0.2439,0.1684,1.9,0.93
155,16,Chelsea,Aston Villa,0.4875,0.2677,0.2449,1.68,1.14
156,16,Leeds,Fulham,0.3335,0.2902,0.3764,1.27,1.36
157,16,Liverpool,Spurs,0.5869,0.2408,0.1723,1.93,0.97
158,16,Man City,Hull City,0.8778,0.0932,0.0291,3.25,0.54
159,16,Nott'm Forest,Everton,0.4086,0.2959,0.2956,1.38,1.14
160,16,Sunderland,Crystal Palace,0.3061,0.2908,0.4032,1.2,1.4
161,17,Aston Villa,Leeds,0.6287,0.2272,0.1441,2.03,0.89
162,17,Coventry City,Chelsea,0.1683,0.2421,0.5896,0.94,1.92
163,17,Crystal Palace,Arsenal,0.163,0.2507,0.5864,0.87,1.82
164,17,Everton,Sunderland,0.5293,0.2666,0.2041,1.7,0.98
165,17,Fulham,Brighton,0.4039,0.2851,0.311,1.45,1.25
166,17,Hull City,Liverpool,0.0937,0.1851,0.7212,0.76,2.36
167,17,Ipswich Town,Brentford,0.3275,0.2899,0.3827,1.26,1.38
168,17,Man Utd,Nott'm Forest,0.5683,0.2524,0.1793,1.82,0.94
169,17,Newcastle,Man City,0.2523,0.2741,0.4736,1.13,1.62
170,17,Spurs,Bournemouth,0.5534,0.2517,0.1948,1.84,1.02
171,18,Aston Villa,Liverpool,0.2831,0.2778,0.4391,1.21,1.55
172,18,Coventry City,Brentford,0.287,0.2856,0.4274,1.17,1.48
173,18,Crystal Palace,Bournemouth,0.4236,0.2869,0.2895,1.46,1.17
174,18,Everton,Man City,0.1412,0.2321,0.6267,0.84,1.97
175,18,Fulham,Arsenal,0.173,0.2518,0.5752,0.91,1.82
176,18,Hull City,Leeds,0.3395,0.2904,0.3701,1.28,1.35
177,18,Ipswich Town,Chelsea,0.1995,0.2574,0.5431,1.01,1.79
178,18,Man Utd,Sunderland,0.6585,0.2142,0.1273,2.14,0.85
179,18,Newcastle,Nott'm Forest,0.6074,0.2383,0.1543,1.93,0.89
180,18,Spurs,Brighton,0.513,0.2631,0.224,1.73,1.08
181,19,Arsenal,Ipswich Town,0.8198,0.1323,0.0479,2.77,0.59
182,19,Bournemouth,Aston Villa,0.3364,0.2834,0.3803,1.32,1.42
183,19,Brentford,Crystal Palace,0.4288,0.2878,0.2835,1.46,1.15
184,19,Brighton,Man Utd,0.3894,0.2837,0.3269,1.43,1.3
185,19,Chelsea,Newcastle,0.4631,0.2732,0.2637,1.62,1.17
186,19,Leeds,Everton,0.3734,0.2953,0.3312,1.32,1.23
187,19,Liverpool,Coventry City,0.8239,0.128,0.0481,2.86,0.62
188,19,Man City,Spurs,0.6437,0.2201,0.1362,2.1,0.88
189,19,Nott'm Forest,Fulham,0.3683,0.2938,0.3379,1.32,1.26
190,19,Sunderland,Hull City,0.4814,0.2746,0.244,1.62,1.09
191,20,Arsenal,Brentford,0.7366,0.1803,0.0831,2.36,0.7
192,20,Brighton,Bournemouth,0.4736,0.2741,0.2523,1.62,1.13
193,20,Crystal Palace,Chelsea,0.2844,0.2843,0.4313,1.17,1.49
194,20,Everton,Aston Villa,0.3015,0.2867,0.4119,1.21,1.45
195,20,Fulham,Spurs,0.333,0.2841,0.383,1.31,1.42
196,20,Ipswich Town,Coventry City,0.4758,0.278,0.2462,1.58,1.08
197,20,Leeds,Man City,0.1113,0.2059,0.6828,0.79,2.18
198,20,Man Utd,Newcastle,0.3969,0.2816,0.3215,1.46,1.3
199,20,Nott'm Forest,Hull City,0.5621,0.2563,0.1816,1.79,0.93
200,20,Sunderland,Liverpool,0.1172,0.2077,0.675,0.82,2.18
201,21,Aston Villa,Man Utd,0.4537,0.2741,0.2722,1.6,1.2
202,21,Bournemouth,Ipswich Town,0.548,0.2572,0.1949,1.79,0.99
203,21,Brentford,Brighton,0.3873,0.2871,0.3255,1.4,1.27
204,21,Chelsea,Sunderland,0.7194,0.1856,0.095,2.36,0.77
205,21,Coventry City,Everton,0.3112,0.2931,0.3957,1.2,1.38
206,21,Hull City,Arsenal,0.0742,0.1689,0.757,0.68,2.46
207,21,Liverpool,Crystal Palace,0.6949,0.2001,0.105,2.23,0.77
208,21,Man City,Nott'm Forest,0.7795,0.1563,0.0642,2.56,0.64
209,21,Newcastle,Fulham,0.5516,0.2535,0.1948,1.82,1.01
210,21,Spurs,Leeds,0.6416,0.2219,0.1365,2.08,0.87
211,22,Arsenal,Newcastle,0.6203,0.2332,0.1465,1.97,0.87
212,22,Brighton,Man City,0.188,0.2531,0.5589,0.98,1.82
213,22,Crystal Palace,Spurs,0.3163,0.2873,0.3964,1.25,1.42
214,22,Everton,Brentford,0.3994,0.2919,0.3086,1.39,1.2
215,22,Fulham,Aston Villa,0.3452,0.2845,0.3702,1.34,1.39
216,22,Ipswich Town,Hull City,0.5039,0.2701,0.226,1.67,1.05
217,22,Leeds,Chelsea,0.2163,0.2649,0.5188,1.04,1.72
218,22,Man Utd,Liverpool,0.2689,0.2761,0.455,1.17,1.58
219,22,Nott'm Forest,Bournemouth,0.378,0.2926,0.3294,1.35,1.25
220,22,Sunderland,Coventry City,0.4535,0.2816,0.2649,1.54,1.13
221,23,Aston Villa,Ipswich Town,0.6522,0.2169,0.1309,2.12,0.86
222,23,Bournemouth,Fulham,0.4234,0.283,0.2936,1.49,1.21
223,23,Brentford,Man Utd,0.3444,0.2862,0.3693,1.32,1.38
224,23,Chelsea,Nott'm Forest,0.633,0.228,0.139,2.01,0.85
225,23,Coventry City,Leeds,0.363,0.2923,0.3447,1.32,1.28
226,23,Hull City,Crystal Palace,0.2646,0.2833,0.4521,1.12,1.52
227,23,Liverpool,Everton,0.7202,0.1878,0.092,2.32,0.73
228,23,Man City,Arsenal,0.4339,0.2886,0.2775,1.46,1.13
229,23,Newcastle,Brighton,0.5222,0.2613,0.2164,1.75,1.06
230,23,Spurs,Sunderland,0.6876,0.2006,0.1118,2.25,0.82
231,24,Arsenal,Liverpool,0.4809,0.2783,0.2408,1.58,1.06
232,24,Brighton,Hull City,0.6606,0.2138,0.1257,2.14,0.84
233,24,Crystal Palace,Coventry City,0.5817,0.2495,0.1688,1.84,0.9
234,24,Everton,Newcastle,0.2814,0.2847,0.4339,1.16,1.49
235,24,Fulham,Man City,0.1684,0.2439,0.5876,0.93,1.9
236,24,Ipswich Town,Spurs,0.2263,0.2666,0.5071,1.07,1.7
237,24,Leeds,Bournemouth,0.3429,0.2896,0.3675,1.3,1.35
238,24,Man Utd,Chelsea,0.3712,0.2828,0.346,1.4,1.35
239,24,Nott'm Forest,Brentford,0.3832,0.294,0.3228,1.35,1.22
240,24,Sunderland,Aston Villa,0.2189,0.2631,0.518,1.06,1.73
241,25,Aston Villa,Bournemouth,0.54,0.2558,0.2043,1.8,1.04
242,25,Coventry City,Liverpool,0.1061,0.1987,0.6952,0.79,2.25
243,25,Crystal Palace,Brentford,0.4288,0.2878,0.2835,1.46,1.15
244,25,Everton,Leeds,0.4818,0.2803,0.2379,1.57,1.04
245,25,Fulham,Nott'm Forest,0.4899,0.277,0.2331,1.6,1.04
246,25,Hull City,Sunderland,0.3837,0.2881,0.3282,1.39,1.27
247,25,Ipswich Town,Arsenal,0.1044,0.2035,0.6922,0.75,2.18
248,25,Man Utd,Brighton,0.4818,0.271,0.2472,1.65,1.13
249,25,Newcastle,Chelsea,0.4099,0.2805,0.3095,1.49,1.27
250,25,Spurs,Man City,0.2444,0.2711,0.4844,1.12,1.65
251,26,Arsenal,Fulham,0.7236,0.1868,0.0896,2.32,0.72
252,26,Bournemouth,Crystal Palace,0.4365,0.2851,0.2784,1.49,1.15
253,26,Brentford,Coventry City,0.5857,0.2458,0.1686,1.88,0.92
254,26,Brighton,Spurs,0.3612,0.2838,0.3549,1.38,1.36
255,26,Chelsea,Ipswich Town,0.6975,0.1968,0.1057,2.27,0.79
256,26,Leeds,Aston Villa,0.2548,0.2756,0.4696,1.13,1.6
257,26,Liverpool,Hull City,0.8438,0.1151,0.0411,3.0,0.6
258,26,Man City,Newcastle,0.633,0.225,0.142,2.05,0.89
259,26,Nott'm Forest,Man Utd,0.3009,0.2884,0.4107,1.2,1.43
260,26,Sunderland,Everton,0.332,0.2936,0.3744,1.25,1.34
261,27,Aston Villa,Chelsea,0.3877,0.2814,0.331,1.45,1.32
262,27,Coventry City,Bournemouth,0.2818,0.283,0.4352,1.17,1.51
263,27,Crystal Palace,Sunderland,0.5598,0.2565,0.1837,1.79,0.94
264,27,Everton,Nott'm Forest,0.4402,0.2914,0.2684,1.45,1.08
265,27,Fulham,Leeds,0.5329,0.2629,0.2042,1.73,1.0
266,27,Hull City,Man City,0.0706,0.1602,0.7692,0.69,2.56
267,27,Ipswich Town,Brighton,0.2874,0.2839,0.4287,1.19,1.49
268,27,Man Utd,Arsenal,0.2259,0.2719,0.5022,1.04,1.65
269,27,Newcastle,Brentford,0.5674,0.2491,0.1835,1.86,0.98
270,27,Spurs,Liverpool,0.2946,0.2796,0.4258,1.23,1.52
271,28,Arsenal,Crystal Palace,0.732,0.1842,0.0839,2.32,0.68
272,28,Bournemouth,Spurs,0.3242,0.2827,0.3931,1.3,1.45
273,28,Brentford,Ipswich Town,0.5395,0.261,0.1995,1.75,0.99
274,28,Brighton,Fulham,0.4629,0.2769,0.2602,1.58,1.14
275,28,Chelsea,Coventry City,0.7385,0.1762,0.0853,2.44,0.74
276,28,Leeds,Hull City,0.5263,0.2648,0.2089,1.72,1.01
277,28,Liverpool,Aston Villa,0.6002,0.236,0.1638,1.97,0.95
278,28,Man City,Everton,0.7676,0.1629,0.0695,2.51,0.66
279,28,Nott'm Forest,Newcastle,0.2674,0.283,0.4495,1.13,1.52
280,28,Sunderland,Man Utd,0.2314,0.2682,0.5004,1.08,1.68
281,29,Aston Villa,Hull City,0.7217,0.1837,0.0946,2.39,0.78
282,29,Bournemouth,Newcastle,0.3149,0.2828,0.4023,1.27,1.46
283,29,Chelsea,Arsenal,0.2784,0.2851,0.4365,1.15,1.49
284,29,Coventry City,Man City,0.0809,0.174,0.7451,0.71,2.44
285,29,Crystal Palace,Fulham,0.4133,0.2889,0.2978,1.43,1.19
286,29,Leeds,Brighton,0.3072,0.2873,0.4054,1.22,1.43
287,29,Liverpool,Ipswich Town,0.79,0.1483,0.0617,2.66,0.66
288,29,Man Utd,Everton,0.5528,0.2569,0.1903,1.79,0.97
290,29,Spurs,Nott'm Forest,0.5987,0.241,0.1603,1.92,0.9
289,29,Sunderland,Brentford,0.3072,0.2873,0.4054,1.22,1.43
291,30,Arsenal,Sunderland,0.8365,0.1215,0.042,2.89,0.57
292,30,Brentford,Bournemouth,0.426,0.2834,0.2905,1.49,1.2
293,30,Brighton,Coventry City,0.633,0.2265,0.1405,2.03,0.87
294,30,Everton,Spurs,0.29,0.2852,0.4248,1.19,1.48
295,30,Fulham,Liverpool,0.209,0.2612,0.5297,1.03,1.75
296,30,Hull City,Chelsea,0.1517,0.2305,0.6179,0.91,2.01
297,30,Ipswich Town,Crystal Palace,0.3261,0.2933,0.3806,1.23,1.35
298,30,Man City,Man Utd,0.671,0.2087,0.1203,2.18,0.84
299,30,Newcastle,Leeds,0.65,0.2188,0.1311,2.1,0.85
300,30,Nott'm Forest,Aston Villa,0.287,0.2856,0.4274,1.17,1.48
301,31,Aston Villa,Brighton,0.4994,0.2664,0.2342,1.7,1.11
302,31,Bournemouth,Man City,0.1621,0.2394,0.5985,0.92,1.93
303,31,Chelsea,Fulham,0.5783,0.2449,0.1768,1.9,0.97
304,31,Coventry City,Arsenal,0.0846,0.1828,0.7326,0.7,2.34
305,31,Crystal Palace,Everton,0.4544,0.2874,0.2582,1.49,1.07
306,31,Leeds,Nott'm Forest,0.3884,0.2953,0.3163,1.35,1.2
307,31,Liverpool,Newcastle,0.576,0.2451,0.1789,1.9,0.98
308,31,Man Utd,Hull City,0.7058,0.192,0.1023,2.32,0.79
310,31,Spurs,Brentford,0.5583,0.2515,0.1902,1.84,1.0
309,31,Sunderland,Ipswich Town,0.4081,0.2879,0.3041,1.43,1.21
311,32,Arsenal,Aston Villa,0.6436,0.223,0.1334,2.05,0.84
312,32,Brentford,Leeds,0.5155,0.2685,0.2161,1.68,1.02
313,32,Brighton,Chelsea,0.3269,0.2837,0.3894,1.3,1.43
314,32,Everton,Bournemouth,0.3942,0.2907,0.315,1.39,1.22
315,32,Fulham,Sunderland,0.5811,0.2463,0.1727,1.88,0.94
316,32,Hull City,Coventry City,0.4054,0.2873,0.3072,1.43,1.22
317,32,Ipswich Town,Man Utd,0.2495,0.2743,0.4762,1.12,1.62
318,32,Man City,Crystal Palace,0.7445,0.1754,0.0802,2.41,0.7
319,32,Newcastle,Spurs,0.447,0.2751,0.2779,1.58,1.21
320,32,Nott'm Forest,Liverpool,0.1667,0.2474,0.5859,0.9,1.86
321,33,Aston Villa,Coventry City,0.6956,0.1973,0.1071,2.27,0.8
322,33,Bournemouth,Arsenal,0.1667,0.2474,0.5859,0.9,1.86
323,33,Brentford,Fulham,0.4157,0.2855,0.2988,1.46,1.21
324,33,Chelsea,Man City,0.2741,0.2789,0.447,1.17,1.55
325,33,Everton,Brighton,0.3569,0.2923,0.3508,1.31,1.3
326,33,Leeds,Liverpool,0.1425,0.2287,0.6288,0.87,2.01
327,33,Man Utd,Crystal Palace,0.5238,0.2649,0.2113,1.72,1.02
328,33,Newcastle,Ipswich Town,0.673,0.2082,0.1188,2.18,0.83
329,33,Nott'm Forest,Sunderland,0.5121,0.2721,0.2159,1.65,1.0
330,33,Spurs,Hull City,0.7333,0.1778,0.0889,2.44,0.76
331,34,Arsenal,Spurs,0.6309,0.2283,0.1407,2.01,0.86
332,34,Brighton,Nott'm Forest,0.5203,0.2685,0.2112,1.68,1.0
333,34,Coventry City,Man Utd,0.2139,0.2631,0.523,1.04,1.73
334,34,Crystal Palace,Aston Villa,0.3282,0.2881,0.3837,1.27,1.39
335,34,Fulham,Everton,0.4743,0.2798,0.246,1.57,1.07
336,34,Hull City,Bournemouth,0.2602,0.2769,0.4629,1.14,1.58
337,34,Ipswich Town,Leeds,0.4069,0.2896,0.3035,1.42,1.2
338,34,Liverpool,Chelsea,0.5492,0.2537,0.1972,1.82,1.02
339,34,Man City,Brentford,0.749,0.1716,0.0794,2.46,0.71
340,34,Sunderland,Newcastle,0.2019,0.2575,0.5407,1.02,1.79
341,35,Bournemouth,Man Utd,0.3514,0.2846,0.3639,1.35,1.38
342,35,Brentford,Aston Villa,0.3296,0.2847,0.3857,1.3,1.42
343,35,Brighton,Sunderland,0.6115,0.2345,0.154,1.97,0.9
344,35,Everton,Hull City,0.5794,0.2497,0.1708,1.84,0.91
345,35,Fulham,Ipswich Town,0.557,0.2549,0.1881,1.8,0.97
346,35,Leeds,Arsenal,0.1155,0.2145,0.67,0.77,2.1
347,35,Man City,Liverpool,0.4921,0.2715,0.2363,1.65,1.08
348,35,Newcastle,Coventry City,0.7154,0.188,0.0966,2.34,0.77
349,35,Nott'm Forest,Crystal Palace,0.3812,0.2974,0.3214,1.32,1.2
350,35,Spurs,Chelsea,0.4007,0.2805,0.3188,1.48,1.3
351,36,Arsenal,Nott'm Forest,0.7674,0.1651,0.0675,2.46,0.63
352,36,Aston Villa,Newcastle,0.4138,0.2793,0.3069,1.51,1.27
353,36,Chelsea,Everton,0.6181,0.2335,0.1484,1.97,0.88
354,36,Coventry City,Spurs,0.1925,0.2534,0.554,1.0,1.82
355,36,Crystal Palace,Brighton,0.3853,0.2905,0.3242,1.38,1.25
356,36,Hull City,Fulham,0.252,0.2758,0.4722,1.12,1.6
357,36,Ipswich Town,Man City,0.1003,0.1948,0.7049,0.76,2.27
358,36,Liverpool,Brentford,0.6994,0.1963,0.1043,2.27,0.79
359,36,Man Utd,Leeds,0.6115,0.2345,0.154,1.97,0.9
360,36,Sunderland,Bournemouth,0.302,0.285,0.413,1.22,1.46
