player_id,name,web_name,club,position,price,status,chance_of_playing
30,Lucas Digne,Digne,Aston Villa,DEF,4.5,u,0
32,Matty Cash,Cash,Aston Villa,DEF,4.5,a,100
33,Tyrone Mings,Mings,Aston Villa,DEF,4.5,a,100
34,Pau Torres,Pau,Aston Villa,DEF,4.5,a,100
35,Lamare Bogarde,Bogarde,Aston Villa,MID,5.0,a,100
36,Ian Maatsen,Maatsen,Aston Villa,DEF,4.5,a,100
37,Victor Lindelöf,Lindelöf,Aston Villa,DEF,4.5,a,100
38,Andrés García,A.García,Aston Villa,DEF,4.0,a,100
39,Kosta Nedeljkovic,Nedeljkovic,Aston Villa,DEF,4.0,u,0
41,Emiliano Buendía Stati,Buendía,Aston Villa,MID,6.0,a,100
44,Leon Bailey,Bailey,Aston Villa,MID,5.5,a,100
45,John McGinn,McGinn,Aston Villa,MID,5.5,a,100
46,Ross Barkley,Barkley,Aston Villa,MID,5.0,a,100
47,Boubacar Kamara,Kamara,Aston Villa,MID,5.0,a,100
48,Amadou Onana,Onana,Aston Villa,MID,5.0,i,0
49,Samuel Iling-Junior,Iling Jr,Aston Villa,MID,5.0,u,0
50,Bradley Burrowes,Burrowes,Aston Villa,MID,4.5,a,100
51,George Hemmings,George Hemmings,Aston Villa,MID,4.5,a,100
52,Alysson Edward Franco da Rocha dos Santos,Alysson,Aston Villa,MID,5.0,a,100
53,Johan Manzambi,Manzambi,Aston Villa,MID,6.0,i,0
54,Joao Gomes,Gomes,Aston Villa,MID,5.5,s,0
55,Ollie Watkins,Watkins,Aston Villa,FWD,7.9,a,100
56,Tammy Abraham,Abraham,Aston Villa,FWD,5.5,d,75
160,Alejandro Garnacho Ferreyra,Garnacho,Aston Villa,MID,6.0,a,100
582,Brian Madjo,Madjo,Aston Villa,FWD,5.5,i,0
596,Matteo Ruggeri,Ruggeri,Aston Villa,DEF,4.5,a,100
597,Zion Suzuki,Suzuki,Aston Villa,GK,5.0,a,100
606,Triston Rowe,Rowe,Aston Villa,DEF,4.0,a,100
607,Luka Lynch,Lynch,Aston Villa,MID,4.5,a,100
611,Aaron Wan-Bissaka,Wan-Bissaka,Aston Villa,DEF,4.5,a,100
618,Leon Goretzka,Goretzka,Aston Villa,MID,6.0,a,100
57,Đorđe Petrović,Petrović,Bournemouth,GK,4.5,a,100
58,Fraser Forster,Forster,Bournemouth,GK,4.0,a,100
59,Will Dennis,Dennis,Bournemouth,GK,4.0,u,0
60,James Hill,Hill,Bournemouth,DEF,5.5,a,100
61,Adrien Truffert,Truffert,Bournemouth,DEF,5.5,a,100
62,Bafodé Diakité,Diakité,Bournemouth,DEF,5.0,a,100
63,Veljko Milosavljevic,Milosavljević,Bournemouth,DEF,5.0,i,0
64,Adam Smith,Smith,Bournemouth,DEF,4.5,a,100
65,Julián Araujo Zúñiga,J.Araujo,Bournemouth,DEF,4.5,i,0
66,Julio Soler Barreto,Soler,Bournemouth,DEF,4.0,d,75
67,Rayan Vitor Simplício Rocha,Rayan,Bournemouth,MID,6.5,a,100
68,Marcus Tavernier,Tavernier,Bournemouth,MID,6.0,a,100
69,Alex Scott,Scott,Bournemouth,MID,6.0,a,100
70,Justin Kluivert,Kluivert,Bournemouth,MID,6.0,a,100
71,Lewis Cook,Cook,Bournemouth,MID,5.0,a,100
72,Ben Gannon-Doak,Gannon-Doak,Bournemouth,MID,5.0,a,100
73,Tyler Adams,Adams,Bournemouth,MID,5.0,a,100
74,David Brooks,Brooks,Bournemouth,MID,5.0,a,100
75,Ryan Christie,Christie,Bournemouth,MID,5.0,a,100
76,Alex Tóth,Tóth.A,Bournemouth,MID,5.0,a,100
77,Amine Adli,Adli,Bournemouth,MID,5.0,i,0
78,Junior Kroupi,Kroupi.Jr,Bournemouth,MID,7.5,i,0
79,Francisco Evanilson de Lima Barbosa,Evanilson,Bournemouth,FWD,6.0,a,100
80,Enes Ünal,Enes Ünal,Bournemouth,FWD,5.5,u,0
81,Álvaro Rodríguez,Rodríguez,Bournemouth,FWD,6.0,a,100
566,António João Pereira de Albuquerque Tavares da Silva,Silva,Bournemouth,DEF,5.0,a,100
573,Juanlu Sánchez,Sanchez,Bournemouth,DEF,4.5,a,100
608,Daniel Jebbison,Jebbison,Bournemouth,FWD,5.0,a,100
615,Michele Di Gregorio,Di Gregorio,Bournemouth,GK,4.5,a,100
82,Caoimhín Kelleher,Kelleher,Brentford,GK,5.0,a,100
83,Hákon Rafn Valdimarsson,Valdimarsson,Brentford,GK,4.5,a,100
84,Nathan Collins,Collins,Brentford,DEF,5.5,a,100
85,Sepp van den Berg,Van den Berg,Brentford,DEF,5.0,i,0
86,Keane Lewis-Potter,Lewis-Potter,Brentford,MID,5.5,a,100
87,Kristoffer Ajer,Ajer,Brentford,DEF,4.5,a,100
88,Michael Kayode,Kayode,Brentford,DEF,4.6,a,100
89,Rico Henry,Henry,Brentford,DEF,4.5,a,100
90,Aaron Hickey,Hickey,Brentford,DEF,4.5,a,100
92,Kim Ji-soo,Ji-soo,Brentford,DEF,4.5,a,100
93,Jannik Schuster,Schuster,Brentford,DEF,4.5,a,100
94,Kevin Schade,Schade,Brentford,MID,6.0,a,100
95,Dango Ouattara,O.Dango,Brentford,MID,6.5,a,100
96,Mikkel Damsgaard,Damsgaard,Brentford,MID,5.5,a,100
97,Mathias Jensen,Jensen,Brentford,MID,5.5,a,100
98,Vitaly Janelt,Janelt,Brentford,MID,5.0,a,100
99,Antoni Milambo,Milambo,Brentford,MID,5.0,i,0
100,Fábio Freitas Gouveia Carvalho,Carvalho,Brentford,MID,5.0,a,100
102,Yehor Yarmoliuk,Yarmoliuk,Brentford,MID,5.0,a,100
103,Josh Dasilva,Dasilva,Brentford,MID,5.0,a,100
105,Jaidon Anthony,Anthony,Brentford,MID,6.0,a,100
106,Igor Thiago Nascimento Rodrigues,Thiago,Brentford,FWD,8.0,a,100
107,Kaye Furo,Furo,Brentford,FWD,4.5,a,100
108,Callum Wilson,Wilson,Brentford,FWD,5.5,a,100
565,Mamadou Sangaré,M.Sangaré,Brentford,MID,5.6,a,100
620,El Hadji Malick Diouf,Diouf,Brentford,DEF,4.5,a,100
109,Bart Verbruggen,Verbruggen,Brighton,GK,4.5,a,100
111,Jason Steele,Steele,Brighton,GK,4.0,a,100
113,Ferdi Kadıoğlu,F.Kadıoğlu,Brighton,DEF,4.5,a,100
114,Olivier Boscagli,Boscagli,Brighton,DEF,4.5,a,100
115,Maxim De Cuyper,De Cuyper,Brighton,DEF,4.6,a,100
116,Lewis Dunk,Dunk,Brighton,DEF,4.5,a,100
117,Diego Coppola,Coppola,Brighton,DEF,4.5,a,100
118,Igor Julio dos Santos de Paulo,Igor,Brighton,DEF,4.5,a,100
119,João Pedro Loureiro da Costa,Costinha,Brighton,DEF,4.5,a,100
120,Michael Svoboda,Svoboda,Brighton,DEF,5.0,a,100
121,Mitoma Kaoru,Mitoma,Brighton,MID,6.0,i,0
122,Yankuba Minteh,Minteh,Brighton,MID,6.0,i,0
123,Jack Hinshelwood,Hinshelwood,Brighton,MID,6.0,d,25
124,Pascal Groß,Groß,Brighton,MID,5.5,a,100
125,Georginio Rutter,Georginio,Brighton,FWD,5.5,d,75
126,Matt O'Riley,O'Riley,Brighton,MID,5.5,a,100
127,Diego Gómez Amarilla,Gomez,Brighton,MID,5.0,a,100
128,Facundo Buonanotte,Buonanotte,Brighton,MID,5.0,u,0
129,Yasin Ayari,Ayari,Brighton,MID,5.5,a,100
130,Mats Wieffer,Wieffer,Brighton,DEF,5.0,a,100
132,Harry Howell,Howell,Brighton,MID,4.5,u,0
133,Tom Watson,Watson,Brighton,MID,5.0,u,0
134,Nehemiah Oriola,Oriola,Brighton,MID,4.5,a,100
135,Zadok Yohanna,Yohanna,Brighton,MID,5.0,a,100
137,Stefanos Tzimas,Tzimas,Brighton,FWD,5.5,i,0
138,Charalampos Kostoulas,Kostoulas,Brighton,FWD,5.5,a,100
139,Evan Ferguson,Ferguson,Brighton,FWD,5.0,i,0
328,Pascal Struijk,Struijk,Brighton,DEF,5.0,a,100
504,Luka Vušković,Vuskovic,Brighton,DEF,5.0,a,100
594,Promise David,David,Brighton,FWD,6.0,a,100
600,Ibrahim Osman,Osman,Brighton,MID,5.0,a,100
605,Malick Yalcouyé,Yalcouyé,Brighton,MID,4.5,a,100
614,Jaouen Hadjam,Hadjam,Brighton,DEF,4.5,a,100
40,Morgan Rogers,Rogers,Chelsea,MID,7.5,a,100
101,Jordan Henderson,Henderson,Chelsea,MID,5.0,d,75
136,Danny Welbeck,Welbeck,Chelsea,FWD,6.0,a,100
140,Robert Lynch Sánchez,Sánchez,Chelsea,GK,5.0,a,100
141,Filip Jörgensen,Jörgensen,Chelsea,GK,5.0,u,0
142,Reece James,James,Chelsea,DEF,5.5,a,100
143,Trevoh Chalobah,Chalobah,Chelsea,DEF,5.5,u,0
144,Malo Gusto,Gusto,Chelsea,DEF,5.0,a,100
145,Wesley Fofana,Fofana,Chelsea,DEF,5.0,a,100
146,Benoît Badiashile Mukinayi,B.Badiashile,Chelsea,DEF,4.5,u,0
147,Tosin Adarabioyo,Tosin,Chelsea,DEF,4.5,a,100
148,Jorrel Hato,Hato,Chelsea,DEF,4.5,a,100
149,Levi Samuels Colwill,Colwill,Chelsea,DEF,5.0,a,100
150,Mamadou Sarr,M.Sarr,Chelsea,DEF,4.5,a,100
151,Josh Acheampong,Acheampong,Chelsea,DEF,4.5,a,100
152,Marco Palestra,Palestra,Chelsea,DEF,5.5,d,75
154,Cole Palmer,Palmer,Chelsea,MID,9.5,a,100
155,Enzo Fernández,Enzo,Chelsea,MID,7.0,a,100
156,Pedro Lomba Neto,Neto,Chelsea,MID,6.5,a,100
157,Estêvão Almeida de Oliveira Gonçalves,Estêvão,Chelsea,MID,6.5,a,100
158,Jamie Bynoe-Gittens,Gittens,Chelsea,MID,6.0,a,100
159,Moisés Caicedo Corozo,Caicedo,Chelsea,MID,5.5,d,75
161,Roméo Lavia,Lavia,Chelsea,MID,5.0,a,100
163,Dário Luís Essugo,D.Essugo,Chelsea,MID,4.5,a,100
164,Geovany Quenda,Quenda,Chelsea,MID,5.5,a,100
165,João Pedro Junqueira de Jesus,João Pedro,Chelsea,FWD,7.6,a,100
166,Nicolas Jackson,N.Jackson,Chelsea,FWD,6.5,a,100
168,Marc Guiu Paz,Marc Guiu,Chelsea,FWD,5.0,a,100
169,Shumaira Mheuka,Mheuka,Chelsea,FWD,4.5,a,100
170,Emmanuel Emegha,Emegha,Chelsea,FWD,5.0,a,100
200,Maxence Lacroix,Lacroix,Chelsea,DEF,6.0,a,100
560,Mike Penders,Penders,Chelsea,GK,4.5,a,100
561,Aaron Anselmino,Anselmino,Chelsea,DEF,4.5,a,100
568,Valentín Barco,Barco,Chelsea,MID,5.5,a,100
578,Mykhailo Mudryk,Mudryk,Chelsea,MID,5.5,a,100
583,Pep Chavarría,Chavarria,Chelsea,DEF,5.0,a,100
91,Ethan Pinnock,Pinnock,Coventry City,DEF,4.5,a,100
104,Frank Onyeka,Onyeka,Coventry City,MID,5.0,a,100
110,Carl Rushworth,Rushworth,Coventry City,GK,4.5,a,100
171,Oliver Dovin,Dovin,Coventry City,GK,4.0,a,100
172,Ben Wilson,Wilson,Coventry City,GK,4.5,a,100
173,Bobby Thomas,Thomas,Coventry City,DEF,4.0,a,100
174,Liam Kitching,Kitching,Coventry City,DEF,4.0,a,100
175,Milan van Ewijk,van Ewijk,Coventry City,DEF,4.0,a,100
176,Jay Dasilva,Dasilva,Coventry City,DEF,4.0,a,100
177,Kaine Kesler-Hayden,Kesler-Hayden,Coventry City,DEF,4.0,i,0
178,Jake Bidwell,Bidwell,Coventry City,DEF,4.0,a,100
179,Joel Latibeaudiere,Latibeaudiere,Coventry City,DEF,4.0,a,100
180,Luke Woolfenden,Woolfenden,Coventry City,DEF,4.0,i,0
181,Miguel Brau,Brau,Coventry City,DEF,4.0,a,100
182,Aurèle Amenda,Amenda,Coventry City,DEF,4.0,a,100
183,Jack Rudoni,Rudoni,Coventry City,MID,5.0,a,100
184,Matt Grimes,Grimes,Coventry City,MID,5.0,a,100
185,Tatsuhiro Sakamoto,Sakamoto,Coventry City,MID,5.0,a,100
186,Ephron Mason-Clark,Mason-Clark,Coventry City,MID,5.5,a,100
187,Josh Eccles,Eccles,Coventry City,MID,5.0,a,100
188,Victor Torp,Torp,Coventry City,MID,5.5,a,100
189,George Shepherd,Shepherd,Coventry City,MID,4.5,a,100
190,Loum Tchaouna,Tchaouna,Coventry City,MID,5.5,a,100
191,Raphael Borges Rodrigues,Borges Rodrigues,Coventry City,MID,4.5,a,100
192,Kai Andrews,Andrews,Coventry City,MID,4.5,a,100
193,Haji Wright,Wright,Coventry City,FWD,5.5,i,0
194,Brandon Thomas-Asante,Thomas-Asante,Coventry City,FWD,5.0,a,100
195,Ellis Simms,Simms,Coventry City,FWD,5.0,a,100
196,Jahnoah Markelo,Markelo,Coventry City,FWD,5.0,u,0
197,Norman Bassette,Bassette,Coventry City,FWD,4.5,u,0
492,Taiwo Awoniyi,Awoniyi,Coventry City,FWD,5.5,a,100
575,Caleb Yirenkyi,Yirenkyi,Coventry City,MID,5.0,a,100
584,Gustavo Hamer,Hamer,Coventry City,MID,5.5,a,100
599,Sidiki Cherif,Cherif,Coventry City,FWD,5.0,a,100
42,Evann Guessand,Guessand,Crystal Palace,MID,5.5,a,100
153,Axel Disasi,Disasi,Crystal Palace,DEF,4.5,a,100
198,Dean Henderson,Henderson,Crystal Palace,GK,5.0,a,100
199,Walter Benítez,Benitez,Crystal Palace,GK,4.5,a,100
201,Daniel Muñoz Mejía,Muñoz,Crystal Palace,DEF,5.5,a,100
202,Chris Richards,Richards,Crystal Palace,DEF,5.0,a,100
203,Jaydee Canvot,Canvot,Crystal Palace,DEF,5.0,a,100
204,Tyrick Mitchell,Mitchell,Crystal Palace,DEF,4.5,a,100
205,Borna Sosa,Sosa,Crystal Palace,DEF,4.5,a,100
206,Chadi Riad Dnanou,Chadi Riad,Crystal Palace,DEF,4.5,i,0
207,Oscar Mingueza,Mingueza,Crystal Palace,DEF,4.5,a,100
208,Ismaïla Sarr,Sarr,Crystal Palace,MID,6.4,i,0
210,Adam Wharton,Wharton,Crystal Palace,MID,5.5,a,100
211,Yéremy Pino Santos,Yeremy,Crystal Palace,MID,5.5,a,100
212,Will Hughes,Hughes,Crystal Palace,MID,4.5,a,100
213,Jefferson Lerma Solís,Lerma,Crystal Palace,MID,5.0,a,100
214,Daichi Kamada,Kamada,Crystal Palace,MID,5.0,a,100
215,Justin Devenny,Devenny,Crystal Palace,MID,5.0,a,100
216,Romain Esse,Esse,Crystal Palace,MID,5.0,a,100
217,Matheus França de Oliveira,M.França,Crystal Palace,MID,5.0,a,100
218,Cheick Doucouré,Doucouré,Crystal Palace,MID,5.0,a,100
219,Jesurun Rak-Sakyi,J.Rak-Sakyi,Crystal Palace,MID,5.0,a,100
220,Rio Cardines,Cardines,Crystal Palace,DEF,4.5,u,0
221,Joél Drakes-Thomas,Drakes-Thomas,Crystal Palace,MID,4.5,a,100
222,Jørgen Strand Larsen,Strand Larsen,Crystal Palace,FWD,6.0,a,100
223,Jean-Philippe Mateta,Mateta,Crystal Palace,FWD,6.5,a,100
224,Eddie Nketiah,Nketiah,Crystal Palace,FWD,5.5,a,100
225,Christantus Uche,Uche,Crystal Palace,FWD,5.0,u,0
241,Dwight McNeil,McNeil,Crystal Palace,MID,5.5,a,100
555,Remi Matthews,Matthews,Crystal Palace,GK,4.0,a,100
577,Takehiro Tomiyasu,Tomiyasu,Crystal Palace,DEF,4.5,a,100
588,Anan Khalaili,Khalaili,Crystal Palace,DEF,5.0,a,100
595,Zavier Gozo,Gozo,Crystal Palace,MID,5.0,a,100
21,Christian Nørgaard,Nørgaard,Everton,MID,5.0,i,0
209,Brennan Johnson,Johnson,Everton,MID,6.0,a,100
226,Jordan Pickford,Pickford,Everton,GK,5.5,a,100
227,Mark Travers,Travers,Everton,GK,5.0,a,100
228,Tom King,King,Everton,GK,4.5,a,100
229,James Tarkowski,Tarkowski,Everton,DEF,6.0,a,100
230,Jarrad Branthwaite,Branthwaite,Everton,DEF,5.5,a,100
231,Michael Keane,Keane,Everton,DEF,5.0,a,100
232,Jake O'Brien,O'Brien,Everton,DEF,5.0,a,100
233,Vitalii Mykolenko,Mykolenko,Everton,DEF,4.5,a,100
234,Nathan Patterson,Patterson,Everton,DEF,4.5,a,100
235,Adam Aznou,Aznou,Everton,DEF,4.0,a,100
236,Kiernan Dewsbury-Hall,Dewsbury-Hall,Everton,MID,6.5,a,100
237,Iliman Ndiaye,Ndiaye,Everton,MID,6.0,a,100
239,James Garner,Garner,Everton,MID,6.0,a,100
240,Tim Iroegbunam,Iroegbunam,Everton,MID,5.0,i,0
242,Tyrique George,George,Everton,MID,5.5,a,100
243,Carlos Alcaraz Durán,Alcaraz,Everton,MID,5.0,a,100
244,Harrison Armstrong,Armstrong,Everton,MID,5.0,a,100
245,Tyler Dibling,Dibling,Everton,MID,5.5,a,100
246,Merlin Röhl,Röhl,Everton,MID,5.0,a,100
247,Hayden Hackney,Hackney,Everton,MID,5.5,d,50
248,Norberto Bercique Gomes Betuncal,Beto,Everton,FWD,5.5,a,100
249,Thierno Barry,Barry,Everton,FWD,5.5,a,100
250,Bernd Leno,Leno,Fulham,GK,4.5,a,100
251,Benjamin Lecomte,Lecomte,Fulham,GK,4.0,a,100
252,Alfie McNally,McNally,Fulham,GK,4.0,a,100
253,Joachim Andersen,Andersen,Fulham,DEF,5.0,a,100
254,Antonee Robinson,Robinson,Fulham,DEF,4.5,a,100
255,Jorge Cuenca Barreno,J.Cuenca,Fulham,DEF,4.5,a,100
256,Kenny Tete,Tete,Fulham,DEF,4.5,a,100
257,Calvin Bassey,Bassey,Fulham,DEF,4.5,a,100
258,Timothy Castagne,Castagne,Fulham,DEF,4.5,a,100
261,Alex Iwobi,Iwobi,Fulham,MID,5.5,a,100
262,Emile Smith Rowe,Smith Rowe,Fulham,MID,5.5,a,100
263,Kevin Santos Lopes de Macedo,Kevin,Fulham,MID,5.5,a,100
264,Oscar Bobb,Bobb,Fulham,MID,5.5,a,100
265,Sander Berge,Berge,Fulham,MID,5.0,a,100
266,Tom Cairney,Cairney,Fulham,MID,5.0,i,0
268,Josh King,King,Fulham,MID,5.5,a,100
269,Ryan Sessegnon,Sessegnon,Fulham,DEF,4.5,a,100
270,Harrison Reed,Reed,Fulham,MID,4.5,a,100
271,Rodrigo Muniz Carvalho,Muniz,Fulham,FWD,5.5,a,100
272,Jonah Kusi-Asare,Kusi-Asare,Fulham,FWD,4.5,a,100
569,Gonzalo García,Gonzalo,Fulham,FWD,6.0,a,100
570,César Palacios,Palacios,Fulham,MID,5.5,a,100
580,Shea Charles,Charles,Fulham,MID,5.0,a,100
610,Luc De Fougerolles,De Fougerolles,Fulham,DEF,4.0,d,75
273,Dillon Phillips,Phillips,Hull City,GK,4.0,a,100
274,Jack Butland,Butland,Hull City,GK,4.5,i,0
275,Harvey Cartwright,Cartwright,Hull City,GK,4.0,u,0
276,Thimothée Lo-Tutala,Lo-Tutala,Hull City,GK,4.0,u,0
277,John Egan,Egan,Hull City,DEF,4.0,a,100
278,Charlie Hughes,Hughes,Hull City,DEF,4.0,i,0
279,Semi Ajayi,Ajayi,Hull City,DEF,4.0,a,100
280,Lewie Coyle,Coyle,Hull City,DEF,4.0,a,100
281,Cody Drameh,Drameh,Hull City,DEF,4.0,a,100
282,Ryan Giles,Giles,Hull City,DEF,4.0,a,100
283,Matty Jacob,Jacob,Hull City,DEF,4.0,i,0
284,Cathal McCarthy,McCarthy,Hull City,DEF,4.0,a,100
285,Paddy McNair,McNair,Hull City,DEF,4.0,a,100
286,Mohamed Belloumi,Belloumi,Hull City,MID,5.0,a,100
287,Liam Millar,Millar,Hull City,MID,5.0,a,100
288,Kieran Dowell,Dowell,Hull City,MID,4.5,a,100
289,Matt Crooks,Crooks,Hull City,MID,4.5,a,100
290,Regan Slater,Slater,Hull City,MID,4.5,a,100
291,Eliot Matazo,Matazo,Hull City,MID,4.5,i,0
292,Abdülkadir Ömür,Ömür,Hull City,MID,5.0,a,100
293,Abu Kamara,Kamara,Hull City,MID,5.0,u,0
294,Óscar Zambrano,Zambrano,Hull City,MID,4.5,i,0
295,Oli McBurnie,McBurnie,Hull City,FWD,5.5,a,100
296,David Akintola,Akintola,Hull City,MID,5.0,a,100
297,Darko Gyabi,Gyabi,Hull City,MID,4.5,i,0
298,Enis Destan,Destan,Hull City,FWD,4.5,u,0
299,Mason Burstow,Burstow,Hull City,FWD,4.5,u,0
340,Joe Gelhardt,Gelhardt,Hull City,MID,5.0,i,0
556,Matt Targett,Targett,Hull City,DEF,4.0,a,100
563,Hidemasa Morita,Morita,Hull City,MID,5.0,a,100
572,Konstantinos Tzolakis,Tzolakis,Hull City,GK,4.5,a,100
574,Jens Hjertø-Dahl,Hjertø-Dahl,Hull City,MID,5.0,a,100
576,Elliot Stroud,Stroud,Hull City,MID,5.0,a,100
585,Lucas Herrington,Herrington,Hull City,DEF,4.0,a,100
586,Nobel Mendy,Mendy,Hull City,DEF,4.0,a,100
589,Lucas Gourna-Douath,Gourna-Douath,Hull City,MID,5.0,a,100
617,Mohamed-Ali Cho,Cho,Hull City,MID,5.0,a,100
259,Issa Diop,Diop,Ipswich Town,DEF,4.0,a,100
267,Saša Lukić,Lukić,Ipswich Town,MID,5.0,a,100
300,Christian Walton,Walton,Ipswich Town,GK,4.5,a,100
301,Alex Palmer,Palmer,Ipswich Town,GK,4.0,a,100
302,David Button,Button,Ipswich Town,GK,4.0,a,100
303,Cédric Kipré,Kipré,Ipswich Town,DEF,4.0,a,100
304,Dara O'Shea,O'Shea,Ipswich Town,DEF,4.0,a,100
305,Leif Davis,Davis,Ipswich Town,DEF,4.0,a,100
306,Jacob Greaves,Greaves,Ipswich Town,DEF,4.0,a,100
307,Ben Johnson,Johnson,Ipswich Town,DEF,4.0,a,100
308,Darnell Furlong,Furlong,Ipswich Town,DEF,4.0,a,100
309,Marcelino Núñez,Núñez,Ipswich Town,MID,5.0,a,100
310,Azor Matusiwa,Matusiwa,Ipswich Town,MID,5.0,i,0
311,Wes Burns,Burns,Ipswich Town,MID,5.0,u,0
312,Jack Taylor,Taylor,Ipswich Town,MID,4.5,i,0
313,Jack Clarke,Clarke,Ipswich Town,MID,5.5,a,100
314,Chiedozie Ogbene,Ogbene,Ipswich Town,MID,5.0,a,100
315,Abdul Fatawu,Fatawu,Ipswich Town,MID,5.5,a,100
316,Emersonn Correia da Silva,Emersonn,Ipswich Town,FWD,5.5,a,100
317,George Hirst,Hirst,Ipswich Town,FWD,5.0,u,0
318,Jaden Philogene,Philogene,Ipswich Town,MID,5.5,i,0
319,Sam Szmodics,Szmodics,Ipswich Town,MID,5.0,u,0
320,Chuba Akpom,Akpom,Ipswich Town,FWD,5.0,a,100
321,Sindre Walle Egeli,Walle Egeli,Ipswich Town,FWD,4.5,a,100
322,Ali Al-Hamadi,Al-Hamadi,Ipswich Town,FWD,5.0,u,0
323,Kasey McAteer,McAteer,Ipswich Town,MID,4.5,a,100
324,Anis Mehmeti,Mehmeti,Ipswich Town,MID,5.0,a,100
554,Kayne van Oevelen,Van Oevelen,Ipswich Town,GK,4.5,u,0
562,Daizen Maeda,Maeda,Ipswich Town,MID,5.5,a,100
564,Kjell Scherpen,Scherpen,Ipswich Town,GK,4.5,a,100
571,Florentino Ibrain Morris Luís,Florentino,Ipswich Town,MID,5.0,d,75
591,Julio Enciso,Enciso,Ipswich Town,MID,5.5,a,100
592,Abdoul Ouattara,Ouattara,Ipswich Town,DEF,4.0,a,100
602,Cameron Humphreys,Humphreys,Ipswich Town,MID,4.5,a,100
619,Exequiel Palacios,Palacios,Ipswich Town,MID,5.0,a,100
260,Harry Wilson,Wilson,Leeds,MID,6.5,a,100
326,Lucas Estella Perri,Perri,Leeds,GK,4.5,a,100
327,Jaka Bijol,Bijol,Leeds,DEF,5.0,a,100
329,Joe Rodon,Rodon,Leeds,DEF,4.5,a,100
330,Jayden Bogle,Bogle,Leeds,DEF,4.5,a,100
331,Gabriel Gudmundsson,Gudmundsson,Leeds,DEF,4.5,d,75
332,James Justin,Justin,Leeds,DEF,4.5,a,100
333,Sebastiaan Bornauw,Bornauw,Leeds,DEF,4.5,u,0
334,Tarik Muharemović,Muharemović,Leeds,DEF,5.0,a,100
335,Anton Stach,Stach,Leeds,MID,6.0,a,100
336,Noah Okafor,Okafor,Leeds,MID,6.0,a,100
337,Brenden Aaronson,Aaronson,Leeds,MID,5.5,a,100
338,Ethan Ampadu,Ampadu,Leeds,MID,5.5,a,100
339,Sean Longstaff,Longstaff,Leeds,MID,5.0,a,100
341,Wilfried Gnonto,Gnonto,Leeds,MID,5.0,d,75
342,Jack Harrison,Harrison,Leeds,MID,5.0,u,0
343,Daniel James,James,Leeds,MID,5.0,a,100
344,Ilia Gruev,Gruev,Leeds,MID,5.0,i,0
345,Tanaka Ao,Tanaka,Leeds,MID,5.0,a,100
346,Dominic Calvert-Lewin,Calvert-Lewin,Leeds,FWD,6.0,a,100
347,Lukas Nmecha,Nmecha,Leeds,FWD,5.5,a,100
348,Joël Piroe,Piroe,Leeds,FWD,5.0,u,0
349,Mateo Joseph Fernández-Regatillo,Mateo Joseph,Leeds,FWD,4.5,i,0
385,James Trafford,Trafford,Leeds,GK,5.0,a,100
598,Nico Elvedi,Elvedi,Leeds,DEF,4.5,a,100
