fixture_idx,gw,home,away,actual_result,correct_in_5_base_experts,correct_in_all_tournament_models,provenance_category,valid_for_true_5_expert_oracle
16,15,Everton,Brighton and Hove Albion,0,"F2, PQ7, Availability, Tactical_T7, Context_D7","F2, M1-D, PQ7, Availability, Tactical_T7, Context_D7, DATA04_Hybrid, M3-E, M3-G, R6_Hierarchical, R7_Tree_Disagreement",5_Base_Experts,True
17,15,Crystal Palace,Nottingham Forest,1,NONE,NONE,None,False
18,15,Fulham,Manchester United,1,NONE,NONE,None,False
19,15,Newcastle United,Liverpool,2,"F2, PQ7, Tactical_T7, Context_D7","F2, M1-D, PQ7, Tactical_T7, Context_D7, DATA04_Hybrid, M3-E, M3-G, R6_Hierarchical, R7_Tree_Disagreement",5_Base_Experts,True
20,15,Chelsea,Fulham,0,"F2, PQ7, Availability, Tactical_T7, Context_D7","F2, M1-D, PQ7, Availability, Tactical_T7, Context_D7, DATA04_Hybrid, M3-E, M3-G, R6_Hierarchical, R7_Tree_Disagreement",5_Base_Experts,True
21,15,Manchester United,Burnley,0,"F2, PQ7, Availability, Tactical_T7, Context_D7","F2, M1-D, PQ7, Availability, Tactical_T7, Context_D7, DATA04_Hybrid, M3-E, M3-G, R6_Hierarchical, R7_Tree_Disagreement",5_Base_Experts,True
22,15,Sunderland,Brentford,0,NONE,NONE,None,False
23,15,Tottenham,Bournemouth,2,NONE,NONE,None,False
24,15,Wolverhampton Wanderers,Everton,2,NONE,NONE,None,False
25,15,Leeds United,Newcastle United,1,NONE,NONE,None,False
26,15,Brighton and Hove Albion,Manchester City,0,NONE,NONE,None,False
27,15,Nottingham Forest,West Ham United,2,NONE,NONE,None,False
28,15,Liverpool,Arsenal,0,"F2, PQ7, Availability, Tactical_T7, Context_D7","F2, M1-D, PQ7, Availability, Tactical_T7, Context_D7, DATA04_Hybrid, M3-E, M3-G, R6_Hierarchical, R7_Tree_Disagreement",5_Base_Experts,True
29,15,Aston Villa,Crystal Palace,2,NONE,NONE,None,False
30,15,Brentford,Chelsea,1,NONE,NONE,None,False
31,15,West Ham United,Tottenham,2,NONE,NONE,None,False
32,15,Newcastle United,Wolverhampton Wanderers,0,"F2, PQ7, Availability, Tactical_T7, Context_D7","F2, M1-D, PQ7, Availability, Tactical_T7, Context_D7, DATA04_Hybrid, M3-E, M3-G, R6_Hierarchical, R7_Tree_Disagreement",5_Base_Experts,True
33,15,Fulham,Leeds United,0,"F2, PQ7, Availability, Tactical_T7, Context_D7","F2, M1-D, PQ7, Availability, Tactical_T7, Context_D7, DATA04_Hybrid, M3-E, M3-G, R6_Hierarchical, R7_Tree_Disagreement",5_Base_Experts,True
34,15,Everton,Aston Villa,1,NONE,NONE,None,False
35,15,Crystal Palace,Sunderland,1,NONE,NONE,None,False
36,15,Bournemouth,Brighton and Hove Albion,0,"F2, PQ7, Availability, Tactical_T7, Context_D7","F2, M1-D, PQ7, Availability, Tactical_T7, Context_D7, DATA04_Hybrid, M3-E, M3-G, R6_Hierarchical, R7_Tree_Disagreement",5_Base_Experts,True
37,15,Arsenal,Nottingham Forest,0,"F2, PQ7, Availability, Tactical_T7, Context_D7","F2, M1-D, PQ7, Availability, Tactical_T7, Context_D7, DATA04_Hybrid, M3-E, M3-G, R6_Hierarchical, R7_Tree_Disagreement",5_Base_Experts,True
38,15,Burnley,Liverpool,2,"F2, PQ7, Availability, Tactical_T7, Context_D7","F2, M1-D, PQ7, Availability, Tactical_T7, Context_D7, DATA04_Hybrid, M3-E, M3-G, R6_Hierarchical, R7_Tree_Disagreement",5_Base_Experts,True
39,15,Manchester City,Manchester United,0,"F2, PQ7, Availability, Tactical_T7, Context_D7","F2, M1-D, PQ7, Availability, Tactical_T7, Context_D7, DATA04_Hybrid, M3-E, M3-G, R6_Hierarchical, R7_Tree_Disagreement",5_Base_Experts,True
40,15,Liverpool,Everton,0,"F2, PQ7, Availability, Tactical_T7, Context_D7","F2, M1-D, PQ7, Availability, Tactical_T7, Context_D7, DATA04_Hybrid, M3-E, M3-G, R6_Hierarchical, R7_Tree_Disagreement",5_Base_Experts,True
41,15,Brighton and Hove Albion,Tottenham,1,NONE,NONE,None,False
42,15,Burnley,Nottingham Forest,1,NONE,NONE,None,False
43,15,West Ham United,Crystal Palace,2,"F2, PQ7, Tactical_T7, Context_D7","F2, M1-D, PQ7, Tactical_T7, Context_D7, DATA04_Hybrid, M3-E, M3-G, R6_Hierarchical, R7_Tree_Disagreement",5_Base_Experts,True
44,15,Wolverhampton Wanderers,Leeds United,2,NONE,NONE,None,False
45,15,Manchester United,Chelsea,0,Availability,Availability,5_Base_Experts,True
46,15,Fulham,Brentford,0,"F2, PQ7, Availability, Tactical_T7, Context_D7","F2, M1-D, PQ7, Availability, Tactical_T7, Context_D7, DATA04_Hybrid, M3-E, M3-G, R6_Hierarchical, R7_Tree_Disagreement",5_Base_Experts,True
47,15,Arsenal,Manchester City,1,NONE,NONE,None,False
48,15,Sunderland,Aston Villa,1,NONE,NONE,None,False
49,15,Bournemouth,Newcastle United,1,NONE,NONE,None,False
50,15,Brentford,Manchester United,0,"F2, PQ7, Availability, Tactical_T7, Context_D7","F2, M1-D, PQ7, Availability, Tactical_T7, Context_D7, DATA04_Hybrid, M3-E, M3-G, R6_Hierarchical, R7_Tree_Disagreement",5_Base_Experts,True
51,15,Chelsea,Brighton and Hove Albion,2,NONE,NONE,None,False
52,15,Crystal Palace,Liverpool,0,NONE,NONE,None,False
53,15,Leeds United,Bournemouth,1,NONE,NONE,None,False
54,15,Manchester City,Burnley,0,"F2, PQ7, Availability, Tactical_T7, Context_D7","F2, M1-D, PQ7, Availability, Tactical_T7, Context_D7, DATA04_Hybrid, M3-E, M3-G, R6_Hierarchical, R7_Tree_Disagreement",5_Base_Experts,True
55,15,Nottingham Forest,Sunderland,2,NONE,NONE,None,False
56,15,Tottenham,Wolverhampton Wanderers,1,NONE,NONE,None,False
57,15,Aston Villa,Fulham,0,"F2, PQ7, Availability, Tactical_T7, Context_D7","F2, M1-D, PQ7, Availability, Tactical_T7, Context_D7, DATA04_Hybrid, M3-E, M3-G, R6_Hierarchical, R7_Tree_Disagreement",5_Base_Experts,True
58,15,Newcastle United,Arsenal,2,"F2, PQ7, Tactical_T7, Context_D7","F2, M1-D, PQ7, Tactical_T7, Context_D7, DATA04_Hybrid, M3-E, M3-G, R6_Hierarchical, R7_Tree_Disagreement",5_Base_Experts,True
59,15,Everton,West Ham United,1,NONE,NONE,None,False
60,15,Bournemouth,Fulham,0,"F2, PQ7, Availability, Tactical_T7, Context_D7","F2, M1-D, PQ7, Availability, Tactical_T7, Context_D7, DATA04_Hybrid, M3-E, M3-G, R6_Hierarchical, R7_Tree_Disagreement",5_Base_Experts,True
61,15,Chelsea,Liverpool,0,Availability,Availability,5_Base_Experts,True
62,15,Manchester United,Sunderland,0,"F2, PQ7, Availability, Tactical_T7, Context_D7","F2, M1-D, PQ7, Availability, Tactical_T7, Context_D7, DATA04_Hybrid, M3-E, M3-G, R6_Hierarchical, R7_Tree_Disagreement",5_Base_Experts,True
63,15,Leeds United,Tottenham,2,NONE,NONE,None,False
64,15,Arsenal,West Ham United,0,"F2, PQ7, Availability, Tactical_T7, Context_D7","F2, M1-D, PQ7, Availability, Tactical_T7, Context_D7, DATA04_Hybrid, M3-E, M3-G, R6_Hierarchical, R7_Tree_Disagreement",5_Base_Experts,True
65,15,Aston Villa,Burnley,0,"F2, PQ7, Availability, Tactical_T7, Context_D7","F2, M1-D, PQ7, Availability, Tactical_T7, Context_D7, DATA04_Hybrid, M3-E, M3-G, R6_Hierarchical, R7_Tree_Disagreement",5_Base_Experts,True
66,15,Everton,Crystal Palace,0,"F2, PQ7, Availability, Tactical_T7, Context_D7","F2, M1-D, PQ7, Availability, Tactical_T7, Context_D7, DATA04_Hybrid, M3-E, M3-G, R6_Hierarchical, R7_Tree_Disagreement",5_Base_Experts,True
67,15,Newcastle United,Nottingham Forest,0,"F2, PQ7, Availability, Tactical_T7, Context_D7","F2, M1-D, PQ7, Availability, Tactical_T7, Context_D7, DATA04_Hybrid, M3-E, M3-G, R6_Hierarchical, R7_Tree_Disagreement",5_Base_Experts,True
68,15,Wolverhampton Wanderers,Brighton and Hove Albion,1,NONE,NONE,None,False
69,15,Brentford,Manchester City,2,"F2, PQ7, Availability, Tactical_T7, Context_D7","F2, M1-D, PQ7, Availability, Tactical_T7, Context_D7, DATA04_Hybrid, M3-E, M3-G, R6_Hierarchical, R7_Tree_Disagreement",5_Base_Experts,True
70,15,Fulham,Arsenal,2,"F2, PQ7, Availability, Tactical_T7, Context_D7","F2, M1-D, PQ7, Availability, Tactical_T7, Context_D7, DATA04_Hybrid, M3-E, M3-G, R6_Hierarchical, R7_Tree_Disagreement",5_Base_Experts,True
71,15,Nottingham Forest,Chelsea,2,"F2, PQ7, Tactical_T7, Context_D7","F2, M1-D, PQ7, Tactical_T7, Context_D7, DATA04_Hybrid, M3-E, M3-G, R6_Hierarchical, R7_Tree_Disagreement",5_Base_Experts,True
72,15,Brighton and Hove Albion,Newcastle United,0,"F2, PQ7, Availability, Tactical_T7, Context_D7","F2, M1-D, PQ7, Availability, Tactical_T7, Context_D7, DATA04_Hybrid, M3-E, M3-G, R6_Hierarchical, R7_Tree_Disagreement",5_Base_Experts,True
73,15,Burnley,Leeds United,0,"F2, PQ7, Availability, Tactical_T7, Context_D7","F2, M1-D, PQ7, Availability, Tactical_T7, Context_D7, DATA04_Hybrid, M3-E, M3-G, R6_Hierarchical, R7_Tree_Disagreement",5_Base_Experts,True
74,15,Crystal Palace,Bournemouth,1,NONE,NONE,None,False
75,15,Manchester City,Everton,0,"F2, PQ7, Availability, Tactical_T7, Context_D7","F2, M1-D, PQ7, Availability, Tactical_T7, Context_D7, DATA04_Hybrid, M3-E, M3-G, R6_Hierarchical, R7_Tree_Disagreement",5_Base_Experts,True
76,15,Sunderland,Wolverhampton Wanderers,0,"F2, PQ7, Availability, Tactical_T7, Context_D7","F2, M1-D, PQ7, Availability, Tactical_T7, Context_D7, DATA04_Hybrid, M3-E, M3-G, R6_Hierarchical, R7_Tree_Disagreement",5_Base_Experts,True
77,15,Liverpool,Manchester United,2,NONE,NONE,None,False
78,15,Tottenham,Aston Villa,2,"PQ7, Tactical_T7, Context_D7","PQ7, Tactical_T7, Context_D7, DATA04_Hybrid, M3-E, M3-G, R6_Hierarchical, R7_Tree_Disagreement",5_Base_Experts,True
79,15,West Ham United,Brentford,2,NONE,NONE,None,False
80,15,Leeds United,West Ham United,0,"F2, PQ7, Availability, Tactical_T7, Context_D7","F2, M1-D, PQ7, Availability, Tactical_T7, Context_D7, DATA04_Hybrid, M3-E, M3-G, R6_Hierarchical, R7_Tree_Disagreement",5_Base_Experts,True
81,15,Chelsea,Sunderland,2,NONE,NONE,None,False
82,15,Newcastle United,Fulham,0,"F2, PQ7, Availability, Tactical_T7, Context_D7","F2, M1-D, PQ7, Availability, Tactical_T7, Context_D7, DATA04_Hybrid, M3-E, M3-G, R6_Hierarchical, R7_Tree_Disagreement",5_Base_Experts,True
83,15,Manchester United,Brighton and Hove Albion,0,"F2, PQ7, Availability, Tactical_T7, Context_D7","F2, M1-D, PQ7, Availability, Tactical_T7, Context_D7, DATA04_Hybrid, M3-E, M3-G, R6_Hierarchical, R7_Tree_Disagreement",5_Base_Experts,True
84,15,Brentford,Liverpool,0,NONE,NONE,None,False
85,15,Arsenal,Crystal Palace,0,"F2, PQ7, Availability, Tactical_T7, Context_D7","F2, M1-D, PQ7, Availability, Tactical_T7, Context_D7, DATA04_Hybrid, M3-E, M3-G, R6_Hierarchical, R7_Tree_Disagreement",5_Base_Experts,True
86,15,Aston Villa,Manchester City,0,Availability,Availability,5_Base_Experts,True
87,15,Bournemouth,Nottingham Forest,0,"F2, PQ7, Availability, Tactical_T7, Context_D7","F2, M1-D, PQ7, Availability, Tactical_T7, Context_D7, DATA04_Hybrid, M3-E, M3-G, R6_Hierarchical, R7_Tree_Disagreement",5_Base_Experts,True
88,15,Wolverhampton Wanderers,Burnley,2,NONE,NONE,None,False
89,15,Everton,Tottenham,2,NONE,NONE,None,False
90,15,Liverpool,Aston Villa,0,"F2, PQ7, Availability, Tactical_T7, Context_D7","F2, M1-D, PQ7, Availability, Tactical_T7, Context_D7, DATA04_Hybrid, M3-E, M3-G, R6_Hierarchical, R7_Tree_Disagreement",5_Base_Experts,True
91,15,Tottenham,Chelsea,2,"F2, PQ7, Tactical_T7, Context_D7","F2, M1-D, PQ7, Tactical_T7, Context_D7, DATA04_Hybrid, M3-E, M3-G, R6_Hierarchical, R7_Tree_Disagreement",5_Base_Experts,True
92,15,Nottingham Forest,Manchester United,1,NONE,NONE,None,False
93,15,Crystal Palace,Brentford,0,"F2, PQ7, Availability, Tactical_T7, Context_D7","F2, M1-D, PQ7, Availability, Tactical_T7, Context_D7, DATA04_Hybrid, M3-E, M3-G, R6_Hierarchical, R7_Tree_Disagreement",5_Base_Experts,True
94,15,Burnley,Arsenal,2,"F2, PQ7, Availability, Tactical_T7, Context_D7","F2, M1-D, PQ7, Availability, Tactical_T7, Context_D7, DATA04_Hybrid, M3-E, M3-G, R6_Hierarchical, R7_Tree_Disagreement",5_Base_Experts,True
95,15,Brighton and Hove Albion,Leeds United,0,"F2, PQ7, Availability, Tactical_T7, Context_D7","F2, M1-D, PQ7, Availability, Tactical_T7, Context_D7, DATA04_Hybrid, M3-E, M3-G, R6_Hierarchical, R7_Tree_Disagreement",5_Base_Experts,True
96,15,Fulham,Wolverhampton Wanderers,0,"F2, PQ7, Availability, Tactical_T7, Context_D7","F2, M1-D, PQ7, Availability, Tactical_T7, Context_D7, DATA04_Hybrid, M3-E, M3-G, R6_Hierarchical, R7_Tree_Disagreement",5_Base_Experts,True
97,15,West Ham United,Newcastle United,0,NONE,NONE,None,False
98,15,Manchester City,Bournemouth,0,"F2, PQ7, Availability, Tactical_T7, Context_D7","F2, M1-D, PQ7, Availability, Tactical_T7, Context_D7, DATA04_Hybrid, M3-E, M3-G, R6_Hierarchical, R7_Tree_Disagreement",5_Base_Experts,True
99,15,Sunderland,Everton,1,NONE,NONE,None,False
100,15,Tottenham,Manchester United,1,NONE,NONE,None,False
101,15,Everton,Fulham,0,"F2, PQ7, Availability, Tactical_T7, Context_D7","F2, M1-D, PQ7, Availability, Tactical_T7, Context_D7, DATA04_Hybrid, M3-E, M3-G, R6_Hierarchical, R7_Tree_Disagreement",5_Base_Experts,True
102,15,West Ham United,Burnley,0,"F2, PQ7, Availability, Tactical_T7, Context_D7","F2, M1-D, PQ7, Availability, Tactical_T7, Context_D7, DATA04_Hybrid, M3-E, M3-G, R6_Hierarchical, R7_Tree_Disagreement",5_Base_Experts,True
103,15,Sunderland,Arsenal,1,NONE,NONE,None,False
104,15,Chelsea,Wolverhampton Wanderers,0,"F2, PQ7, Availability, Tactical_T7, Context_D7","F2, M1-D, PQ7, Availability, Tactical_T7, Context_D7, DATA04_Hybrid, M3-E, M3-G, R6_Hierarchical, R7_Tree_Disagreement",5_Base_Experts,True
105,15,Manchester City,Liverpool,0,"F2, PQ7, Availability, Tactical_T7, Context_D7","F2, M1-D, PQ7, Availability, Tactical_T7, Context_D7, DATA04_Hybrid, M3-E, M3-G, R6_Hierarchical, R7_Tree_Disagreement",5_Base_Experts,True
106,15,Nottingham Forest,Leeds United,0,"F2, PQ7, Availability, Tactical_T7, Context_D7","F2, M1-D, PQ7, Availability, Tactical_T7, Context_D7, DATA04_Hybrid, M3-E, M3-G, R6_Hierarchical, R7_Tree_Disagreement",5_Base_Experts,True
107,15,Brentford,Newcastle United,0,"F2, PQ7, Availability, Tactical_T7, Context_D7","F2, M1-D, PQ7, Availability, Tactical_T7, Context_D7, DATA04_Hybrid, M3-E, M3-G, R6_Hierarchical, R7_Tree_Disagreement",5_Base_Experts,True
108,15,Aston Villa,Bournemouth,0,"F2, PQ7, Availability, Tactical_T7, Context_D7","F2, M1-D, PQ7, Availability, Tactical_T7, Context_D7, DATA04_Hybrid, M3-E, M3-G, R6_Hierarchical, R7_Tree_Disagreement",5_Base_Experts,True
109,15,Crystal Palace,Brighton and Hove Albion,1,NONE,NONE,None,False
110,15,Burnley,Chelsea,2,"F2, PQ7, Availability, Tactical_T7, Context_D7","F2, M1-D, PQ7, Availability, Tactical_T7, Context_D7, DATA04_Hybrid, M3-E, M3-G, R6_Hierarchical, R7_Tree_Disagreement",5_Base_Experts,True
111,15,Bournemouth,West Ham United,1,NONE,NONE,None,False
112,15,Brighton and Hove Albion,Brentford,0,"F2, PQ7, Availability, Tactical_T7, Context_D7","F2, M1-D, PQ7, Availability, Tactical_T7, Context_D7, DATA04_Hybrid, M3-E, M3-G, R6_Hierarchical, R7_Tree_Disagreement",5_Base_Experts,True
113,15,Fulham,Sunderland,0,"F2, PQ7, Availability, Tactical_T7, Context_D7","F2, M1-D, PQ7, Availability, Tactical_T7, Context_D7, DATA04_Hybrid, M3-E, M3-G, R6_Hierarchical, R7_Tree_Disagreement",5_Base_Experts,True
114,15,Liverpool,Nottingham Forest,2,NONE,NONE,None,False
115,15,Wolverhampton Wanderers,Crystal Palace,2,"F2, PQ7, Availability, Tactical_T7, Context_D7","F2, M1-D, PQ7, Availability, Tactical_T7, Context_D7, DATA04_Hybrid, M3-E, M3-G, R6_Hierarchical, R7_Tree_Disagreement",5_Base_Experts,True
116,15,Newcastle United,Manchester City,0,NONE,NONE,None,False
117,15,Leeds United,Aston Villa,2,"F2, PQ7, Availability, Tactical_T7, Context_D7","F2, M1-D, PQ7, Availability, Tactical_T7, Context_D7, DATA04_Hybrid, M3-E, M3-G, R6_Hierarchical, R7_Tree_Disagreement",5_Base_Experts,True
118,15,Arsenal,Tottenham,0,"F2, PQ7, Availability, Tactical_T7, Context_D7","F2, M1-D, PQ7, Availability, Tactical_T7, Context_D7, DATA04_Hybrid, M3-E, M3-G, R6_Hierarchical, R7_Tree_Disagreement",5_Base_Experts,True
119,15,Manchester United,Everton,2,NONE,NONE,None,False
120,15,Manchester City,Leeds United,0,"F2, PQ7, Availability, Tactical_T7, Context_D7","F2, M1-D, PQ7, Availability, Tactical_T7, Context_D7, DATA04_Hybrid, M3-E, M3-G, R6_Hierarchical, R7_Tree_Disagreement",5_Base_Experts,True
121,15,Tottenham,Fulham,2,NONE,NONE,None,False
122,15,Everton,Newcastle United,2,NONE,NONE,None,False
123,15,Brentford,Burnley,0,"F2, PQ7, Availability, Tactical_T7, Context_D7","F2, M1-D, PQ7, Availability, Tactical_T7, Context_D7, DATA04_Hybrid, M3-E, M3-G, R6_Hierarchical, R7_Tree_Disagreement",5_Base_Experts,True
124,15,Sunderland,Bournemouth,0,NONE,NONE,None,False
125,15,Crystal Palace,Manchester United,2,NONE,NONE,None,False
126,15,Aston Villa,Wolverhampton Wanderers,0,"F2, PQ7, Availability, Tactical_T7, Context_D7","F2, M1-D, PQ7, Availability, Tactical_T7, Context_D7, DATA04_Hybrid, M3-E, M3-G, R6_Hierarchical, R7_Tree_Disagreement",5_Base_Experts,True
127,15,Nottingham Forest,Brighton and Hove Albion,2,Context_D7,"Context_D7, M3-E, R7_Tree_Disagreement",5_Base_Experts,True
128,15,West Ham United,Liverpool,2,"F2, PQ7, Availability, Tactical_T7, Context_D7","F2, M1-D, PQ7, Availability, Tactical_T7, Context_D7, DATA04_Hybrid, M3-E, M3-G, R6_Hierarchical, R7_Tree_Disagreement",5_Base_Experts,True
129,15,Chelsea,Arsenal,1,NONE,NONE,None,False
130,15,Fulham,Manchester City,2,"F2, PQ7, Availability, Tactical_T7, Context_D7","F2, M1-D, PQ7, Availability, Tactical_T7, Context_D7, DATA04_Hybrid, M3-E, M3-G, R6_Hierarchical, R7_Tree_Disagreement",5_Base_Experts,True
131,15,Bournemouth,Everton,2,NONE,NONE,None,False
132,15,Newcastle United,Tottenham,1,NONE,NONE,None,False
133,15,Leeds United,Chelsea,0,NONE,NONE,None,False
134,15,Wolverhampton Wanderers,Nottingham Forest,2,"F2, PQ7, Tactical_T7, Context_D7","F2, M1-D, PQ7, Tactical_T7, Context_D7, DATA04_Hybrid, M3-E, M3-G, R6_Hierarchical, R7_Tree_Disagreement",5_Base_Experts,True
135,15,Liverpool,Sunderland,1,NONE,NONE,None,False
136,15,Brighton and Hove Albion,Aston Villa,2,NONE,NONE,None,False
137,15,Arsenal,Brentford,0,"F2, PQ7, Availability, Tactical_T7, Context_D7","F2, M1-D, PQ7, Availability, Tactical_T7, Context_D7, DATA04_Hybrid, M3-E, M3-G, R6_Hierarchical, R7_Tree_Disagreement",5_Base_Experts,True
138,15,Burnley,Crystal Palace,2,"F2, PQ7, Availability, Tactical_T7, Context_D7","F2, M1-D, PQ7, Availability, Tactical_T7, Context_D7, DATA04_Hybrid, M3-E, M3-G, R6_Hierarchical, R7_Tree_Disagreement",5_Base_Experts,True
139,15,Manchester United,West Ham United,1,NONE,NONE,None,False
140,15,Aston Villa,Arsenal,0,"F2, Availability, Tactical_T7, Context_D7","F2, Availability, Tactical_T7, Context_D7, DATA04_Hybrid, M3-E, M3-G, R6_Hierarchical, R7_Tree_Disagreement",5_Base_Experts,True
141,15,Bournemouth,Chelsea,1,NONE,NONE,None,False
142,15,Everton,Nottingham Forest,0,"F2, PQ7, Availability, Tactical_T7, Context_D7","F2, M1-D, PQ7, Availability, Tactical_T7, Context_D7, DATA04_Hybrid, M3-E, M3-G, R6_Hierarchical, R7_Tree_Disagreement",5_Base_Experts,True
143,15,Manchester City,Sunderland,0,"F2, PQ7, Availability, Tactical_T7, Context_D7","F2, M1-D, PQ7, Availability, Tactical_T7, Context_D7, DATA04_Hybrid, M3-E, M3-G, R6_Hierarchical, R7_Tree_Disagreement",5_Base_Experts,True
144,15,Newcastle United,Burnley,0,"F2, PQ7, Availability, Tactical_T7, Context_D7","F2, M1-D, PQ7, Availability, Tactical_T7, Context_D7, DATA04_Hybrid, M3-E, M3-G, R6_Hierarchical, R7_Tree_Disagreement",5_Base_Experts,True
145,15,Tottenham,Brentford,0,"F2, PQ7, Availability, Tactical_T7, Context_D7","F2, M1-D, PQ7, Availability, Tactical_T7, Context_D7, DATA04_Hybrid, M3-E, M3-G, R6_Hierarchical, R7_Tree_Disagreement",5_Base_Experts,True
146,15,Leeds United,Liverpool,1,NONE,NONE,None,False
147,15,Brighton and Hove Albion,West Ham United,1,NONE,NONE,None,False
148,15,Fulham,Crystal Palace,2,NONE,NONE,None,False
149,15,Wolverhampton Wanderers,Manchester United,2,"F2, PQ7, Availability, Tactical_T7, Context_D7","F2, M1-D, PQ7, Availability, Tactical_T7, Context_D7, DATA04_Hybrid, M3-E, M3-G, R6_Hierarchical, R7_Tree_Disagreement",5_Base_Experts,True
150,15,Chelsea,Everton,0,"F2, PQ7, Availability, Tactical_T7, Context_D7","F2, M1-D, PQ7, Availability, Tactical_T7, Context_D7, DATA04_Hybrid, M3-E, M3-G, R6_Hierarchical, R7_Tree_Disagreement",5_Base_Experts,True
151,15,Liverpool,Brighton and Hove Albion,0,"F2, PQ7, Availability, Tactical_T7, Context_D7","F2, M1-D, PQ7, Availability, Tactical_T7, Context_D7, DATA04_Hybrid, M3-E, M3-G, R6_Hierarchical, R7_Tree_Disagreement",5_Base_Experts,True
152,15,Burnley,Fulham,2,"F2, PQ7, Availability, Tactical_T7, Context_D7","F2, M1-D, PQ7, Availability, Tactical_T7, Context_D7, DATA04_Hybrid, M3-E, M3-G, R6_Hierarchical, R7_Tree_Disagreement",5_Base_Experts,True
153,15,Arsenal,Wolverhampton Wanderers,0,"F2, PQ7, Availability, Tactical_T7, Context_D7","F2, M1-D, PQ7, Availability, Tactical_T7, Context_D7, DATA04_Hybrid, M3-E, M3-G, R6_Hierarchical, R7_Tree_Disagreement",5_Base_Experts,True
154,15,Crystal Palace,Manchester City,2,"F2, PQ7, Tactical_T7, Context_D7","F2, M1-D, PQ7, Tactical_T7, Context_D7, DATA04_Hybrid, M3-E, M3-G, R6_Hierarchical, R7_Tree_Disagreement",5_Base_Experts,True
155,15,Nottingham Forest,Tottenham,0,"F2, PQ7, Availability, Tactical_T7, Context_D7","F2, M1-D, PQ7, Availability, Tactical_T7, Context_D7, DATA04_Hybrid, M3-E, M3-G, R6_Hierarchical, R7_Tree_Disagreement",5_Base_Experts,True
156,15,Sunderland,Newcastle United,0,NONE,NONE,None,False
157,15,West Ham United,Aston Villa,2,"F2, PQ7, Availability, Tactical_T7, Context_D7","F2, M1-D, PQ7, Availability, Tactical_T7, Context_D7, DATA04_Hybrid, M3-E, M3-G, R6_Hierarchical, R7_Tree_Disagreement",5_Base_Experts,True
