model,gw,home,away,actual_outcome,f2_pick,new_model_pick,transition_type,f2_probs,new_probs
Tactical_T7,15,Leeds United,Brentford,1,0,2,WRONG -> WRONG (0),"(0.37,0.25,0.37)","(0.32,0.29,0.39)"
Tactical_T7,15,Fulham,Aston Villa,0,0,2,CORRECT -> WRONG (-1),"(0.38,0.25,0.37)","(0.36,0.24,0.40)"
Context_D7,15,Brentford,Aston Villa,0,0,2,CORRECT -> WRONG (-1),"(0.39,0.25,0.36)","(0.35,0.30,0.35)"
Context_D7,15,Tottenham,Aston Villa,2,0,2,WRONG -> CORRECT (+1),"(0.38,0.25,0.37)","(0.34,0.23,0.43)"
Context_D7,15,Nottingham Forest,Brighton and Hove Albion,2,0,2,WRONG -> CORRECT (+1),"(0.40,0.25,0.35)","(0.34,0.26,0.39)"
Context_D7,15,Leeds United,Manchester United,1,0,2,WRONG -> WRONG (0),"(0.38,0.25,0.37)","(0.36,0.22,0.42)"
Context_D7,15,Sunderland,Crystal Palace,0,2,0,WRONG -> CORRECT (+1),"(0.37,0.25,0.38)","(0.40,0.25,0.36)"
Context_D7,15,Burnley,West Ham United,2,0,2,WRONG -> CORRECT (+1),"(0.39,0.25,0.36)","(0.36,0.25,0.39)"
Context_D7,15,Tottenham,Crystal Palace,2,0,2,WRONG -> CORRECT (+1),"(0.40,0.25,0.34)","(0.36,0.24,0.40)"
Context_D7,15,Leeds United,Brentford,1,0,2,WRONG -> WRONG (0),"(0.37,0.25,0.37)","(0.34,0.28,0.38)"
Context_D7,15,Everton,Liverpool,2,0,2,WRONG -> CORRECT (+1),"(0.38,0.25,0.37)","(0.36,0.27,0.37)"
Context_D7,15,Fulham,Aston Villa,0,0,2,CORRECT -> WRONG (-1),"(0.38,0.25,0.37)","(0.36,0.24,0.40)"
DATA04_Hybrid,15,Tottenham,Aston Villa,2,0,2,WRONG -> CORRECT (+1),"(0.38,0.25,0.37)","(0.37,0.24,0.39)"
DATA04_Hybrid,15,Bournemouth,Chelsea,1,0,2,WRONG -> WRONG (0),"(0.38,0.25,0.37)","(0.37,0.26,0.38)"
DATA04_Hybrid,15,Leeds United,Manchester United,1,0,2,WRONG -> WRONG (0),"(0.38,0.25,0.37)","(0.35,0.24,0.41)"
DATA04_Hybrid,15,Sunderland,Crystal Palace,0,2,0,WRONG -> CORRECT (+1),"(0.37,0.25,0.38)","(0.38,0.25,0.37)"
DATA04_Hybrid,15,Burnley,West Ham United,2,0,2,WRONG -> CORRECT (+1),"(0.39,0.25,0.36)","(0.37,0.25,0.38)"
DATA04_Hybrid,15,Tottenham,Crystal Palace,2,0,2,WRONG -> CORRECT (+1),"(0.40,0.25,0.34)","(0.37,0.25,0.38)"
DATA04_Hybrid,15,Leeds United,Brentford,1,0,2,WRONG -> WRONG (0),"(0.37,0.25,0.37)","(0.35,0.27,0.38)"
DATA04_Hybrid,15,Fulham,Aston Villa,0,0,2,CORRECT -> WRONG (-1),"(0.38,0.25,0.37)","(0.37,0.25,0.38)"
M3-E,15,Tottenham,Aston Villa,2,0,2,WRONG -> CORRECT (+1),"(0.38,0.25,0.37)","(0.37,0.23,0.40)"
M3-E,15,Nottingham Forest,Brighton and Hove Albion,2,0,2,WRONG -> CORRECT (+1),"(0.40,0.25,0.35)","(0.37,0.27,0.37)"
M3-E,15,Bournemouth,Chelsea,1,0,2,WRONG -> WRONG (0),"(0.38,0.25,0.37)","(0.36,0.26,0.38)"
M3-E,15,Leeds United,Manchester United,1,0,2,WRONG -> WRONG (0),"(0.38,0.25,0.37)","(0.34,0.23,0.43)"
M3-E,15,Sunderland,Crystal Palace,0,2,0,WRONG -> CORRECT (+1),"(0.37,0.25,0.38)","(0.39,0.24,0.37)"
M3-E,15,Burnley,West Ham United,2,0,2,WRONG -> CORRECT (+1),"(0.39,0.25,0.36)","(0.35,0.25,0.39)"
M3-E,15,Tottenham,Newcastle United,2,0,2,WRONG -> CORRECT (+1),"(0.39,0.25,0.36)","(0.35,0.29,0.36)"
M3-E,15,Tottenham,Crystal Palace,2,0,2,WRONG -> CORRECT (+1),"(0.40,0.25,0.34)","(0.36,0.24,0.40)"
M3-E,15,Leeds United,Brentford,1,0,2,WRONG -> WRONG (0),"(0.37,0.25,0.37)","(0.33,0.28,0.39)"
M3-E,15,Fulham,Aston Villa,0,0,2,CORRECT -> WRONG (-1),"(0.38,0.25,0.37)","(0.36,0.24,0.39)"
M3-G,15,Tottenham,Aston Villa,2,0,2,WRONG -> CORRECT (+1),"(0.38,0.25,0.37)","(0.37,0.23,0.40)"
M3-G,15,Bournemouth,Chelsea,1,0,2,WRONG -> WRONG (0),"(0.38,0.25,0.37)","(0.36,0.26,0.38)"
M3-G,15,Leeds United,Manchester United,1,0,2,WRONG -> WRONG (0),"(0.38,0.25,0.37)","(0.34,0.23,0.43)"
M3-G,15,Sunderland,Crystal Palace,0,2,0,WRONG -> CORRECT (+1),"(0.37,0.25,0.38)","(0.39,0.24,0.37)"
M3-G,15,Burnley,West Ham United,2,0,2,WRONG -> CORRECT (+1),"(0.39,0.25,0.36)","(0.36,0.25,0.39)"
M3-G,15,Tottenham,Newcastle United,2,0,2,WRONG -> CORRECT (+1),"(0.39,0.25,0.36)","(0.36,0.28,0.36)"
M3-G,15,Tottenham,Crystal Palace,2,0,2,WRONG -> CORRECT (+1),"(0.40,0.25,0.34)","(0.36,0.24,0.40)"
M3-G,15,Leeds United,Brentford,1,0,2,WRONG -> WRONG (0),"(0.37,0.25,0.37)","(0.33,0.28,0.39)"
M3-G,15,Fulham,Aston Villa,0,0,2,CORRECT -> WRONG (-1),"(0.38,0.25,0.37)","(0.36,0.24,0.39)"
R6_Hierarchical,15,Tottenham,Aston Villa,2,0,2,WRONG -> CORRECT (+1),"(0.38,0.25,0.37)","(0.37,0.24,0.39)"
R6_Hierarchical,15,Bournemouth,Chelsea,1,0,2,WRONG -> WRONG (0),"(0.38,0.25,0.37)","(0.37,0.26,0.37)"
R6_Hierarchical,15,Leeds United,Manchester United,1,0,2,WRONG -> WRONG (0),"(0.38,0.25,0.37)","(0.36,0.24,0.41)"
R6_Hierarchical,15,Sunderland,Crystal Palace,0,2,0,WRONG -> CORRECT (+1),"(0.37,0.25,0.38)","(0.38,0.25,0.37)"
R6_Hierarchical,15,Burnley,West Ham United,2,0,2,WRONG -> CORRECT (+1),"(0.39,0.25,0.36)","(0.36,0.25,0.39)"
R6_Hierarchical,15,Tottenham,Crystal Palace,2,0,2,WRONG -> CORRECT (+1),"(0.40,0.25,0.34)","(0.36,0.24,0.40)"
R6_Hierarchical,15,Leeds United,Brentford,1,0,2,WRONG -> WRONG (0),"(0.37,0.25,0.37)","(0.35,0.27,0.38)"
R6_Hierarchical,15,Fulham,Aston Villa,0,0,2,CORRECT -> WRONG (-1),"(0.38,0.25,0.37)","(0.37,0.25,0.38)"
R7_Tree_Disagreement,15,Tottenham,Aston Villa,2,0,2,WRONG -> CORRECT (+1),"(0.38,0.25,0.37)","(0.36,0.23,0.41)"
R7_Tree_Disagreement,15,Nottingham Forest,Brighton and Hove Albion,2,0,2,WRONG -> CORRECT (+1),"(0.40,0.25,0.35)","(0.37,0.27,0.37)"
R7_Tree_Disagreement,15,Bournemouth,Chelsea,1,0,2,WRONG -> WRONG (0),"(0.38,0.25,0.37)","(0.37,0.26,0.37)"
R7_Tree_Disagreement,15,Leeds United,Manchester United,1,0,2,WRONG -> WRONG (0),"(0.38,0.25,0.37)","(0.34,0.22,0.44)"
R7_Tree_Disagreement,15,Crystal Palace,Aston Villa,1,2,0,WRONG -> WRONG (0),"(0.35,0.25,0.40)","(0.40,0.23,0.38)"
R7_Tree_Disagreement,15,Sunderland,Crystal Palace,0,2,0,WRONG -> CORRECT (+1),"(0.37,0.25,0.38)","(0.39,0.24,0.36)"
R7_Tree_Disagreement,15,Burnley,West Ham United,2,0,2,WRONG -> CORRECT (+1),"(0.39,0.25,0.36)","(0.35,0.25,0.40)"
R7_Tree_Disagreement,15,Tottenham,Newcastle United,2,0,2,WRONG -> CORRECT (+1),"(0.39,0.25,0.36)","(0.35,0.29,0.36)"
R7_Tree_Disagreement,15,Tottenham,Crystal Palace,2,0,2,WRONG -> CORRECT (+1),"(0.40,0.25,0.34)","(0.34,0.24,0.42)"
R7_Tree_Disagreement,15,Leeds United,Brentford,1,0,2,WRONG -> WRONG (0),"(0.37,0.25,0.37)","(0.32,0.29,0.39)"
R7_Tree_Disagreement,15,Fulham,Aston Villa,0,0,2,CORRECT -> WRONG (-1),"(0.38,0.25,0.37)","(0.36,0.25,0.39)"
