player,source_season,target_season,position,source_minutes,target_minutes,source_xg90,target_xg90,source_xa90,target_xa90
Alex Iwobi,2022,2023,MID,3388,2398,0.073,0.213,0.163,0.181
Alex Iwobi,2023,2024,MID,2398,2495,0.213,0.159,0.181,0.274
Alex McCarthy,2017,2018,GK,1620,2250,0.0,0.0,0.0,0.0
Alex McCarthy,2018,2019,GK,2250,2520,0.0,0.0,0.0,0.001
Alex McCarthy,2019,2020,GK,2520,2700,0.0,0.0,0.001,0.0
Alex McCarthy,2020,2021,GK,2700,1530,0.0,0.0,0.0,0.001
Alex McCarthy,2021,2022,GK,1530,540,0.0,0.0,0.001,0.0
Alex Scott,2023,2024,FWD,997,428,0.058,0.091,0.187,0.084
Alexander Isak,2019,2020,FWD,1474,2389,0.51,0.62,0.154,0.069
Alexander Isak,2020,2021,FWD,2389,2168,0.62,0.448,0.069,0.165
Alexander Isak,2021,2022,FWD,2168,1687,0.448,0.499,0.165,0.1
Alexander Isak,2022,2023,FWD,1687,2305,0.499,0.862,0.1,0.143
Alexander Isak,2023,2024,FWD,2305,2231,0.862,0.69,0.143,0.2
Alexis Mac Allister,2019,2020,MID,357,1110,0.148,0.11,0.051,0.152
Alexis Mac Allister,2020,2021,FWD,1110,2102,0.11,0.293,0.152,0.091
Alexis Mac Allister,2021,2022,MID,2102,2882,0.293,0.36,0.091,0.123
Alexis Mac Allister,2022,2023,MID,2882,2661,0.36,0.135,0.123,0.121
Alexis Mac Allister,2023,2024,MID,2661,2223,0.135,0.12,0.121,0.157
Alisson,2017,2018,GK,3330,3420,0.0,0.0,0.0,0.0
Alisson,2018,2019,GK,3420,2545,0.0,0.0,0.0,0.009
Alisson,2019,2020,GK,2545,2970,0.0,0.003,0.009,0.0
Alisson,2020,2021,GK,2970,3240,0.003,0.0,0.0,0.004
Alisson,2021,2022,GK,3240,3330,0.0,0.0,0.004,0.005
Alisson,2022,2023,GK,3330,2520,0.0,0.0,0.005,0.0
Alisson,2023,2024,GK,2520,1881,0.0,0.0,0.0,0.024
Alphonse Areola,2014,2015,GK,3150,2880,0.0,0.0,0.003,0.0
Alphonse Areola,2015,2016,GK,2880,1296,0.0,0.0,0.0,0.0
Alphonse Areola,2016,2017,GK,1296,3060,0.0,0.0,0.0,0.0
Alphonse Areola,2017,2018,GK,3060,1890,0.0,0.0,0.0,0.0
Alphonse Areola,2018,2019,GK,1890,630,0.0,0.0,0.0,0.0
Alphonse Areola,2019,2020,GK,630,3240,0.0,0.0,0.0,0.0
Alphonse Areola,2022,2023,GK,305,2715,0.0,0.0,0.0,0.0
Alphonse Areola,2023,2024,GK,2715,1633,0.0,0.0,0.0,0.0
Amad Diallo Traore,2023,2024,MID,375,1581,0.134,0.235,0.243,0.213
Amadou Onana,2021,2022,FWD,1316,2529,0.221,0.11,0.067,0.073
Amadou Onana,2022,2023,MID,2529,2093,0.11,0.11,0.073,0.104
Amadou Onana,2023,2024,MID,2093,1127,0.11,0.194,0.104,0.012
Andreas Pereira,2016,2017,MID,2833,1074,0.139,0.08,0.118,0.163
Andreas Pereira,2017,2018,FWD,1074,593,0.08,0.041,0.163,0.134
Andreas Pereira,2018,2019,MID,593,1501,0.041,0.137,0.134,0.222
Andreas Pereira,2019,2020,FWD,1501,496,0.137,0.139,0.222,0.239
Andreas Pereira,2022,2023,MID,2765,2756,0.209,0.168,0.157,0.226
Andreas Pereira,2023,2024,MID,2756,1635,0.168,0.177,0.226,0.255
Andrew Robertson,2016,2017,FWD,2741,1949,0.008,0.029,0.046,0.22
Andrew Robertson,2017,2018,DEF,1949,3223,0.029,0.024,0.22,0.225
Andrew Robertson,2018,2019,DEF,3223,3114,0.024,0.052,0.225,0.228
Andrew Robertson,2019,2020,DEF,3114,3391,0.052,0.038,0.228,0.192
Andrew Robertson,2020,2021,DEF,3391,2550,0.038,0.08,0.192,0.219
Andrew Robertson,2021,2022,DEF,2550,2609,0.08,0.038,0.219,0.235
Andrew Robertson,2022,2023,DEF,2609,1684,0.038,0.13,0.235,0.356
Andrew Robertson,2023,2024,DEF,1684,2131,0.13,0.04,0.356,0.179
Andros Townsend,2014,2015,FWD,767,1149,0.209,0.115,0.112,0.221
Andros Townsend,2015,2016,MID,1149,2542,0.115,0.118,0.221,0.207
Andros Townsend,2016,2017,MID,2542,3141,0.118,0.089,0.207,0.248
Andros Townsend,2017,2018,FWD,3141,3030,0.089,0.145,0.248,0.11
Andros Townsend,2018,2019,MID,3030,1272,0.145,0.028,0.11,0.121
Andros Townsend,2019,2020,MID,1272,2255,0.028,0.099,0.121,0.165
Andros Townsend,2020,2021,FWD,2255,1463,0.099,0.139,0.165,0.175
André Gomes,2014,2015,MID,2562,2384,0.118,0.108,0.09,0.124
André Gomes,2015,2016,MID,2384,1589,0.108,0.138,0.124,0.059
André Gomes,2016,2017,FWD,1589,630,0.138,0.107,0.059,0.023
André Gomes,2017,2018,MID,630,2001,0.107,0.063,0.023,0.03
André Gomes,2018,2019,FWD,2001,1457,0.063,0.013,0.03,0.068
André Gomes,2019,2020,MID,1457,1574,0.013,0.024,0.068,0.06
André Gomes,2020,2021,FWD,1574,621,0.024,0.143,0.06,0.023
André Gomes,2021,2022,MID,621,1627,0.143,0.058,0.023,0.055
André Gomes,2022,2023,MID,1627,476,0.058,0.06,0.055,0.049
André Onana,2022,2023,GK,2160,3420,0.0,0.0,0.004,0.003
André Onana,2023,2024,GK,3420,2700,0.0,0.0,0.003,0.01
Angelo Ogbonna,2014,2015,DEF,1748,2326,0.048,0.012,0.006,0.004
Angelo Ogbonna,2015,2016,DEF,2326,1757,0.012,0.004,0.004,0.014
Angelo Ogbonna,2016,2017,DEF,1757,2880,0.004,0.024,0.014,0.014
Angelo Ogbonna,2017,2018,DEF,2880,1870,0.024,0.049,0.014,0.056
Angelo Ogbonna,2018,2019,FWD,1870,2790,0.049,0.042,0.056,0.002
Angelo Ogbonna,2019,2020,DEF,2790,2493,0.042,0.061,0.002,0.015
Angelo Ogbonna,2020,2021,DEF,2493,921,0.061,0.06,0.015,0.0
Angelo Ogbonna,2021,2022,DEF,921,1235,0.06,0.015,0.0,0.036
Angelo Ogbonna,2022,2023,DEF,1235,629,0.015,0.006,0.036,0.0
Anssumane Fati,2019,2020,FWD,1022,448,0.328,0.374,0.217,0.411
Anssumane Fati,2020,2021,FWD,448,323,0.374,0.37,0.411,0.13
Anssumane Fati,2021,2022,FWD,323,1342,0.37,0.706,0.13,0.114
Anssumane Fati,2022,2023,FWD,1342,482,0.706,0.872,0.114,0.122
Anthony Elanga,2021,2022,MID,1218,408,0.22,0.267,0.143,0.252
Anthony Elanga,2022,2023,FWD,408,2430,0.267,0.251,0.252,0.263
Anthony Elanga,2023,2024,MID,2430,2020,0.251,0.233,0.263,0.22
Anthony Gordon,2021,2022,FWD,2288,1564,0.136,0.319,0.149,0.081
Anthony Gordon,2022,2023,MID,1564,2956,0.319,0.344,0.081,0.269
Anthony Gordon,2023,2024,FWD,2956,2164,0.344,0.373,0.269,0.195
Anthony Martial,2014,2015,FWD,1819,2836,0.537,0.233,0.119,0.222
Anthony Martial,2015,2016,MID,2836,1558,0.233,0.191,0.222,0.212
Anthony Martial,2016,2017,FWD,1558,1589,0.191,0.357,0.212,0.308
Anthony Martial,2017,2018,FWD,1589,1632,0.357,0.439,0.308,0.179
Anthony Martial,2018,2019,FWD,1632,2672,0.439,0.446,0.179,0.156
Anthony Martial,2019,2020,FWD,2672,1494,0.446,0.446,0.156,0.158
Anthony Martial,2020,2021,FWD,1494,706,0.446,0.215,0.158,0.027
Anthony Martial,2021,2022,FWD,706,987,0.215,0.668,0.027,0.16
Anthony Martial,2022,2023,FWD,987,430,0.668,0.221,0.16,0.058
Antoine Semenyo,2023,2024,MID,2141,2659,0.27,0.408,0.16,0.202
Antonee Robinson,2022,2023,DEF,3088,3290,0.002,0.023,0.03,0.103
Antonee Robinson,2023,2024,DEF,3290,2626,0.023,0.036,0.103,0.144
Antony,2022,2023,MID,1841,1329,0.286,0.237,0.116,0.237
Antony,2023,2024,FWD,1329,808,0.237,0.194,0.237,0.356
Arijanet Muric,2023,2024,GK,900,1620,0.0,0.0,0.037,0.0
Armel Bella Kotchap,2021,2022,DEF,1775,1890,0.042,0.06,0.002,0.07
Arnaut Danjuma Groeneveld,2021,2022,FWD,1483,627,0.778,0.52,0.145,0.054
Arnaut Danjuma Groeneveld,2022,2023,MID,627,572,0.52,0.539,0.054,0.134
Ashley Young,2014,2015,MID,2076,1053,0.109,0.076,0.178,0.125
Ashley Young,2015,2016,FWD,1053,757,0.076,0.03,0.125,0.104
Ashley Young,2016,2017,DEF,757,2451,0.03,0.026,0.104,0.138
Ashley Young,2017,2018,DEF,2451,2565,0.026,0.017,0.138,0.14
Ashley Young,2018,2019,DEF,2565,2137,0.017,0.046,0.14,0.231
Ashley Young,2019,2020,MID,2137,1435,0.046,0.096,0.231,0.134
Ashley Young,2020,2021,MID,1435,1232,0.096,0.029,0.134,0.057
Ashley Young,2021,2022,FWD,1232,2044,0.029,0.017,0.057,0.034
Ashley Young,2022,2023,FWD,2044,2305,0.017,0.022,0.034,0.097
Ashley Young,2023,2024,DEF,2305,1535,0.022,0.015,0.097,0.124
Axel Disasi,2019,2020,DEF,2430,2025,0.089,0.099,0.015,0.027
Axel Disasi,2020,2021,FWD,2025,2732,0.099,0.082,0.027,0.012
Axel Disasi,2021,2022,DEF,2732,3329,0.082,0.092,0.012,0.03
Axel Disasi,2022,2023,DEF,3329,2586,0.092,0.093,0.03,0.007
Axel Disasi,2023,2024,FWD,2586,729,0.093,0.075,0.007,0.039
Axel Tuanzebe,2020,2021,DEF,401,514,0.0,0.027,0.0,0.0
Aymeric Laporte,2014,2015,DEF,2961,2215,0.032,0.14,0.01,0.059
Aymeric Laporte,2015,2016,DEF,2215,2865,0.14,0.069,0.059,0.019
Aymeric Laporte,2016,2017,DEF,2865,2518,0.069,0.024,0.019,0.042
Aymeric Laporte,2017,2018,DEF,2518,3059,0.024,0.11,0.042,0.025
Aymeric Laporte,2018,2019,DEF,3059,1112,0.11,0.058,0.025,0.014
Aymeric Laporte,2019,2020,DEF,1112,1335,0.058,0.057,0.014,0.039
Aymeric Laporte,2020,2021,DEF,1335,2848,0.057,0.141,0.039,0.019
Aymeric Laporte,2021,2022,DEF,2848,993,0.141,0.068,0.019,0.019
Bart Verbruggen,2023,2024,GK,1890,2520,0.0,0.0,0.0,0.002
Ben Brereton Díaz,2023,2024,FWD,1365,438,0.416,0.269,0.117,0.032
Ben Chilwell,2016,2017,DEF,686,1855,0.088,0.011,0.049,0.127
Ben Chilwell,2017,2018,DEF,1855,3240,0.011,0.027,0.127,0.085
Ben Chilwell,2018,2019,DEF,3240,2382,0.027,0.041,0.085,0.134
Ben Chilwell,2019,2020,DEF,2382,2296,0.041,0.117,0.134,0.096
Ben Chilwell,2020,2021,MID,2296,541,0.117,0.216,0.096,0.139
Ben Chilwell,2021,2022,FWD,541,1418,0.216,0.093,0.139,0.127
Ben Chilwell,2022,2023,DEF,1418,771,0.093,0.143,0.127,0.209
Ben Davies,2014,2015,DEF,879,1281,0.001,0.031,0.035,0.1
Ben Davies,2015,2016,DEF,1281,1729,0.031,0.022,0.1,0.136
Ben Davies,2016,2017,DEF,1729,2328,0.022,0.039,0.136,0.145
Ben Davies,2017,2018,DEF,2328,1831,0.039,0.028,0.145,0.11
Ben Davies,2018,2019,DEF,1831,1434,0.028,0.014,0.11,0.06
Ben Davies,2019,2020,DEF,1434,1330,0.014,0.013,0.06,0.03
Ben Davies,2020,2021,FWD,1330,2542,0.013,0.088,0.03,0.023
Ben Davies,2021,2022,DEF,2542,2295,0.088,0.039,0.023,0.097
Ben Davies,2022,2023,DEF,2295,1067,0.039,0.175,0.097,0.026
Ben Davies,2023,2024,DEF,1067,721,0.175,0.028,0.026,0.006
Ben Godfrey,2019,2020,DEF,2649,2682,0.029,0.027,0.003,0.033
Ben Godfrey,2020,2021,DEF,2682,2034,0.027,0.058,0.033,0.031
Ben Godfrey,2021,2022,DEF,2034,799,0.058,0.081,0.031,0.017
Ben Godfrey,2022,2023,DEF,799,1131,0.081,0.172,0.017,0.016
Ben Johnson,2020,2021,FWD,506,1402,0.086,0.01,0.069,0.036
Ben Johnson,2021,2022,FWD,1402,845,0.01,0.009,0.036,0.025
Ben Johnson,2022,2023,FWD,845,509,0.009,0.038,0.025,0.0
Ben Johnson,2023,2024,FWD,509,1018,0.038,0.103,0.0,0.094
Ben Mee,2016,2017,DEF,3018,2610,0.027,0.057,0.007,0.008
Ben Mee,2017,2018,DEF,2610,3420,0.057,0.03,0.008,0.04
Ben Mee,2018,2019,DEF,3420,2880,0.03,0.041,0.04,0.056
Ben Mee,2019,2020,DEF,2880,2695,0.041,0.054,0.056,0.027
Ben Mee,2020,2021,DEF,2695,1839,0.054,0.125,0.027,0.062
Ben Mee,2021,2022,DEF,1839,3278,0.125,0.089,0.062,0.046
Ben Mee,2022,2023,DEF,3278,1290,0.089,0.102,0.046,0.017
Ben Osborn,2019,2020,MID,586,1607,0.03,0.061,0.136,0.141
Ben White,2020,2021,DEF,3208,2880,0.013,0.021,0.026,0.037
Ben White,2021,2022,DEF,2880,3094,0.021,0.029,0.037,0.125
Ben White,2022,2023,DEF,3094,3024,0.029,0.06,0.125,0.142
Ben White,2023,2024,DEF,3024,686,0.06,0.022,0.142,0.054
Benoit Badiashile Mukinayi,2018,2019,DEF,1763,1417,0.045,0.023,0.005,0.009
Benoit Badiashile Mukinayi,2019,2020,DEF,1417,2874,0.023,0.088,0.009,0.024
Benoit Badiashile Mukinayi,2020,2021,DEF,2874,1836,0.088,0.066,0.024,0.016
Benoit Badiashile Mukinayi,2021,2022,DEF,1836,1733,0.066,0.092,0.016,0.064
Benoit Badiashile Mukinayi,2022,2023,DEF,1733,1338,0.092,0.035,0.064,0.105
Benoit Badiashile Mukinayi,2023,2024,DEF,1338,323,0.035,0.0,0.105,0.0
Bernardo Silva,2014,2015,MID,2290,2246,0.248,0.261,0.22,0.155
Bernardo Silva,2015,2016,MID,2246,2829,0.261,0.182,0.155,0.236
Bernardo Silva,2016,2017,FWD,2829,1500,0.182,0.272,0.236,0.184
Bernardo Silva,2017,2018,FWD,1500,2851,0.272,0.259,0.184,0.273
Bernardo Silva,2018,2019,MID,2851,2020,0.259,0.331,0.273,0.281
Bernardo Silva,2019,2020,FWD,2020,2080,0.331,0.156,0.281,0.209
Bernardo Silva,2020,2021,MID,2080,2865,0.156,0.244,0.209,0.206
Bernardo Silva,2021,2022,MID,2865,2194,0.244,0.093,0.206,0.161
Bernardo Silva,2022,2023,MID,2194,2599,0.093,0.142,0.161,0.295
Bernardo Silva,2023,2024,MID,2599,2030,0.142,0.162,0.295,0.194
Bernd Leno,2014,2015,GK,3060,2970,0.0,0.0,0.0,0.0
Bernd Leno,2015,2016,GK,2970,3060,0.0,0.0,0.0,0.003
Bernd Leno,2016,2017,GK,3060,2970,0.0,0.0,0.003,0.005
Bernd Leno,2017,2018,GK,2970,2833,0.0,0.0,0.005,0.0
Bernd Leno,2018,2019,GK,2833,2649,0.0,0.0,0.0,0.0
Bernd Leno,2019,2020,GK,2649,3136,0.0,0.0,0.0,0.0
Bernd Leno,2020,2021,GK,3136,360,0.0,0.0,0.0,0.0
Bernd Leno,2021,2022,GK,360,3240,0.0,0.0,0.0,0.001
Bernd Leno,2022,2023,GK,3240,3420,0.0,0.0,0.001,0.0
Bernd Leno,2023,2024,GK,3420,2700,0.0,0.0,0.0,0.011
Bertrand Traoré,2017,2018,FWD,2293,2129,0.357,0.237,0.111,0.103
Bertrand Traoré,2018,2019,FWD,2129,1252,0.237,0.265,0.103,0.219
Bertrand Traoré,2019,2020,FWD,1252,2362,0.265,0.24,0.219,0.174
Beto,2021,2022,FWD,2180,2131,0.548,0.458,0.073,0.122
Beto,2022,2023,FWD,2131,979,0.458,0.659,0.122,0.126
Beto,2023,2024,FWD,979,1051,0.659,0.585,0.126,0.067
Billy Gilmour,2021,2022,MID,1864,515,0.041,0.064,0.051,0.063
Billy Gilmour,2022,2023,MID,515,2154,0.064,0.03,0.063,0.087
Billy Gilmour,2023,2024,FWD,2154,842,0.03,0.024,0.087,0.082
Bobby Reid,2022,2023,FWD,2511,1431,0.151,0.344,0.054,0.099
Bobby Reid,2023,2024,FWD,1431,621,0.344,0.093,0.099,0.159
Boubacar Kamara,2017,2018,DEF,456,2412,0.029,0.044,0.019,0.009
Boubacar Kamara,2018,2019,DEF,2412,2142,0.044,0.021,0.009,0.012
Boubacar Kamara,2019,2020,DEF,2142,2917,0.021,0.02,0.012,0.054
Boubacar Kamara,2020,2021,MID,2917,2784,0.02,0.025,0.054,0.094
Boubacar Kamara,2021,2022,DEF,2784,1790,0.025,0.004,0.094,0.035
Boubacar Kamara,2022,2023,MID,1790,1686,0.004,0.008,0.035,0.059
Boubacar Kamara,2023,2024,MID,1686,1182,0.008,0.016,0.059,0.029
Boubacar Traore,2021,2022,MID,1710,399,0.027,0.01,0.075,0.075
Boubacar Traore,2022,2023,FWD,399,760,0.01,0.032,0.075,0.033
Boubakary Soumare,2017,2018,FWD,488,532,0.0,0.144,0.026,0.076
Boubakary Soumare,2018,2019,MID,532,1220,0.144,0.001,0.076,0.047
Boubakary Soumare,2019,2020,FWD,1220,1913,0.001,0.007,0.047,0.029
Boubakary Soumare,2020,2021,MID,1913,1102,0.007,0.027,0.029,0.023
Boubakary Soumare,2021,2022,MID,1102,1640,0.027,0.001,0.023,0.016
Boubakary Soumare,2022,2023,MID,1640,2289,0.001,0.001,0.016,0.041
Boubakary Soumare,2023,2024,MID,2289,1651,0.001,0.013,0.041,0.018
Brajan Gruda,2023,2024,MID,1671,480,0.238,0.04,0.298,0.102
Brennan Johnson,2022,2023,MID,2952,2350,0.252,0.466,0.114,0.293
Brennan Johnson,2023,2024,MID,2350,1886,0.466,0.507,0.293,0.137
Bruno Fernandes,2014,2015,MID,1605,2116,0.148,0.161,0.131,0.159
Bruno Fernandes,2015,2016,MID,2116,1736,0.161,0.299,0.159,0.232
Bruno Fernandes,2019,2020,MID,1211,3117,0.445,0.463,0.205,0.331
Bruno Fernandes,2020,2021,MID,3117,3135,0.463,0.267,0.331,0.253
Bruno Fernandes,2021,2022,MID,3135,3326,0.267,0.254,0.253,0.467
Bruno Fernandes,2022,2023,MID,3326,3121,0.254,0.31,0.467,0.379
Bruno Fernandes,2023,2024,FWD,3121,2564,0.31,0.324,0.379,0.292
Bruno Guimarães,2020,2021,MID,1760,2681,0.13,0.166,0.101,0.191
Bruno Guimarães,2021,2022,MID,2681,2762,0.166,0.089,0.191,0.124
Bruno Guimarães,2022,2023,MID,2762,3292,0.089,0.136,0.124,0.216
Bruno Guimarães,2023,2024,MID,3292,2547,0.136,0.1,0.216,0.191
Bryan Gil Salvatierra,2019,2020,MID,602,2293,0.157,0.142,0.098,0.182
Bryan Gil Salvatierra,2020,2021,MID,2293,839,0.142,0.177,0.182,0.157
Bryan Gil Salvatierra,2021,2022,MID,839,1072,0.177,0.317,0.157,0.092
Bryan Mbeumo,2021,2022,FWD,2934,2991,0.301,0.304,0.121,0.23
Bryan Mbeumo,2022,2023,FWD,2991,1954,0.304,0.422,0.23,0.237
Bryan Mbeumo,2023,2024,FWD,1954,2789,0.422,0.361,0.237,0.265
Bukayo Saka,2019,2020,MID,1769,2577,0.058,0.25,0.187,0.158
Bukayo Saka,2020,2021,FWD,2577,3034,0.25,0.294,0.158,0.226
Bukayo Saka,2021,2022,MID,3034,3216,0.294,0.316,0.226,0.197
Bukayo Saka,2022,2023,FWD,3216,2990,0.316,0.506,0.197,0.341
Bukayo Saka,2023,2024,FWD,2990,1368,0.506,0.402,0.341,0.639
Caleb Okoli,2022,2023,FWD,944,2908,0.069,0.02,0.0,0.022
Caleb Okoli,2023,2024,DEF,2908,1022,0.02,0.029,0.022,0.0
Callum Hudson-Odoi,2018,2019,FWD,390,816,0.229,0.222,0.362,0.299
Callum Hudson-Odoi,2019,2020,FWD,816,1048,0.222,0.118,0.299,0.267
Callum Hudson-Odoi,2020,2021,FWD,1048,971,0.118,0.257,0.267,0.245
Callum Hudson-Odoi,2021,2022,MID,971,610,0.257,0.024,0.245,0.092
Callum Hudson-Odoi,2022,2023,FWD,610,1844,0.024,0.147,0.092,0.151
Callum Hudson-Odoi,2023,2024,MID,1844,2021,0.147,0.107,0.151,0.13
Callum Wilson,2015,2016,FWD,769,1382,0.275,0.349,0.127,0.036
Callum Wilson,2016,2017,FWD,1382,2007,0.349,0.342,0.036,0.07
Callum Wilson,2017,2018,FWD,2007,2548,0.342,0.566,0.07,0.21
Callum Wilson,2018,2019,FWD,2548,2916,0.566,0.304,0.21,0.103
Callum Wilson,2019,2020,FWD,2916,2079,0.304,0.588,0.103,0.132
Callum Wilson,2020,2021,FWD,2079,1401,0.588,0.452,0.132,0.034
Callum Wilson,2021,2022,FWD,1401,1911,0.452,0.888,0.034,0.168
Callum Wilson,2022,2023,FWD,1911,963,0.888,0.946,0.168,0.087
Calum Chambers,2016,2017,DEF,2250,875,0.034,0.161,0.024,0.011
Calum Chambers,2017,2018,DEF,875,2588,0.161,0.085,0.011,0.033
Calum Chambers,2018,2019,MID,2588,1102,0.085,0.052,0.033,0.183
Calum Chambers,2019,2020,DEF,1102,750,0.052,0.044,0.183,0.125
Calum Chambers,2020,2021,DEF,750,1001,0.044,0.024,0.125,0.016
Calum Chambers,2021,2022,DEF,1001,318,0.024,0.028,0.016,0.107
Calvin Bassey,2023,2024,DEF,2278,2442,0.015,0.039,0.004,0.002
