fpl_player_name,fpl_web_name,fpl_team_id,match_status,matched_fc26_name
Jack Henry-Francis,Jack Henry-Francis,1,MATCHED,Jack Henry-Francis
Brayden Clarke,Clarke,1,UNMATCHED_YOUTH_OR_NEW_SIGNING,N/A
Leon Bailey,Bailey,2,MATCHED,Leon Bailey
Ross Barkley,Barkley,2,MATCHED,Ross Barkley
Enzo Barrenechea,Barrenechea,2,MATCHED,Enzo Barrenechea
Emiliano Buendía Stati,Buendia,2,UNMATCHED_YOUTH_OR_NEW_SIGNING,N/A
Matty Cash,Cash,2,MATCHED,Matty Cash
Leander Dendoncker,Dendoncker,2,MATCHED,Leander Dendoncker
Moussa Diaby,Diaby,2,MATCHED,Moussa Diaby
Diego Carlos Santos Silva,Diego Carlos,2,MATCHED,Diego Carlos
Lucas Digne,Digne,2,MATCHED,Lucas Digne
Lewis Dobbin,Dobbin,2,MATCHED,Lewis Dobbin
Jhon Durán,Duran,2,MATCHED,Jhon Durán
Joe Gauci,Gauci,2,MATCHED,Joe Gauci
Kortney Hause,Hause,2,UNMATCHED_YOUTH_OR_NEW_SIGNING,N/A
Samuel Iling-Junior,Iling Jr,2,MATCHED,Samuel Iling-Junior
Boubacar Kamara,Kamara,2,MATCHED,Boubacar Kamara
Kaine Kesler-Hayden,Kesler-Hayden,2,MATCHED,Kaine Kesler-Hayden
Ezri Konsa Ngoyo,Konsa,2,UNMATCHED_YOUTH_OR_NEW_SIGNING,N/A
Ian Maatsen,Maatsen,2,MATCHED,Ian Maatsen
Filip Marschall,Marschall,2,MATCHED,Filip Marschall
Emiliano Martínez Romero,Martinez,2,UNMATCHED_YOUTH_OR_NEW_SIGNING,N/A
John McGinn,McGinn,2,MATCHED,John McGinn
Tyrone Mings,Mings,2,MATCHED,Tyrone Mings
Kosta Nedeljković,Nedeljkovic,2,MATCHED,Kosta Nedeljković
Robin Olsen,Olsen,2,MATCHED,Robin Olsen
Pau Torres,Pau,2,MATCHED,Pau Torres
Jacob Ramsey,Ramsey,2,MATCHED,Jacob Ramsey
Morgan Rogers,Rogers,2,MATCHED,Morgan Rogers
Viljami Sinisalo,Sinisalo,2,MATCHED,Viljami Sinisalo
Lino da Cruz Sousa,Sousa,2,UNMATCHED_YOUTH_OR_NEW_SIGNING,N/A
Youri Tielemans,Tielemans,2,MATCHED,Youri Tielemans
Ollie Watkins,Watkins,2,MATCHED,Ollie Watkins
Axel Disasi,Disasi,2,MATCHED,Axel Disasi
Amadou Onana,Onana,2,MATCHED,Amadou Onana
Marcus Rashford,Rashford,2,MATCHED,Marcus Rashford
Lamare Bogarde,Bogarde,2,MATCHED,Lamare Bogarde
Sil Swinkels,Swinkels,2,MATCHED,Sil Swinkels
Oliwier Zych,Zych,2,MATCHED,Oliwier Zych
Kadan Young,Young,2,UNMATCHED_YOUTH_OR_NEW_SIGNING,N/A
Ben Broggio,Broggio,2,UNMATCHED_YOUTH_OR_NEW_SIGNING,N/A
Jamaldeen Jimoh,Jimoh,2,UNMATCHED_YOUTH_OR_NEW_SIGNING,N/A
Donyell Malen,Malen,2,MATCHED,Donyell Malen
Andrés García,A. Garcia,2,MATCHED,Andrés García
Unai Emery,Emery,2,UNMATCHED_YOUTH_OR_NEW_SIGNING,N/A
Marco Asensio,M.Asensio,2,MATCHED,Marco Asensio
Max Aarons,Aarons,3,MATCHED,Max Aarons
Tyler Adams,Adams,3,MATCHED,Tyler Adams
Jaidon Anthony,Anthony,3,MATCHED,Jaidon Anthony
David Brooks,Brooks,3,MATCHED,David Brooks
Ryan Christie,Christie,3,MATCHED,Ryan Christie
Lewis Cook,Cook,3,MATCHED,Lewis Cook
Enes Ünal,Enes Ünal,3,MATCHED,Enes Ünal
Romain Faivre,Faivre,3,MATCHED,Romain Faivre
Hamed Traorè,H.Traorè,3,UNMATCHED_YOUTH_OR_NEW_SIGNING,N/A
James Hill,Hill,3,MATCHED,James Hill
Daniel Jebbison,Jebbison,3,MATCHED,Daniel Jebbison
Milos Kerkez,Kerkez,3,MATCHED,Milos Kerkez
Justin Kluivert,Kluivert,3,MATCHED,Justin Kluivert
Chris Mepham,Mepham,3,MATCHED,Chris Mepham
Dango Ouattara,O.Dango,3,MATCHED,Dango Ouattara
Alex Paulsen,Paulsen,3,MATCHED,Alex Paulsen
Philip Billing,Philip,3,MATCHED,Philip Billing
Alex Scott,Scott,3,MATCHED,Alex Scott
Antoine Semenyo,Semenyo,3,MATCHED,Antoine Semenyo
Marcos Senesi,Senesi,3,MATCHED,Marcos Senesi
Luis Sinisterra,Sinisterra,3,UNMATCHED_YOUTH_OR_NEW_SIGNING,N/A
Adam Smith,Smith,3,MATCHED,Adam Smith
Marcus Tavernier,Tavernier,3,MATCHED,Marcus Tavernier
Mark Travers,Travers,3,MATCHED,Mark Travers
Illia Zabarnyi,Zabarnyi,3,MATCHED,Illia Zabarnyi
Kepa Arrizabalaga,Arrizabalaga,3,UNMATCHED_YOUTH_OR_NEW_SIGNING,N/A
Dean Huijsen,Huijsen,3,MATCHED,Dean Huijsen
Julián Araujo Zúñiga,J.Araujo,3,UNMATCHED_YOUTH_OR_NEW_SIGNING,N/A
Will Dennis,Dennis,3,MATCHED,Will Dennis
Francisco Evanilson de Lima Barbosa,Evanilson,3,MATCHED,Evanilson
Max Kinsey,Kinsey,3,UNMATCHED_YOUTH_OR_NEW_SIGNING,N/A
Ben Winterburn,Winterburn,3,MATCHED,Ben Winterburn
Archie Harris,Harris,3,UNMATCHED_YOUTH_OR_NEW_SIGNING,N/A
Remy Rees-Dottin,Rees-Dottin,3,UNMATCHED_YOUTH_OR_NEW_SIGNING,N/A
Matai Akinmboni,Akinmboni,3,MATCHED,Matai Akinmboni
Julio Soler,Soler,3,MATCHED,Julio Soler
Daniel Adu-Adjei,Adu-Adjei,3,UNMATCHED_YOUTH_OR_NEW_SIGNING,N/A
Dominic Sadi,Sadi,3,UNMATCHED_YOUTH_OR_NEW_SIGNING,N/A
Callan McKenna,McKenna,3,MATCHED,Callan McKenna
Zain Silcott-Duberry,Silcott-Duberry,3,UNMATCHED_YOUTH_OR_NEW_SIGNING,N/A
Andoni Iraola,Iraola,3,UNMATCHED_YOUTH_OR_NEW_SIGNING,N/A
Kristoffer Ajer,Ajer,4,MATCHED,Kristoffer Ajer
Ethan Brierley,Brierley,4,MATCHED,Ethan Brierley
Nathan Collins,Collins,4,MATCHED,Nathan Collins
Mikkel Damsgaard,Damsgaard,4,MATCHED,Mikkel Damsgaard
Josh Dasilva,Dasilva,4,UNMATCHED_YOUTH_OR_NEW_SIGNING,N/A
Mark Flekken,Flekken,4,MATCHED,Mark Flekken
Rico Henry,Henry,4,MATCHED,Rico Henry
Aaron Hickey,Hickey,4,MATCHED,Aaron Hickey
Vitaly Janelt,Janelt,4,MATCHED,Vitaly Janelt
Mathias Jensen,Jensen,4,MATCHED,Mathias Jensen
Kim Ji-soo,Ji-soo,4,MATCHED,Kim Ji Soo
Yunus Emre Konak,Konak,4,MATCHED,Yunus Emre Konak
Keane Lewis-Potter,Lewis-Potter,4,MATCHED,Keane Lewis-Potter
Bryan Mbeumo,Mbeumo,4,MATCHED,Bryan Mbeumo
Ben Mee,Mee,4,UNMATCHED_YOUTH_OR_NEW_SIGNING,N/A
Christian Nørgaard,Nørgaard,4,MATCHED,Christian Nørgaard
Frank Onyeka,Onyeka,4,MATCHED,Frank Onyeka
Myles Peart-Harris,Peart-Harris,4,MATCHED,Myles Peart-Harris
Ethan Pinnock,Pinnock,4,MATCHED,Ethan Pinnock
Mads Roerslev Rasmussen,Roerslev,4,UNMATCHED_YOUTH_OR_NEW_SIGNING,N/A
Kevin Schade,Schade,4,MATCHED,Kevin Schade
Igor Thiago Nascimento Rodrigues,Thiago,4,MATCHED,Thiago
Ivan Toney,Toney,4,MATCHED,Ivan Toney
Hákon Valdimarsson,Valdimarsson,4,MATCHED,Hákon Valdimarsson
Yoane Wissa,Wissa,4,MATCHED,Yoane Wissa
Yehor Yarmoliuk,Yarmoliuk,4,MATCHED,Yehor Yarmoliuk
Mathias Jorgensen,Zanka,4,MATCHED,Zanka
Fábio Freitas Gouveia Carvalho,Carvalho,4,UNMATCHED_YOUTH_OR_NEW_SIGNING,N/A
Sepp van den Berg,Van den Berg,4,MATCHED,Sepp van den Berg
Ryan Trevitt,Trevitt,4,MATCHED,Ryan Trevitt
Gustavo Nunes Fernandes Gomes,G.Nunes,4,UNMATCHED_YOUTH_OR_NEW_SIGNING,N/A
Jayden Meghoma,Meghoma,4,MATCHED,Jayden Meghoma
Tony Yogane,Yogane,4,MATCHED,Tony Yogane
Paris Maghoma,Maghoma,4,MATCHED,Paris Maghoma
Benjamin Arthur,Arthur,4,MATCHED,Arthur
Thomas Frank,Frank,4,UNMATCHED_YOUTH_OR_NEW_SIGNING,N/A
Michael Kayode,Kayode,4,MATCHED,Michael Kayode
Julian Eyestone,Eyestone,4,UNMATCHED_YOUTH_OR_NEW_SIGNING,N/A
Iwan Morgan,Morgan,4,UNMATCHED_YOUTH_OR_NEW_SIGNING,N/A
Benjamin Fredrick,Benjamin Fredrick,4,MATCHED,Benjamin Fredrick
Simon Adingra,Adingra,5,MATCHED,Simon Adingra
Benicio Baker-Boaitey,Baker-Boaitey,5,UNMATCHED_YOUTH_OR_NEW_SIGNING,N/A
Carlos Baleba,Baleba,5,MATCHED,Carlos Baleba
Valentín Barco,Barco,5,MATCHED,Valentín Barco
Amario Cozier-Duberry,Cozier-Duberry,5,MATCHED,Amario Cozier-Duberry
Mahmoud Dahoud,Dahoud,5,MATCHED,Mahmoud Dahoud
Lewis Dunk,Dunk,5,MATCHED,Lewis Dunk
Pervis Estupiñán,Estupiñan,5,MATCHED,Pervis Estupiñán
Billy Gilmour,Gilmour,5,MATCHED,Billy Gilmour
Pascal Groß,Gross,5,MATCHED,Pascal Groß
Jack Hinshelwood,Hinshelwood,5,MATCHED,Jack Hinshelwood
Ibrahim Osman,I.Osman,5,MATCHED,Ibrahim Osman
Igor Julio dos Santos de Paulo,Igor,5,MATCHED,Igor
João Pedro Junqueira de Jesus,João Pedro,5,MATCHED,João Pedro
Kacper Kozłowski,Kozlowski,5,MATCHED,Kacper Kozłowski
Tariq Lamptey,Lamptey,5,MATCHED,Tariq Lamptey
Solly March,March,5,MATCHED,Solly March
Adrian Mazilu,Mazilu,5,UNMATCHED_YOUTH_OR_NEW_SIGNING,N/A
James Milner,Milner,5,MATCHED,James Milner
Yankuba Minteh,Minteh,5,MATCHED,Yankuba Minteh
Mitoma Kaoru,Mitoma,5,UNMATCHED_YOUTH_OR_NEW_SIGNING,N/A
Jakub Moder,Moder,5,MATCHED,Jakub Moder
Mark O’Mahony,O’Mahony,5,MATCHED,Mark O'Mahony
Odeluga Offiah,Offiah,5,UNMATCHED_YOUTH_OR_NEW_SIGNING,N/A
Cameron Peupion,Peupion,5,UNMATCHED_YOUTH_OR_NEW_SIGNING,N/A
Jeremy Sarmiento Morante,Sarmiento,5,UNMATCHED_YOUTH_OR_NEW_SIGNING,N/A
Jason Steele,Steele,5,MATCHED,Jason Steele
Deniz Undav,Undav,5,MATCHED,Deniz Undav
Jan Paul van Hecke,Van Hecke,5,MATCHED,Jan Paul van Hecke
Joël Veltman,Veltman,5,MATCHED,Joël Veltman
Bart Verbruggen,Verbruggen,5,MATCHED,Bart Verbruggen
Adam Webster,Webster,5,MATCHED,Adam Webster
Danny Welbeck,Welbeck,5,MATCHED,Danny Welbeck
Mats Wieffer,Wieffer,5,MATCHED,Mats Wieffer
Brajan Gruda,Gruda,5,MATCHED,Brajan Gruda
Yasin Ayari,Ayari,5,MATCHED,Yasin Ayari
Andrew Moran,Moran,5,UNMATCHED_YOUTH_OR_NEW_SIGNING,N/A
Carl Rushworth,Rushworth,5,MATCHED,Carl Rushworth
Georginio Rutter,Georginio,5,MATCHED,Georginio Rutter
Ferdi Kadioglu,F.Kadıoğlu,5,UNMATCHED_YOUTH_OR_NEW_SIGNING,N/A
Matt O'Riley,O'Riley,5,MATCHED,Matt O'Riley
Imari Samuels,Samuels,5,MATCHED,Imari Samuels
Killian Cahill,Cahill,5,MATCHED,Killian Cahill
Ruairi McConville,McConville,5,MATCHED,Ruairi McConville
Jacob Slater,Slater,5,UNMATCHED_YOUTH_OR_NEW_SIGNING,N/A
Diego Gómez,Gómez,5,MATCHED,Diego Gómez
Fabian Hürzeler,Hürzeler,5,UNMATCHED_YOUTH_OR_NEW_SIGNING,N/A
Joe Knight,Knight,5,UNMATCHED_YOUTH_OR_NEW_SIGNING,N/A
Eiran Cashin,Cashin,5,UNMATCHED_YOUTH_OR_NEW_SIGNING,N/A
Charlie Tasker,Charlie Tasker,5,UNMATCHED_YOUTH_OR_NEW_SIGNING,N/A
Freddie Simmonds,Freddie Simmonds,5,UNMATCHED_YOUTH_OR_NEW_SIGNING,N/A
Harry Howell,Harry Howell,5,UNMATCHED_YOUTH_OR_NEW_SIGNING,N/A
Andrey Nascimento dos Santos,Andrey Santos,6,MATCHED,Andrey Santos
Ângelo Gabriel Borges Damaceno,Ângelo,6,MATCHED,Ângelo
Benoît Badiashile,B.Badiashile,6,MATCHED,Benoît Badiashile
Lucas Bergström,Bergström,6,MATCHED,Lucas Bergström
Marcus Bettinelli,Bettinelli,6,MATCHED,Marcus Bettinelli
Moisés Caicedo Corozo,Caicedo,6,UNMATCHED_YOUTH_OR_NEW_SIGNING,N/A
Cesare Casadei,Casadei,6,MATCHED,Cesare Casadei
Trevoh Chalobah,Chalobah,6,MATCHED,Trevoh Chalobah
Carney Chukwuemeka,Chukwuemeka,6,MATCHED,Carney Chukwuemeka
Levi Colwill,Colwill,6,MATCHED,Levi Colwill
Marc Cucurella Saseta,Cucurella,6,UNMATCHED_YOUTH_OR_NEW_SIGNING,N/A
David Datro Fofana,D.D.Fofana,6,UNMATCHED_YOUTH_OR_NEW_SIGNING,N/A
Deivid Washington de Souza Eugênio,Deivid,6,UNMATCHED_YOUTH_OR_NEW_SIGNING,N/A
Kiernan Dewsbury-Hall,Dewsbury-Hall,6,MATCHED,Kiernan Dewsbury-Hall
Enzo Fernández,Enzo,6,MATCHED,Enzo Fernández
Conor Gallagher,Gallagher,6,MATCHED,Conor Gallagher
Alfie Gilchrist,Gilchrist,6,MATCHED,Alfie Gilchrist
Malo Gusto,Gusto,6,MATCHED,Malo Gusto
Reece James,James,6,MATCHED,Reece James
Omari Kellyman,Kellyman,6,MATCHED,Omari Kellyman
Roméo Lavia,Lavia,6,UNMATCHED_YOUTH_OR_NEW_SIGNING,N/A
Romelu Lukaku Bolingoli,Lukaku,6,UNMATCHED_YOUTH_OR_NEW_SIGNING,N/A
Malang Sarr,M.Sarr,6,MATCHED,Malang Sarr
Noni Madueke,Madueke,6,MATCHED,Noni Madueke
Marc Guiu Paz,Marc Guiu,6,MATCHED,Marc Guiu
Mykhailo Mudryk,Mudryk,6,UNMATCHED_YOUTH_OR_NEW_SIGNING,N/A
Nicolas Jackson,N.Jackson,6,MATCHED,Nicolas Jackson
Christopher Nkunku,Nkunku,6,MATCHED,Christopher Nkunku
Cole Palmer,Palmer,6,MATCHED,Cole Palmer
Đorđe Petrović,Petrović,6,MATCHED,Đorđe Petrović
Renato Palma Veiga,Renato Veiga,6,MATCHED,Renato Veiga
Robert Sánchez,Sánchez,6,MATCHED,Robert Sánchez
Tosin Adarabioyo,Tosin,6,MATCHED,Tosin Adarabioyo
Wesley Fofana,W.Fofana,6,MATCHED,Wesley Fofana
Jadon Sancho,Sancho,6,MATCHED,Jadon Sancho
Pedro Lomba Neto,Neto,6,UNMATCHED_YOUTH_OR_NEW_SIGNING,N/A
Caleb Wiley,Wiley,6,MATCHED,Caleb Wiley
Filip Jørgensen,Jørgensen,6,MATCHED,Filip Jörgensen
João Félix Sequeira,João Félix,6,MATCHED,João Félix
Samuel Rak-Sakyi,Rak-Sakyi,6,UNMATCHED_YOUTH_OR_NEW_SIGNING,N/A
Tyrique George,George,6,MATCHED,Tyrique George
Josh Acheampong,Acheampong,6,MATCHED,Josh Acheampong
Enzo Maresca,Maresca,6,UNMATCHED_YOUTH_OR_NEW_SIGNING,N/A
Mathis Amougou,Amougou,6,MATCHED,Mathis Amougou
Aaron Anselmino,Anselmino,6,MATCHED,Aaron Anselmino
Shumaira Mheuka,Mheuka,6,UNMATCHED_YOUTH_OR_NEW_SIGNING,N/A
Ishé Samuels-Smith,Samuels-Smith,6,MATCHED,Ishé Samuels-Smith
Genesis Antwi,Genesis Antwi,6,UNMATCHED_YOUTH_OR_NEW_SIGNING,N/A
Eddie Nketiah,Nketiah,7,MATCHED,Eddie Nketiah
Ben Chilwell,Chilwell,7,MATCHED,Ben Chilwell
Naouirou Ahamada,Ahamada,7,MATCHED,Naouirou Ahamada
Cheick Doucouré,C.Doucouré,7,MATCHED,Cheick Doucouré
Chris Richards,C.Richards,7,MATCHED,Chris Richards
Chadi Riad Dnanou,Chadi Riad,7,MATCHED,Chadi Riad
Nathaniel Clyne,Clyne,7,MATCHED,Nathaniel Clyne
Malcolm Ebiowei,Ebiowei,7,UNMATCHED_YOUTH_OR_NEW_SIGNING,N/A
Eberechi Eze,Eze,7,MATCHED,Eberechi Eze
Marc Guéhi,Guéhi,7,MATCHED,Marc Guéhi
Dean Henderson,Henderson,7,MATCHED,Dean Henderson
Rob Holding,Holding,7,MATCHED,Rob Holding
Will Hughes,Hughes,7,MATCHED,Will Hughes
Daichi Kamada,Kamada,7,MATCHED,Daichi Kamada
Jefferson Lerma Solís,Lerma,7,UNMATCHED_YOUTH_OR_NEW_SIGNING,N/A
Jean-Philippe Mateta,Mateta,7,MATCHED,Jean-Philippe Mateta
Matheus França de Oliveira,M.França,7,UNMATCHED_YOUTH_OR_NEW_SIGNING,N/A
Remi Matthews,Matthews,7,MATCHED,Remi Matthews
Tyrick Mitchell,Mitchell,7,MATCHED,Tyrick Mitchell
Daniel Muñoz,Muñoz,7,MATCHED,Daniel Muñoz
David Ozoh,Ozoh,7,MATCHED,David Ozoh
Jesurun Rak-Sakyi,Rak-Sakyi,7,MATCHED,Jesurun Rak-Sakyi
Jeffrey Schlupp,Schlupp,7,MATCHED,Jeffrey Schlupp
Joel Ward,Ward,7,UNMATCHED_YOUTH_OR_NEW_SIGNING,N/A
Adam Wharton,Wharton,7,MATCHED,Adam Wharton
Matt Turner,Turner,7,MATCHED,Matt Turner
Ismaïla Sarr,I.Sarr,7,MATCHED,Ismaïla Sarr
Franco Umeh-Chibueze,Umeh-Chibueze,7,UNMATCHED_YOUTH_OR_NEW_SIGNING,N/A
Justin Devenny,Devenny,7,MATCHED,Justin Devenny
Asher Agbinone,Agbinone,7,UNMATCHED_YOUTH_OR_NEW_SIGNING,N/A
Kaden Rodney,Rodney,7,UNMATCHED_YOUTH_OR_NEW_SIGNING,N/A
Maxence Lacroix,Lacroix,7,MATCHED,Maxence Lacroix
Caleb Kporha,Kporha,7,MATCHED,Caleb Kporha
Zach Marsh,Marsh,7,UNMATCHED_YOUTH_OR_NEW_SIGNING,N/A
Romain Esse,Esse,7,MATCHED,Romain Esse
Oliver Glasner,Glasner,7,UNMATCHED_YOUTH_OR_NEW_SIGNING,N/A
Armando Broja,Broja,8,MATCHED,Armando Broja
Abdoulaye Doucouré,A.Doucoure,8,MATCHED,Abdoulaye Doucouré
Norberto Bercique Gomes Betuncal,Beto,8,MATCHED,Beto
Jarrad Branthwaite,Branthwaite,8,MATCHED,Jarrad Branthwaite
Dominic Calvert-Lewin,Calvert-Lewin,8,MATCHED,Dominic Calvert-Lewin
Séamus Coleman,Coleman,8,MATCHED,Séamus Coleman
Idrissa Gueye,Gana,8,MATCHED,Idrissa Gueye
James Garner,Garner,8,MATCHED,James Garner
Jack Harrison,Harrison,8,MATCHED,Jack Harrison
Mason Holgate,Holgate,8,UNMATCHED_YOUTH_OR_NEW_SIGNING,N/A
Tim Iroegbunam,Iroegbunam,8,MATCHED,Tim Iroegbunam
João Neves Virgínia,J.Virginia,8,UNMATCHED_YOUTH_OR_NEW_SIGNING,N/A
Michael Keane,Keane,8,MATCHED,Michael Keane
Neal Maupay,Maupay,8,MATCHED,Neal Maupay
Dwight McNeil,McNeil,8,MATCHED,Dwight McNeil
Vitalii Mykolenko,Mykolenko,8,UNMATCHED_YOUTH_OR_NEW_SIGNING,N/A
Iliman Ndiaye,Ndiaye,8,MATCHED,Iliman Ndiaye
Nathan Patterson,Patterson,8,MATCHED,Nathan Patterson
Jordan Pickford,Pickford,8,MATCHED,Jordan Pickford
James Tarkowski,Tarkowski,8,MATCHED,James Tarkowski
Youssef Ramalho Chermiti,Y. Chermiti,8,UNMATCHED_YOUTH_OR_NEW_SIGNING,N/A
Ashley Young,Young,8,MATCHED,Ashley Young
Carlos Alcaraz Durán,Alcaraz,8,UNMATCHED_YOUTH_OR_NEW_SIGNING,N/A
Jesper Lindstrøm,Lindstrøm,8,MATCHED,Jesper Lindstrøm
Jake O'Brien,O'Brien,8,MATCHED,Jake O'Brien
Harrison Armstrong,Armstrong,8,MATCHED,Harrison Armstrong
Jenson Metcalfe,Metcalfe,8,MATCHED,Jenson Metcalfe
Asmir Begovic,Begovic,8,UNMATCHED_YOUTH_OR_NEW_SIGNING,N/A
Roman Dixon,Dixon,8,UNMATCHED_YOUTH_OR_NEW_SIGNING,N/A
Orel Mangala,Mangala,8,MATCHED,Orel Mangala
Callum Bates,Bates,8,UNMATCHED_YOUTH_OR_NEW_SIGNING,N/A
Martin Sherif,Sherif,8,UNMATCHED_YOUTH_OR_NEW_SIGNING,N/A
David Moyes,Moyes,8,UNMATCHED_YOUTH_OR_NEW_SIGNING,N/A
Isaac Heath,Heath,8,UNMATCHED_YOUTH_OR_NEW_SIGNING,N/A
Coby Ebere,Coby Ebere,8,UNMATCHED_YOUTH_OR_NEW_SIGNING,N/A
Reece Welch,Welch,8,UNMATCHED_YOUTH_OR_NEW_SIGNING,N/A
Reiss Nelson,Nelson,9,MATCHED,Reiss Nelson
Emile Smith Rowe,Smith Rowe,9,MATCHED,Emile Smith Rowe
Joachim Andersen,Andersen,9,MATCHED,Joachim Andersen
Adama Traoré,Adama,9,MATCHED,Adama Traoré
Andreas Hoelgebaum Pereira,Andreas,9,UNMATCHED_YOUTH_OR_NEW_SIGNING,N/A
Calvin Bassey,Bassey,9,MATCHED,Calvin Bassey
Steven Benda,Benda,9,MATCHED,Steven Benda
Tom Cairney,Cairney,9,MATCHED,Tom Cairney
Timothy Castagne,Castagne,9,MATCHED,Timothy Castagne
Issa Diop,Diop,9,MATCHED,Issa Diop
Luke Harris,Harris,9,MATCHED,Luke Harris
Alex Iwobi,Iwobi,9,MATCHED,Alex Iwobi
Bernd Leno,Leno,9,MATCHED,Bernd Leno
Saša Lukić,Lukić,9,MATCHED,Saša Lukić
Kevin Mbabu,Mbabu,9,MATCHED,Kevin Mbabu
Rodrigo Muniz Carvalho,Muniz,9,UNMATCHED_YOUTH_OR_NEW_SIGNING,N/A
Raúl Jiménez,Raúl,9,MATCHED,Raúl Jiménez
Tim Ream,Ream,9,MATCHED,Tim Ream
Harrison Reed,Reed,9,MATCHED,Harrison Reed
Antonee Robinson,Robinson,9,MATCHED,Antonee Robinson
Jay Stansfield,Stansfield,9,MATCHED,Jay Stansfield
Kenny Tete,Tete,9,MATCHED,Kenny Tete
Carlos Vinícius Alves Morais,Vinicius,9,UNMATCHED_YOUTH_OR_NEW_SIGNING,N/A
Harry Wilson,Wilson,9,MATCHED,Harry Wilson
Ryan Sessegnon,Sessegnon,9,MATCHED,Ryan Sessegnon
Jorge Cuenca Barreno,J.Cuenca,9,UNMATCHED_YOUTH_OR_NEW_SIGNING,N/A
Josh King,King,9,MATCHED,Josh King
Martial Godo,Godo,9,MATCHED,Martial Godo
Sander Berge,Berge,9,MATCHED,Sander Berge
Samuel Amissah,Amissah,9,UNMATCHED_YOUTH_OR_NEW_SIGNING,N/A
Marco Alexandre Saraiva da Silva,Silva,9,UNMATCHED_YOUTH_OR_NEW_SIGNING,N/A
Willian Borges da Silva,Willian,9,UNMATCHED_YOUTH_OR_NEW_SIGNING,N/A
Julio Enciso,Enciso,10,UNMATCHED_YOUTH_OR_NEW_SIGNING,N/A
Ali Al-Hamadi,Al-Hamadi,10,MATCHED,Ali Al Hamadi
Elkan Baggott,Baggott,10,MATCHED,Elkan Baggott
Nathan Broadhead,Broadhead,10,MATCHED,Nathan Broadhead
Cameron Burgess,Burgess,10,MATCHED,Cameron Burgess
Wes Burns,Burns,10,MATCHED,Wes Burns
Conor Chaplin,Chaplin,10,MATCHED,Conor Chaplin
Harry Clarke,H.Clarke,10,MATCHED,Harry Clarke
Leif Davis,Davis,10,MATCHED,Leif Davis
Liam Delap,Delap,10,MATCHED,Liam Delap
George Edmundson,Edmundson,10,MATCHED,George Edmundson
Jacob Greaves,Greaves,10,MATCHED,Jacob Greaves
Marcus Myers-Harness,Harness,10,UNMATCHED_YOUTH_OR_NEW_SIGNING,N/A
George Hirst,Hirst,10,MATCHED,George Hirst
