season,gw,formation,fpla_pts,raw_xi_pts,captain_name,captain_pts,captain_extra,capt_top1_hit,capt_top3_hit,bench_pts,autosub_pts,budget_used
2024-25,2,5-2-3,80,63,Erling Haaland,17,17,1,1,7,0,99.6
2024-25,3,5-3-2,82,65,Erling Haaland,17,17,1,1,12,0,99.2
2024-25,4,4-4-2,64,51,Erling Haaland,13,13,0,1,4,0,99.7
2024-25,5,4-4-2,61,51,Erling Haaland,9,9,0,1,13,1,99.9
2024-25,6,3-5-2,37,35,Erling Haaland,2,2,0,0,7,0,100.0
2024-25,7,4-4-2,47,45,Erling Haaland,2,2,0,0,14,0,99.9
2024-25,8,3-4-3,26,24,Cole Palmer,2,2,0,1,7,0,99.5
2024-25,9,3-4-3,44,31,Cole Palmer,10,10,1,1,5,3,99.7
2024-25,10,3-4-3,36,33,Cole Palmer,3,3,0,1,14,0,100.0
2024-25,11,3-4-3,38,33,Erling Haaland,5,5,0,1,13,0,99.9
2024-25,12,3-5-2,58,54,Erling Haaland,2,2,0,0,14,2,100.0
2024-25,13,3-4-3,54,46,Erling Haaland,2,2,0,0,6,6,100.0
2024-25,14,3-5-2,49,44,Erling Haaland,5,5,0,1,4,0,99.9
2024-25,15,3-4-3,61,54,Erling Haaland,7,7,0,1,13,0,99.9
2024-25,16,3-4-3,48,43,Mohamed Salah,5,5,0,0,15,0,100.0
2024-25,17,4-5-1,97,69,Mohamed Salah,21,21,1,1,19,7,100.0
2024-25,18,3-5-2,71,61,Mohamed Salah,9,9,0,1,15,1,100.0
2024-25,19,3-5-2,77,61,Mohamed Salah,16,16,1,1,15,0,100.0
2024-25,20,3-5-2,67,54,Mohamed Salah,7,7,0,1,22,6,99.9
2024-25,21,4-4-2,45,43,Mohamed Salah,2,2,0,0,9,0,99.9
2024-25,22,3-5-2,27,24,Mohamed Salah,3,3,0,1,12,0,99.9
2024-25,23,4-3-3,66,58,Mohamed Salah,8,8,0,1,6,0,99.8
2024-25,24,3-4-3,57,41,Mohamed Salah,16,16,1,1,14,0,99.9
2024-25,25,3-4-3,58,45,Mohamed Salah,12,12,1,1,5,1,99.2
2024-25,26,3-4-3,76,71,Jean-Philippe Mateta,5,5,0,0,4,0,100.0
2024-25,27,4-3-3,56,48,Mohamed Salah,6,6,0,1,8,2,99.8
2024-25,28,3-5-2,63,46,Mohamed Salah,15,15,1,1,22,2,100.0
2024-25,29,3-4-3,57,48,Cole Palmer,0,7,0,0,10,2,99.8
2024-25,30,5-3-2,32,17,Mohamed Salah,3,3,1,1,15,12,100.0
2024-25,31,4-5-1,21,19,Mohamed Salah,2,2,0,1,7,0,98.2
2024-25,32,4-5-1,55,49,Mohamed Salah,6,6,0,1,19,0,96.6
2024-25,33,3-4-3,41,38,Mohamed Salah,3,3,0,1,6,0,99.5
2024-25,34,3-4-3,66,58,Mohamed Salah,8,8,0,1,16,0,99.4
2024-25,35,3-4-3,32,19,Mohamed Salah,2,2,0,1,13,11,99.8
2024-25,36,3-4-3,62,60,Mohamed Salah,2,2,0,0,31,0,100.0
2024-25,37,3-5-2,54,37,Mohamed Salah,2,2,0,0,28,15,100.0
2024-25,38,4-5-1,57,47,Mohamed Salah,10,10,1,1,8,0,100.0
2025-26,1,4-4-2,58,47,Mohamed Salah,8,8,0,1,11,3,100.0
2025-26,2,4-4-2,41,33,Mohamed Salah,5,5,0,1,3,3,99.6
2025-26,3,4-4-2,65,56,Erling Haaland,9,9,0,1,11,0,100.0
2025-26,4,3-4-3,75,56,Erling Haaland,13,13,1,1,13,6,100.0
2025-26,5,4-3-3,49,40,Erling Haaland,9,9,0,1,15,0,99.9
2025-26,6,3-5-2,64,48,Erling Haaland,16,16,1,1,11,0,100.0
2025-26,7,3-4-3,73,65,Erling Haaland,8,8,0,1,7,0,100.0
2025-26,8,3-4-3,88,73,Erling Haaland,13,13,0,1,28,2,100.0
2025-26,9,4-4-2,46,39,Erling Haaland,2,2,0,0,17,5,100.0
2025-26,10,3-4-3,85,76,Jean-Philippe Mateta,9,9,0,1,6,0,99.9
2025-26,11,3-4-3,37,33,Erling Haaland,4,4,0,1,24,0,99.8
2025-26,12,4-4-2,41,32,Jean-Philippe Mateta,1,1,0,0,23,8,99.9
2025-26,13,3-4-3,40,38,Erling Haaland,2,2,0,0,9,0,99.9
2025-26,14,3-4-3,75,60,Erling Haaland,14,14,0,1,7,1,99.7
2025-26,15,3-4-3,41,33,Erling Haaland,2,2,0,0,17,6,99.9
2025-26,16,4-4-2,67,53,Erling Haaland,13,13,1,1,23,1,100.0
2025-26,17,3-4-3,65,49,Erling Haaland,16,16,1,1,9,0,100.0
2025-26,18,3-4-3,35,30,Erling Haaland,2,2,0,0,8,3,100.0
2025-26,19,3-4-3,37,35,Erling Haaland,2,2,0,0,26,0,99.9
2025-26,20,3-4-3,42,34,Erling Haaland,2,2,0,0,14,6,99.8
2025-26,21,3-5-2,52,34,Erling Haaland,6,6,1,1,19,12,99.8
2025-26,22,3-4-3,39,29,Erling Haaland,2,2,0,0,13,8,100.0
2025-26,23,3-4-3,45,41,Kevin Schade,2,2,0,0,8,2,100.0
2025-26,24,3-5-2,57,47,Ollie Watkins,0,2,0,0,10,8,99.2
2025-26,25,3-5-2,59,54,Igor Thiago Nascimento Rodrigues,5,5,0,0,10,0,99.9
2025-26,26,3-4-3,30,25,Erling Haaland,5,5,1,1,6,0,100.0
2025-26,27,3-5-2,46,32,Cole Palmer,3,3,0,1,20,11,99.4
2025-26,28,3-5-2,40,39,Cole Palmer,1,1,0,0,12,0,99.6
2025-26,29,3-4-3,87,67,Cole Palmer,9,9,0,1,24,11,99.7
2025-26,30,3-4-3,41,39,Cole Palmer,2,2,0,0,3,0,99.7
2025-26,31,3-4-3,59,47,João Pedro Junqueira de Jesus,2,2,0,0,13,10,100.0
2025-26,32,3-5-2,45,38,Bruno Borges Fernandes,4,4,0,1,13,3,99.6
2025-26,33,3-4-3,47,35,Bruno Borges Fernandes,6,6,0,1,17,6,99.5
2025-26,34,3-4-3,44,39,Bruno Borges Fernandes,5,5,0,1,18,0,96.9
2025-26,35,3-4-3,61,53,Erling Haaland,7,7,1,1,9,1,98.7
2025-26,36,4-3-3,55,48,Erling Haaland,0,3,0,0,11,4,99.9
2025-26,37,5-2-3,66,57,Erling Haaland,9,9,1,1,7,0,99.4
2025-26,38,5-4-1,55,35,Bruno Borges Fernandes,14,14,1,1,6,6,99.8
