gw,home,away,actual,core_pred,tactical_pred,override_prob,transition
15,Fulham,Crystal Palace,2,0,1,0.896,WRONG -> WRONG (0)
15,Wolverhampton Wanderers,Manchester United,2,2,0,0.8954,CORRECT -> WRONG (-1)
15,West Ham United,Aston Villa,2,2,0,0.9087,CORRECT -> WRONG (-1)
15,Manchester United,Bournemouth,1,0,1,0.9002,WRONG -> CORRECT (+1)
15,Everton,Arsenal,2,2,0,0.9221,CORRECT -> WRONG (-1)
15,Newcastle United,Chelsea,1,0,2,0.9082,WRONG -> WRONG (0)
15,Sunderland,Leeds United,1,0,2,0.8987,WRONG -> WRONG (0)
15,Burnley,Newcastle United,2,2,1,0.9103,CORRECT -> WRONG (-1)
15,Nottingham Forest,Everton,2,0,1,0.9061,WRONG -> WRONG (0)
15,Brentford,Tottenham,1,0,1,0.9212,WRONG -> CORRECT (+1)
15,Wolverhampton Wanderers,West Ham United,0,0,2,0.8884,CORRECT -> WRONG (-1)
15,Fulham,Chelsea,0,0,1,0.9155,CORRECT -> WRONG (-1)
15,Arsenal,Liverpool,1,0,1,0.9121,WRONG -> CORRECT (+1)
15,Sunderland,Crystal Palace,0,2,0,0.9047,WRONG -> CORRECT (+1)
15,Manchester United,Manchester City,0,2,0,0.907,WRONG -> CORRECT (+1)
15,Wolverhampton Wanderers,Newcastle United,1,2,1,0.9026,WRONG -> CORRECT (+1)
15,Burnley,Tottenham,1,2,1,0.8856,WRONG -> CORRECT (+1)
15,Newcastle United,Aston Villa,2,0,1,0.8927,WRONG -> WRONG (0)
15,Brighton and Hove Albion,Everton,1,0,1,0.9098,WRONG -> CORRECT (+1)
15,Aston Villa,Brentford,2,0,1,0.935,WRONG -> WRONG (0)
15,Liverpool,Manchester City,2,0,2,0.9209,WRONG -> CORRECT (+1)
15,Tottenham,Newcastle United,2,2,1,0.8952,CORRECT -> WRONG (-1)
15,Aston Villa,Brighton and Hove Albion,0,0,2,0.9247,CORRECT -> WRONG (-1)
15,Nottingham Forest,Liverpool,2,2,1,0.9092,CORRECT -> WRONG (-1)
15,Everton,Manchester United,2,0,2,0.906,WRONG -> CORRECT (+1)
15,Newcastle United,Everton,2,0,1,0.9207,WRONG -> WRONG (0)
15,Brighton and Hove Albion,Nottingham Forest,0,0,1,0.9174,CORRECT -> WRONG (-1)
15,Bournemouth,Brentford,1,0,2,0.8863,WRONG -> WRONG (0)
15,Leeds United,Sunderland,2,0,1,0.9057,WRONG -> WRONG (0)
15,Newcastle United,Manchester United,0,0,2,0.8974,CORRECT -> WRONG (-1)
15,Fulham,West Ham United,2,0,1,0.9097,WRONG -> WRONG (0)
15,Burnley,Bournemouth,1,2,0,0.9017,WRONG -> WRONG (0)
15,Manchester United,Aston Villa,0,0,1,0.8983,CORRECT -> WRONG (-1)
15,Nottingham Forest,Fulham,1,0,2,0.9081,WRONG -> WRONG (0)
15,Leeds United,Brentford,1,2,1,0.9031,WRONG -> CORRECT (+1)
15,Tottenham,Nottingham Forest,2,0,2,0.8861,WRONG -> CORRECT (+1)
15,Chelsea,Manchester City,2,2,0,0.8901,CORRECT -> WRONG (-1)
15,Sunderland,Tottenham,0,0,2,0.9334,CORRECT -> WRONG (-1)
15,Brentford,Fulham,1,0,2,0.9249,WRONG -> WRONG (0)
15,Newcastle United,Bournemouth,2,0,2,0.897,WRONG -> CORRECT (+1)
15,Tottenham,Brighton and Hove Albion,1,2,0,0.9079,WRONG -> WRONG (0)
15,Brighton and Hove Albion,Chelsea,0,0,1,0.8983,CORRECT -> WRONG (-1)
15,Newcastle United,Brighton and Hove Albion,0,0,2,0.8929,CORRECT -> WRONG (-1)
15,Manchester United,Liverpool,0,0,2,0.8971,CORRECT -> WRONG (-1)
15,Chelsea,Nottingham Forest,2,0,1,0.9139,WRONG -> WRONG (0)
15,Nottingham Forest,Newcastle United,1,0,2,0.9066,WRONG -> WRONG (0)
15,Tottenham,Leeds United,1,0,2,0.8907,WRONG -> WRONG (0)
15,Brentford,Crystal Palace,1,0,1,0.9151,WRONG -> CORRECT (+1)
15,Wolverhampton Wanderers,Fulham,1,2,0,0.8981,WRONG -> WRONG (0)
15,Tottenham,Everton,0,0,1,0.9074,CORRECT -> WRONG (-1)
15,Fulham,Newcastle United,0,0,1,0.9036,CORRECT -> WRONG (-1)
