season,gw,ennovera_pts,baseline_pts_form,baseline_xgi_pts,baseline_price_pts,hindsight_oracle_pts,squad_regret
2025-26,24,47,61,43,52,146,99
2025-26,25,60,53,42,59,152,92
2025-26,26,33,71,32,65,155,122
2025-26,27,48,59,35,40,157,109
2025-26,28,36,45,33,50,147,111
2025-26,29,91,63,67,57,158,67
2025-26,30,42,45,36,54,128,86
2025-26,31,42,65,42,54,145,103
2025-26,32,44,38,57,61,180,136
2025-26,33,46,44,47,32,165,119
2025-26,34,43,54,53,43,136,93
2025-26,35,59,42,54,49,153,94
2025-26,36,51,45,49,42,146,95
2025-26,37,63,58,68,65,154,91
2025-26,38,42,50,57,65,150,108
