gw,home,away,actual_outcome,m3_prediction,replacement_expert,replacement_prediction,router_confidence_margin,transition_type
15,Leeds United,Aston Villa,2,2,C_PLAYER,2,0.3118,WRONG -> WRONG (0)
15,Sunderland,Bournemouth,0,2,C_PLAYER,2,0.1911,WRONG -> WRONG (0)
15,West Ham United,Liverpool,2,2,C_PLAYER,2,0.313,WRONG -> WRONG (0)
15,Chelsea,Arsenal,1,2,C_PLAYER,0,0.101,WRONG -> WRONG (0)
15,Fulham,Manchester City,2,2,C_PLAYER,2,0.2857,WRONG -> WRONG (0)
15,Leeds United,Chelsea,0,2,C_PLAYER,2,0.3491,WRONG -> WRONG (0)
15,Wolverhampton Wanderers,Nottingham Forest,2,2,C_PLAYER,2,0.1361,WRONG -> WRONG (0)
15,Burnley,Crystal Palace,2,2,C_PLAYER,2,0.2848,WRONG -> WRONG (0)
15,Aston Villa,Arsenal,0,0,C_PLAYER,0,0.0944,WRONG -> WRONG (0)
15,Bournemouth,Chelsea,1,2,C_PLAYER,2,0.0876,WRONG -> WRONG (0)
15,Leeds United,Liverpool,1,2,C_PLAYER,2,0.3596,WRONG -> WRONG (0)
15,Fulham,Crystal Palace,2,0,C_PLAYER,2,0.0872,WRONG -> CORRECT (+1)
15,Wolverhampton Wanderers,Manchester United,2,2,C_PLAYER,2,0.2062,WRONG -> WRONG (0)
15,Burnley,Fulham,2,2,C_PLAYER,2,0.2309,WRONG -> WRONG (0)
15,Crystal Palace,Manchester City,2,2,C_PLAYER,2,0.2112,WRONG -> WRONG (0)
15,Sunderland,Newcastle United,0,2,C_PLAYER,2,0.2175,WRONG -> WRONG (0)
15,West Ham United,Aston Villa,2,2,C_PLAYER,2,0.2592,WRONG -> WRONG (0)
15,Leeds United,Crystal Palace,0,2,C_PLAYER,2,0.1921,WRONG -> WRONG (0)
15,Tottenham,Liverpool,2,2,C_PLAYER,2,0.2574,WRONG -> WRONG (0)
15,Wolverhampton Wanderers,Brentford,2,2,C_PLAYER,2,0.1936,WRONG -> WRONG (0)
15,Everton,Arsenal,2,2,C_PLAYER,2,0.2898,WRONG -> WRONG (0)
15,Chelsea,Aston Villa,2,0,C_PLAYER,0,0.1052,WRONG -> WRONG (0)
15,Nottingham Forest,Manchester City,2,2,C_PLAYER,2,0.3913,WRONG -> WRONG (0)
15,Burnley,Everton,1,2,C_PLAYER,2,0.2931,WRONG -> WRONG (0)
15,West Ham United,Brighton and Hove Albion,1,2,C_PLAYER,2,0.1409,WRONG -> WRONG (0)
15,Burnley,Newcastle United,2,2,C_PLAYER,2,0.3055,WRONG -> WRONG (0)
15,Sunderland,Manchester City,1,2,C_PLAYER,2,0.4149,WRONG -> WRONG (0)
15,Wolverhampton Wanderers,West Ham United,0,0,C_PLAYER,2,0.1034,CORRECT -> WRONG (-1)
15,Bournemouth,Arsenal,2,2,C_PLAYER,2,0.319,WRONG -> WRONG (0)
15,Fulham,Liverpool,1,2,C_PLAYER,2,0.2082,WRONG -> WRONG (0)
15,Leeds United,Manchester United,1,2,C_PLAYER,2,0.1075,WRONG -> WRONG (0)
15,Crystal Palace,Aston Villa,1,0,C_PLAYER,2,0.2222,WRONG -> WRONG (0)
15,Fulham,Chelsea,0,0,C_PLAYER,0,0.1083,WRONG -> WRONG (0)
15,Burnley,Manchester United,1,2,C_PLAYER,2,0.3107,WRONG -> WRONG (0)
15,Nottingham Forest,Arsenal,1,2,C_PLAYER,2,0.3879,WRONG -> WRONG (0)
15,Sunderland,Crystal Palace,0,0,C_PLAYER,2,0.1438,CORRECT -> WRONG (-1)
15,Manchester United,Manchester City,0,2,C_PLAYER,2,0.2633,WRONG -> WRONG (0)
15,Leeds United,Fulham,0,2,C_PLAYER,2,0.1229,WRONG -> WRONG (0)
15,Wolverhampton Wanderers,Newcastle United,1,2,C_PLAYER,2,0.2971,WRONG -> WRONG (0)
15,Burnley,Tottenham,1,2,C_PLAYER,2,0.1491,WRONG -> WRONG (0)
15,Bournemouth,Liverpool,0,2,C_PLAYER,2,0.1643,WRONG -> WRONG (0)
15,Crystal Palace,Chelsea,2,0,C_PLAYER,0,0.1164,WRONG -> WRONG (0)
15,Leeds United,Arsenal,2,2,C_PLAYER,2,0.4176,WRONG -> WRONG (0)
15,Wolverhampton Wanderers,Bournemouth,2,2,C_PLAYER,2,0.2052,WRONG -> WRONG (0)
15,Tottenham,Manchester City,1,2,C_PLAYER,2,0.3213,WRONG -> WRONG (0)
15,Wolverhampton Wanderers,Chelsea,2,2,C_PLAYER,2,0.364,WRONG -> WRONG (0)
15,Bournemouth,Aston Villa,1,2,C_PLAYER,2,0.1512,WRONG -> WRONG (0)
15,Burnley,West Ham United,2,2,C_PLAYER,2,0.1184,WRONG -> WRONG (0)
15,Liverpool,Manchester City,2,0,C_PLAYER,0,0.1265,WRONG -> WRONG (0)
15,Tottenham,Newcastle United,2,2,C_PLAYER,2,0.1046,WRONG -> WRONG (0)
15,West Ham United,Manchester United,1,2,C_PLAYER,2,0.1686,WRONG -> WRONG (0)
15,Sunderland,Liverpool,2,2,C_PLAYER,2,0.3172,WRONG -> WRONG (0)
15,Brentford,Arsenal,1,2,C_PLAYER,2,0.2229,WRONG -> WRONG (0)
15,Wolverhampton Wanderers,Arsenal,1,2,C_PLAYER,2,0.4489,WRONG -> WRONG (0)
15,West Ham United,Bournemouth,1,2,C_PLAYER,2,0.132,WRONG -> WRONG (0)
15,Nottingham Forest,Liverpool,2,2,C_PLAYER,2,0.2395,WRONG -> WRONG (0)
15,Sunderland,Fulham,2,0,C_PLAYER,2,0.0977,WRONG -> CORRECT (+1)
15,Tottenham,Arsenal,2,2,C_PLAYER,2,0.3564,WRONG -> WRONG (0)
15,Wolverhampton Wanderers,Aston Villa,0,2,C_PLAYER,2,0.3976,WRONG -> WRONG (0)
15,Leeds United,Manchester City,2,2,C_PLAYER,2,0.3585,WRONG -> WRONG (0)
15,Burnley,Brentford,2,2,C_PLAYER,2,0.2137,WRONG -> WRONG (0)
15,Wolverhampton Wanderers,Liverpool,0,2,C_PLAYER,2,0.436,WRONG -> WRONG (0)
15,Brighton and Hove Albion,Arsenal,2,2,C_PLAYER,2,0.2308,WRONG -> WRONG (0)
15,Aston Villa,Chelsea,2,0,C_PLAYER,0,0.1138,WRONG -> WRONG (0)
15,Tottenham,Crystal Palace,2,2,C_PLAYER,2,0.141,WRONG -> WRONG (0)
15,Burnley,Bournemouth,1,2,C_PLAYER,2,0.2948,WRONG -> WRONG (0)
15,Sunderland,Brighton and Hove Albion,2,2,C_PLAYER,2,0.1628,WRONG -> WRONG (0)
15,West Ham United,Manchester City,1,2,C_PLAYER,2,0.3642,WRONG -> WRONG (0)
15,Brighton and Hove Albion,Liverpool,0,0,C_PLAYER,2,0.1315,CORRECT -> WRONG (-1)
15,Everton,Chelsea,0,0,C_PLAYER,0,0.1247,WRONG -> WRONG (0)
15,Leeds United,Brentford,1,2,C_PLAYER,2,0.1262,WRONG -> WRONG (0)
15,Burnley,Brighton and Hove Albion,2,2,C_PLAYER,2,0.3249,WRONG -> WRONG (0)
15,Chelsea,Manchester City,2,2,C_PLAYER,2,0.1397,WRONG -> WRONG (0)
15,Nottingham Forest,Aston Villa,1,2,C_PLAYER,2,0.1732,WRONG -> WRONG (0)
15,Tottenham,Brighton and Hove Albion,1,2,C_PLAYER,2,0.211,WRONG -> WRONG (0)
15,Everton,Liverpool,2,0,C_PLAYER,2,0.1125,WRONG -> CORRECT (+1)
15,Manchester City,Arsenal,0,0,C_PLAYER,0,0.0888,WRONG -> WRONG (0)
15,Burnley,Manchester City,2,2,C_PLAYER,2,0.5369,WRONG -> WRONG (0)
15,Fulham,Aston Villa,0,2,C_PLAYER,2,0.1063,WRONG -> WRONG (0)
15,West Ham United,Everton,0,0,C_PLAYER,0,0.087,WRONG -> WRONG (0)
15,Everton,Manchester City,1,2,C_PLAYER,2,0.258,WRONG -> WRONG (0)
15,Sunderland,Manchester United,1,2,C_PLAYER,2,0.2093,WRONG -> WRONG (0)
15,Burnley,Aston Villa,1,2,C_PLAYER,2,0.3926,WRONG -> WRONG (0)
15,West Ham United,Arsenal,2,2,C_PLAYER,2,0.3411,WRONG -> WRONG (0)
15,Leeds United,Brighton and Hove Albion,0,0,C_PLAYER,0,0.1161,WRONG -> WRONG (0)
15,Wolverhampton Wanderers,Fulham,1,2,C_PLAYER,2,0.1778,WRONG -> WRONG (0)
15,Bournemouth,Manchester City,1,2,C_PLAYER,2,0.1992,WRONG -> WRONG (0)
15,Nottingham Forest,Bournemouth,1,0,C_PLAYER,0,0.1013,WRONG -> WRONG (0)
15,Sunderland,Chelsea,0,2,C_PLAYER,2,0.1131,WRONG -> WRONG (0)
15,Tottenham,Everton,0,0,C_PLAYER,2,0.0872,CORRECT -> WRONG (-1)
15,Crystal Palace,Arsenal,2,2,C_PLAYER,2,0.2775,WRONG -> WRONG (0)
15,Brighton and Hove Albion,Manchester United,2,0,C_PLAYER,0,0.0972,WRONG -> WRONG (0)
15,Fulham,Newcastle United,0,0,C_PLAYER,0,0.0841,WRONG -> WRONG (0)
