gw,home,away,actual,previous_pred,hybridraw_pred,override_prob,transition
15,West Ham United,Brighton and Hove Albion,1,2,0,0.989,WRONG -> WRONG (0)
15,Nottingham Forest,Everton,2,1,1,0.99,WRONG -> WRONG (0)
15,Fulham,Liverpool,1,2,1,0.9902,WRONG -> CORRECT (+1)
15,Tottenham,Sunderland,1,0,1,0.9909,WRONG -> CORRECT (+1)
15,Everton,Brentford,2,0,1,0.9902,WRONG -> WRONG (0)
15,Brentford,Sunderland,0,0,1,0.9917,CORRECT -> WRONG (-1)
15,Fulham,Chelsea,0,1,2,0.9905,WRONG -> WRONG (0)
15,Burnley,Manchester United,1,2,1,0.9896,WRONG -> CORRECT (+1)
15,Tottenham,West Ham United,2,0,2,0.9907,WRONG -> CORRECT (+1)
15,Sunderland,Crystal Palace,0,0,0,0.9895,WRONG -> WRONG (0)
15,Wolverhampton Wanderers,Newcastle United,1,1,1,0.9888,WRONG -> WRONG (0)
15,West Ham United,Sunderland,0,0,1,0.9899,CORRECT -> WRONG (-1)
15,Newcastle United,Aston Villa,2,1,2,0.9893,WRONG -> CORRECT (+1)
15,Brentford,Nottingham Forest,2,0,2,0.9905,WRONG -> CORRECT (+1)
15,Brighton and Hove Albion,Everton,1,1,1,0.9905,WRONG -> WRONG (0)
15,Manchester United,Fulham,0,0,1,0.9904,CORRECT -> WRONG (-1)
15,Nottingham Forest,Crystal Palace,1,0,2,0.9908,WRONG -> WRONG (0)
15,Fulham,Everton,2,0,1,0.9911,WRONG -> WRONG (0)
15,Tottenham,Newcastle United,2,1,1,0.9895,WRONG -> WRONG (0)
15,Crystal Palace,Burnley,2,0,1,0.9924,WRONG -> WRONG (0)
15,Crystal Palace,Wolverhampton Wanderers,0,0,1,0.9918,CORRECT -> WRONG (-1)
15,Sunderland,Fulham,2,0,2,0.9891,WRONG -> CORRECT (+1)
15,Newcastle United,Everton,2,1,1,0.991,WRONG -> WRONG (0)
15,Bournemouth,Sunderland,1,0,1,0.9912,WRONG -> CORRECT (+1)
15,Bournemouth,Brentford,1,2,2,0.9894,WRONG -> WRONG (0)
15,Leeds United,Sunderland,2,1,1,0.9901,WRONG -> WRONG (0)
15,Nottingham Forest,Fulham,1,2,2,0.99,WRONG -> WRONG (0)
15,Bournemouth,Manchester United,1,0,1,0.9894,WRONG -> CORRECT (+1)
15,Tottenham,Nottingham Forest,2,2,2,0.989,WRONG -> WRONG (0)
15,Chelsea,Manchester City,2,0,0,0.9888,WRONG -> WRONG (0)
15,Crystal Palace,Newcastle United,0,0,2,0.9903,CORRECT -> WRONG (-1)
15,Manchester City,Arsenal,0,0,1,0.9905,CORRECT -> WRONG (-1)
15,Brighton and Hove Albion,Chelsea,0,1,1,0.9899,WRONG -> WRONG (0)
15,Bournemouth,Leeds United,1,0,2,0.9916,WRONG -> WRONG (0)
15,Fulham,Aston Villa,0,2,0,0.9891,WRONG -> CORRECT (+1)
15,West Ham United,Everton,0,0,2,0.9902,CORRECT -> WRONG (-1)
15,Wolverhampton Wanderers,Tottenham,2,0,2,0.9898,WRONG -> CORRECT (+1)
15,Newcastle United,Brighton and Hove Albion,0,2,2,0.9894,WRONG -> WRONG (0)
15,Wolverhampton Wanderers,Sunderland,1,0,2,0.9895,WRONG -> WRONG (0)
15,Nottingham Forest,Newcastle United,1,2,2,0.9902,WRONG -> WRONG (0)
15,Tottenham,Leeds United,1,2,2,0.9894,WRONG -> WRONG (0)
15,Leeds United,Brighton and Hove Albion,0,0,2,0.9901,CORRECT -> WRONG (-1)
15,Wolverhampton Wanderers,Fulham,1,0,1,0.9897,WRONG -> CORRECT (+1)
15,Nottingham Forest,Bournemouth,1,0,1,0.9899,WRONG -> CORRECT (+1)
15,Liverpool,Brentford,1,0,2,0.9908,WRONG -> WRONG (0)
15,Tottenham,Everton,0,1,1,0.9897,WRONG -> WRONG (0)
15,Burnley,Wolverhampton Wanderers,1,0,2,0.9904,WRONG -> WRONG (0)
15,West Ham United,Leeds United,0,0,2,0.9897,CORRECT -> WRONG (-1)
