season,gw,chip,formation,score,cum_score,raw_xi_pts,captain_name,captain_pts,captain_extra,capt_top1_hit,capt_top3_hit,transfers_in,transfers_out,hit_cost,bank,bench_pts,autosub_pts
2025-26,27,NONE,3-4-3,47,1354,33,Erling Haaland,6,6,0,1,Florian Wirtz,Kevin Schade,0,0.0,33,8
2025-26,28,WILDCARD_2,3-5-2,40,1394,39,Cole Palmer,1,1,0,0,None,None,0,0.4,12,0
2025-26,29,NONE,3-4-3,82,1476,69,Cole Palmer,9,9,0,0,None,None,0,0.4,27,4
2025-26,30,NONE,3-5-2,35,1511,31,Cole Palmer,2,2,0,0,Malick Thiaw,Nico O'Reilly,0,0.5,20,2
2025-26,31,NONE,4-4-2,39,1550,36,João Pedro Junqueira de Jesus,2,2,0,0,Iliman Ndiaye,Enzo Fernández,0,0.9,6,1
2025-26,32,NONE,4-4-2,57,1607,53,Bruno Borges Fernandes,4,4,0,0,Marcus Tavernier,Crysencio Summerville,0,1.0,9,0
2025-26,33,NONE,3-4-3,40,1647,24,Bruno Borges Fernandes,6,6,0,1,David Raya Martín,Alisson Becker,0,0.4,15,10
2025-26,34,FREE_HIT_2,3-4-3,44,1691,39,Bruno Borges Fernandes,5,5,0,1,None,None,0,0.4,18,0
2025-26,35,NONE,4-4-2,53,1744,46,Mohamed Salah,0,5,0,0,Nico O'Reilly,Malick Thiaw,0,0.2,5,2
2025-26,36,BENCH_BOOST_2,5-3-2,50,1794,39,Bruno Borges Fernandes,3,3,0,0,Dominic Calvert-Lewin,Dominic Solanke-Mitchell,0,1.5,8,0
2025-26,37,TRIPLE_CAPTAIN_2,3-4-3,66,1860,48,Erling Haaland,9,18,1,1,Jack Hinshelwood,Morgan Gibbs-White,0,3.8,9,0
2025-26,38,NONE,3-5-2,59,1919,33,Bruno Borges Fernandes,14,14,1,1,Cole Palmer,Mohamed Salah,0,7.5,18,12
