player,team,price,minutes_history,flag
Jack Rudoni,Coventry City,5.0,0,ZERO_HISTORY_NEW_SIGNING
Matt Grimes,Coventry City,5.0,0,ZERO_HISTORY_NEW_SIGNING
Tatsuhiro Sakamoto,Coventry City,5.0,0,ZERO_HISTORY_NEW_SIGNING
Ephron Mason-Clark,Coventry City,5.5,0,ZERO_HISTORY_NEW_SIGNING
Josh Eccles,Coventry City,5.0,0,ZERO_HISTORY_NEW_SIGNING
Victor Torp,Coventry City,5.5,0,ZERO_HISTORY_NEW_SIGNING
George Shepherd,Coventry City,4.5,0,ZERO_HISTORY_NEW_SIGNING
Loum Tchaouna,Coventry City,5.5,0,ZERO_HISTORY_NEW_SIGNING
Raphael Borges Rodrigues,Coventry City,4.5,0,ZERO_HISTORY_NEW_SIGNING
Kaine Andrews,Coventry City,4.5,0,ZERO_HISTORY_NEW_SIGNING
Haji Wright,Coventry City,5.5,0,ZERO_HISTORY_NEW_SIGNING
Brandon Thomas-Asante,Coventry City,5.0,0,ZERO_HISTORY_NEW_SIGNING
Ellis Simms,Coventry City,5.0,0,ZERO_HISTORY_NEW_SIGNING
Jahnoah Markelo,Coventry City,5.0,0,ZERO_HISTORY_NEW_SIGNING
Norman Bassette,Coventry City,4.5,0,ZERO_HISTORY_NEW_SIGNING
Caleb Yirenkyi,Coventry City,5.0,0,ZERO_HISTORY_NEW_SIGNING
Gustavo Hamer,Coventry City,5.5,0,ZERO_HISTORY_NEW_SIGNING
Sidiki Cherif,Coventry City,5.0,0,ZERO_HISTORY_NEW_SIGNING
Oscar Mingueza,Crystal Palace,4.5,0,ZERO_HISTORY_NEW_SIGNING
Matheus França de Oliveira,Crystal Palace,5.0,0,ZERO_HISTORY_NEW_SIGNING
Cheick Doucouré,Crystal Palace,5.0,0,ZERO_HISTORY_NEW_SIGNING
Jesurun Rak-Sakyi,Crystal Palace,5.0,0,ZERO_HISTORY_NEW_SIGNING
Remi Matthews,Crystal Palace,4.0,0,ZERO_HISTORY_NEW_SIGNING
Takehiro Tomiyasu,Crystal Palace,4.5,0,ZERO_HISTORY_NEW_SIGNING
Anan Khalaili,Crystal Palace,5.0,0,ZERO_HISTORY_NEW_SIGNING
Zavier Gozo,Crystal Palace,5.0,0,ZERO_HISTORY_NEW_SIGNING
Mark Travers,Everton,5.0,0,ZERO_HISTORY_NEW_SIGNING
Tom King,Everton,4.5,0,ZERO_HISTORY_NEW_SIGNING
Adam Aznou,Everton,4.0,0,ZERO_HISTORY_NEW_SIGNING
Hayden Hackney,Everton,5.5,0,ZERO_HISTORY_NEW_SIGNING
Benjamin Lecomte,Fulham,4.0,0,ZERO_HISTORY_NEW_SIGNING
Alfie McNally,Fulham,4.0,0,ZERO_HISTORY_NEW_SIGNING
Gonzalo García,Fulham,6.0,0,ZERO_HISTORY_NEW_SIGNING
César Palacios,Fulham,5.5,0,ZERO_HISTORY_NEW_SIGNING
Shea Charles,Fulham,5.0,0,ZERO_HISTORY_NEW_SIGNING
Dillon Phillips,Hull City,4.0,0,ZERO_HISTORY_NEW_SIGNING
Jack Butland,Hull City,4.5,0,ZERO_HISTORY_NEW_SIGNING
Harvey Cartwright,Hull City,4.0,0,ZERO_HISTORY_NEW_SIGNING
Thimothée Lo-Tutala,Hull City,4.0,0,ZERO_HISTORY_NEW_SIGNING
John Egan,Hull City,4.0,0,ZERO_HISTORY_NEW_SIGNING
Charlie Hughes,Hull City,4.0,0,ZERO_HISTORY_NEW_SIGNING
Semi Ajayi,Hull City,4.0,0,ZERO_HISTORY_NEW_SIGNING
Lewie Coyle,Hull City,4.0,0,ZERO_HISTORY_NEW_SIGNING
Cody Drameh,Hull City,4.0,0,ZERO_HISTORY_NEW_SIGNING
Ryan Giles,Hull City,4.0,0,ZERO_HISTORY_NEW_SIGNING
Matty Jacob,Hull City,4.0,0,ZERO_HISTORY_NEW_SIGNING
Cathal McCarthy,Hull City,4.0,0,ZERO_HISTORY_NEW_SIGNING
Paddy McNair,Hull City,4.0,0,ZERO_HISTORY_NEW_SIGNING
Mohamed Belloumi,Hull City,5.0,0,ZERO_HISTORY_NEW_SIGNING
Liam Millar,Hull City,5.0,0,ZERO_HISTORY_NEW_SIGNING
Kieran Dowell,Hull City,4.5,0,ZERO_HISTORY_NEW_SIGNING
Matt Crooks,Hull City,4.5,0,ZERO_HISTORY_NEW_SIGNING
Regan Slater,Hull City,4.5,0,ZERO_HISTORY_NEW_SIGNING
Eliot Matazo,Hull City,4.5,0,ZERO_HISTORY_NEW_SIGNING
Abdülkadir Ömür,Hull City,5.0,0,ZERO_HISTORY_NEW_SIGNING
Abu Kamara,Hull City,5.0,0,ZERO_HISTORY_NEW_SIGNING
Óscar Zambrano,Hull City,4.5,0,ZERO_HISTORY_NEW_SIGNING
Oli McBurnie,Hull City,5.5,0,ZERO_HISTORY_NEW_SIGNING
David Akintola,Hull City,5.0,0,ZERO_HISTORY_NEW_SIGNING
Darko Gyabi,Hull City,4.5,0,ZERO_HISTORY_NEW_SIGNING
Enis Destan,Hull City,4.5,0,ZERO_HISTORY_NEW_SIGNING
Mason Burstow,Hull City,4.5,0,ZERO_HISTORY_NEW_SIGNING
Joe Gelhardt,Hull City,5.0,0,ZERO_HISTORY_NEW_SIGNING
Matt Targett,Hull City,4.0,0,ZERO_HISTORY_NEW_SIGNING
Hidemasa Morita,Hull City,5.0,0,ZERO_HISTORY_NEW_SIGNING
Konstantinos Tzolakis,Hull City,4.5,0,ZERO_HISTORY_NEW_SIGNING
Jens Hjertø-Dahl,Hull City,5.0,0,ZERO_HISTORY_NEW_SIGNING
Elliot Stroud,Hull City,5.0,0,ZERO_HISTORY_NEW_SIGNING
Lucas Herrington,Hull City,4.0,0,ZERO_HISTORY_NEW_SIGNING
Nobel Mendy,Hull City,4.0,0,ZERO_HISTORY_NEW_SIGNING
Lucas Gourna-Douath,Hull City,5.0,0,ZERO_HISTORY_NEW_SIGNING
Christian Walton,Ipswich Town,4.5,0,ZERO_HISTORY_NEW_SIGNING
Alex Palmer,Ipswich Town,4.0,0,ZERO_HISTORY_NEW_SIGNING
David Button,Ipswich Town,4.0,0,ZERO_HISTORY_NEW_SIGNING
Cédric Kipré,Ipswich Town,4.0,0,ZERO_HISTORY_NEW_SIGNING
Dara O'Shea,Ipswich Town,4.0,0,ZERO_HISTORY_NEW_SIGNING
Leif Davis,Ipswich Town,4.0,0,ZERO_HISTORY_NEW_SIGNING
Jacob Greaves,Ipswich Town,4.0,0,ZERO_HISTORY_NEW_SIGNING
Ben Johnson,Ipswich Town,4.0,0,ZERO_HISTORY_NEW_SIGNING
Darnell Furlong,Ipswich Town,4.0,0,ZERO_HISTORY_NEW_SIGNING
Marcelino Núñez,Ipswich Town,5.0,0,ZERO_HISTORY_NEW_SIGNING
Azor Matusiwa,Ipswich Town,5.0,0,ZERO_HISTORY_NEW_SIGNING
Wes Burns,Ipswich Town,5.0,0,ZERO_HISTORY_NEW_SIGNING
Jack Taylor,Ipswich Town,4.5,0,ZERO_HISTORY_NEW_SIGNING
Jack Clarke,Ipswich Town,5.5,0,ZERO_HISTORY_NEW_SIGNING
Chiedozie Ogbene,Ipswich Town,5.0,0,ZERO_HISTORY_NEW_SIGNING
Abdul Fatawu,Ipswich Town,5.5,0,ZERO_HISTORY_NEW_SIGNING
Emersonn Correia da Silva,Ipswich Town,5.5,0,ZERO_HISTORY_NEW_SIGNING
George Hirst,Ipswich Town,5.0,0,ZERO_HISTORY_NEW_SIGNING
Jaden Philogene,Ipswich Town,5.5,0,ZERO_HISTORY_NEW_SIGNING
Sam Szmodics,Ipswich Town,5.0,0,ZERO_HISTORY_NEW_SIGNING
Chuba Akpom,Ipswich Town,5.0,0,ZERO_HISTORY_NEW_SIGNING
Sindre Walle Egeli,Ipswich Town,4.5,0,ZERO_HISTORY_NEW_SIGNING
Ali Al-Hamadi,Ipswich Town,5.0,0,ZERO_HISTORY_NEW_SIGNING
Kasey McAteer,Ipswich Town,4.5,0,ZERO_HISTORY_NEW_SIGNING
Anis Mehmeti,Ipswich Town,5.0,0,ZERO_HISTORY_NEW_SIGNING
Kayne van Oevelen,Ipswich Town,4.5,0,ZERO_HISTORY_NEW_SIGNING
Daizen Maeda,Ipswich Town,5.5,0,ZERO_HISTORY_NEW_SIGNING
Kjell Scherpen,Ipswich Town,4.5,0,ZERO_HISTORY_NEW_SIGNING
Florentino Ibrain Morris Luís,Ipswich Town,5.0,0,ZERO_HISTORY_NEW_SIGNING
Julio Enciso,Ipswich Town,5.5,0,ZERO_HISTORY_NEW_SIGNING
Abdoul Ouattara,Ipswich Town,4.0,0,ZERO_HISTORY_NEW_SIGNING
Tarik Muharemović,Leeds United,5.0,0,ZERO_HISTORY_NEW_SIGNING
Mateo Joseph Fernández-Regatillo,Leeds United,4.5,0,ZERO_HISTORY_NEW_SIGNING
Nico Elvedi,Leeds United,4.5,0,ZERO_HISTORY_NEW_SIGNING
Armin Pecsi,Liverpool,4.0,0,ZERO_HISTORY_NEW_SIGNING
Vitezslav Jaros,Liverpool,4.0,0,ZERO_HISTORY_NEW_SIGNING
Harvey Davies,Liverpool,4.0,0,ZERO_HISTORY_NEW_SIGNING
Wellity Lucky,Liverpool,4.0,0,ZERO_HISTORY_NEW_SIGNING
Jeremy Jacquet,Liverpool,5.0,0,ZERO_HISTORY_NEW_SIGNING
Giovanni Leoni,Liverpool,4.0,0,ZERO_HISTORY_NEW_SIGNING
Kostas Tsimikas,Liverpool,5.0,0,ZERO_HISTORY_NEW_SIGNING
Calvin Ramsay,Liverpool,4.0,0,ZERO_HISTORY_NEW_SIGNING
Stefan Bajčetić Maquieira,Liverpool,5.0,0,ZERO_HISTORY_NEW_SIGNING
Victor Munoz,Liverpool,6.5,0,ZERO_HISTORY_NEW_SIGNING
James McConnell,Liverpool,4.5,0,ZERO_HISTORY_NEW_SIGNING
Lewis Koumas,Liverpool,5.0,0,ZERO_HISTORY_NEW_SIGNING
Jayden Danns,Liverpool,4.5,0,ZERO_HISTORY_NEW_SIGNING
Ronald Araujo,Liverpool,5.5,0,ZERO_HISTORY_NEW_SIGNING
Marcus Bettinelli,Manchester City,4.5,0,ZERO_HISTORY_NEW_SIGNING
Vitor de Oliveira Nunes dos Reis,Manchester City,4.5,0,ZERO_HISTORY_NEW_SIGNING
Claudio Echeverri,Manchester City,5.0,0,ZERO_HISTORY_NEW_SIGNING
Kalvin Phillips,Manchester City,5.0,0,ZERO_HISTORY_NEW_SIGNING
Jeremy Monga,Manchester City,5.0,0,ZERO_HISTORY_NEW_SIGNING
Gerónimo Rulli,Manchester City,5.0,0,ZERO_HISTORY_NEW_SIGNING
Tom Heaton,Manchester United,4.0,0,ZERO_HISTORY_NEW_SIGNING
Harry Amass,Manchester United,4.0,0,ZERO_HISTORY_NEW_SIGNING
Marcus Rashford,Manchester United,7.0,0,ZERO_HISTORY_NEW_SIGNING
Toby Collyer,Manchester United,5.0,0,ZERO_HISTORY_NEW_SIGNING
Chido Obi,Manchester United,4.5,0,ZERO_HISTORY_NEW_SIGNING
Mark Gillespie,Newcastle United,4.5,0,ZERO_HISTORY_NEW_SIGNING
Ewen Jaouen,Newcastle United,4.5,0,ZERO_HISTORY_NEW_SIGNING
Bazoumana Touré,Newcastle United,6.0,0,ZERO_HISTORY_NEW_SIGNING
Sean Steur,Newcastle United,5.0,0,ZERO_HISTORY_NEW_SIGNING
Aladji Bamba,Newcastle United,5.0,0,ZERO_HISTORY_NEW_SIGNING
Lukás Hornícek,Newcastle United,5.0,0,ZERO_HISTORY_NEW_SIGNING
Amar Dedic,Newcastle United,4.5,0,ZERO_HISTORY_NEW_SIGNING
Omar Richards,Nottingham Forest,4.0,0,ZERO_HISTORY_NEW_SIGNING
Tyler Bindon,Nottingham Forest,4.0,0,ZERO_HISTORY_NEW_SIGNING
Xaver Schlager,Nottingham Forest,5.0,0,ZERO_HISTORY_NEW_SIGNING
Ousmane Diomande,Nottingham Forest,5.5,0,ZERO_HISTORY_NEW_SIGNING
Steven Benda,Nottingham Forest,4.5,0,ZERO_HISTORY_NEW_SIGNING
Brandon Austin,Tottenham,4.0,0,ZERO_HISTORY_NEW_SIGNING
Ashley Phillips,Tottenham,4.5,0,ZERO_HISTORY_NEW_SIGNING
Dejan Kulusevski,Tottenham,6.5,0,ZERO_HISTORY_NEW_SIGNING
Mikey Moore,Tottenham,5.0,0,ZERO_HISTORY_NEW_SIGNING
Anthony Patterson,Sunderland,4.0,0,ZERO_HISTORY_NEW_SIGNING
Leo Fuhr Hjelde,Sunderland,4.0,0,ZERO_HISTORY_NEW_SIGNING
Thomas Meunier,Sunderland,4.5,0,ZERO_HISTORY_NEW_SIGNING
