season,gw,formation,ennovera_pts,baseline_pts_form,baseline_xgi_pts,baseline_price_pts,hindsight_oracle_pts,squad_regret,captain_name,captain_pts,captain_extra,capt_top1_hit,capt_top3_hit,bench_pts,autosub_pts,budget_used
2022-23,27,3-5-2,39,34,43,62,137,98,Alexis Mac Allister,3,3,0,1,10,0,100.0
2022-23,28,5-2-3,34,57,33,54,136,102,Ivan Toney,2,2,0,0,27,0,96.0
2022-23,29,3-4-3,59,41,39,55,147,88,Alexis Mac Allister,6,6,0,1,10,6,98.4
2022-23,30,3-4-3,65,60,49,49,137,72,Harry Kane,9,9,0,1,16,0,93.7
2022-23,31,3-4-3,54,62,74,51,162,108,Harry Kane,2,2,0,0,9,3,97.5
2022-23,32,3-4-3,62,59,51,40,142,80,Harry Kane,6,6,0,0,7,0,99.8
2022-23,33,3-4-3,50,50,53,58,159,109,Mohamed Salah,2,2,0,0,13,0,100.0
2022-23,34,3-5-2,55,47,61,55,158,103,Mohamed Salah,11,11,1,1,20,0,99.9
2022-23,35,3-4-3,48,48,41,70,165,117,Erling Haaland,2,2,0,0,14,0,99.9
2022-23,36,3-5-2,56,84,61,53,170,114,Erling Haaland,7,7,0,0,4,1,99.9
2022-23,37,4-4-2,31,40,28,35,142,111,Mohamed Salah,5,5,1,1,22,0,99.8
2022-23,38,3-5-2,38,53,28,84,155,117,Mohamed Salah,5,5,1,1,23,12,99.7
2023-24,1,3-5-2,28,28,28,39,141,113,Mohamed Salah,5,5,1,1,3,3,100.0
2023-24,2,4-5-1,45,46,64,43,147,102,Mohamed Salah,5,5,0,1,14,1,97.0
2023-24,3,3-5-2,43,45,44,53,160,117,Bryan Mbeumo,2,2,0,0,15,0,98.1
2023-24,4,3-5-2,56,64,59,61,162,106,Bruno Borges Fernandes,2,2,0,0,5,0,100.0
2023-24,5,3-5-2,37,43,31,44,122,85,Bryan Mbeumo,2,2,0,0,11,0,100.0
2023-24,6,3-5-2,66,58,66,62,158,92,Erling Haaland,6,6,0,0,7,0,99.6
2023-24,7,3-5-2,47,47,38,81,166,119,Erling Haaland,2,2,0,0,28,8,99.9
2023-24,8,5-4-1,26,57,26,40,152,126,Erling Haaland,2,2,0,1,5,2,99.7
2023-24,9,5-3-2,67,71,74,89,154,87,Erling Haaland,8,8,0,0,8,0,99.8
2023-24,10,5-3-2,54,45,57,57,149,95,Mohamed Salah,8,8,0,1,7,0,99.0
2023-24,11,5-3-2,51,23,45,25,172,121,Mohamed Salah,2,2,0,0,17,1,99.2
2023-24,12,4-5-1,58,56,60,66,156,98,Mohamed Salah,16,16,1,1,17,0,98.3
2023-24,13,3-5-2,46,44,48,46,145,99,Mohamed Salah,5,5,0,1,12,0,99.1
2023-24,14,3-4-3,52,54,71,50,141,89,Erling Haaland,7,7,0,1,8,0,99.9
2023-24,15,3-4-3,46,31,41,42,159,113,Erling Haaland,2,2,0,0,8,0,99.2
2023-24,16,3-4-3,56,43,39,32,148,92,Erling Haaland,0,13,0,0,24,7,100.0
2023-24,17,4-4-2,47,40,43,53,154,107,Erling Haaland,0,9,0,0,2,-1,99.1
2023-24,18,4-5-1,67,49,67,52,134,67,Dominic Solanke,17,17,1,1,6,0,99.8
2023-24,19,4-5-1,46,43,45,41,155,109,Dominic Solanke,6,6,0,1,4,0,99.9
2023-24,20,4-4-2,57,55,41,82,161,104,Trent Alexander-Arnold,0,0,0,0,8,0,99.5
2023-24,21,3-4-3,29,29,35,62,151,122,Mohamed Salah,0,0,0,0,4,3,98.8
2023-24,22,3-4-3,64,41,73,58,174,110,Julián Álvarez,13,13,1,1,6,2,98.9
2023-24,23,3-4-3,51,39,65,82,174,123,Julián Álvarez,2,2,0,0,4,0,87.0
2023-24,24,3-4-3,69,45,58,55,158,89,Bukayo Saka,15,15,1,1,16,14,86.7
2023-24,25,3-4-3,75,74,53,72,149,74,Bukayo Saka,15,15,1,1,14,0,100.0
2023-24,26,3-4-3,70,64,62,52,160,90,Bukayo Saka,10,10,0,1,4,0,98.7
2023-24,27,3-4-3,65,80,58,63,153,88,Bukayo Saka,7,7,0,1,4,2,99.7
2023-24,28,3-4-3,27,38,39,38,144,117,Erling Haaland,2,2,0,1,11,0,99.8
2023-24,29,3-4-3,44,27,43,46,109,65,Ollie Watkins,2,2,0,0,6,2,91.5
2023-24,30,3-4-3,46,45,51,47,158,112,Erling Haaland,2,2,0,0,4,1,99.9
2023-24,31,3-5-2,86,81,94,60,155,69,Luis Díaz,6,6,0,0,8,2,98.5
2023-24,32,3-5-2,50,44,50,56,144,94,Cole Palmer,5,5,0,1,10,2,92.9
2023-24,33,3-5-2,82,76,86,44,187,105,Cole Palmer,26,26,1,1,10,0,92.3
2023-24,34,3-5-2,58,101,50,63,183,125,Cole Palmer,0,2,0,0,3,3,99.1
2023-24,35,3-5-2,60,49,61,42,154,94,Alexander Isak,13,13,1,1,28,0,86.0
2023-24,36,3-5-2,68,56,59,58,179,111,Bruno Borges Fernandes,0,7,0,0,11,2,88.7
2023-24,37,3-4-3,50,73,56,35,156,106,Cole Palmer,6,6,0,1,15,0,97.0
2023-24,38,3-4-3,55,42,52,64,185,130,Cole Palmer,6,6,0,0,4,2,99.4
2024-25,1,4-3-3,51,49,46,72,131,80,Erling Haaland,7,7,0,1,7,0,100.0
2024-25,2,5-2-3,80,46,72,93,170,90,Erling Haaland,17,17,1,1,7,0,99.6
2024-25,3,5-3-2,82,75,62,91,142,60,Erling Haaland,17,17,1,1,12,0,99.2
2024-25,4,4-4-2,64,26,56,41,148,84,Erling Haaland,13,13,0,1,4,0,99.7
2024-25,5,5-4-1,72,72,66,55,139,67,Erling Haaland,9,9,0,1,12,0,99.7
2024-25,6,4-5-1,32,28,33,51,163,131,Erling Haaland,2,2,0,0,12,0,100.0
2024-25,7,4-4-2,41,45,44,58,154,113,Erling Haaland,2,2,0,0,14,0,99.6
2024-25,8,3-4-3,26,37,32,37,132,106,Cole Palmer,2,2,0,1,7,0,99.5
2024-25,9,3-4-3,41,64,54,48,127,86,Cole Palmer,10,10,1,1,5,0,99.7
2024-25,10,3-4-3,36,54,34,51,137,101,Cole Palmer,3,3,0,1,14,0,100.0
2024-25,11,3-4-3,43,63,40,55,140,97,Cole Palmer,2,2,0,0,12,0,99.9
2024-25,12,3-5-2,58,59,57,31,158,100,Erling Haaland,2,2,0,0,14,2,100.0
2024-25,13,3-4-3,54,68,55,36,175,121,Erling Haaland,2,2,0,0,6,6,100.0
2024-25,14,3-5-2,61,57,80,65,170,109,Mohamed Salah,18,18,1,1,5,0,98.7
2024-25,15,3-4-3,78,47,79,53,137,59,Cole Palmer,18,18,1,1,7,0,99.7
2024-25,16,4-4-2,51,46,50,40,152,101,Mohamed Salah,5,5,0,0,12,0,100.0
2024-25,17,4-5-1,97,95,83,80,182,85,Mohamed Salah,21,21,1,1,12,7,99.0
2024-25,18,4-5-1,71,69,67,36,126,55,Mohamed Salah,9,9,0,1,8,2,99.9
2024-25,19,4-5-1,74,75,68,59,149,75,Mohamed Salah,16,16,1,1,18,0,100.0
2024-25,20,4-5-1,60,54,58,81,148,88,Mohamed Salah,7,7,0,1,25,2,99.9
2024-25,21,5-3-2,44,46,59,47,160,116,Mohamed Salah,2,2,0,0,10,0,99.9
2024-25,22,3-5-2,27,69,45,47,162,135,Mohamed Salah,3,3,0,1,12,0,99.9
2024-25,23,4-3-3,66,64,60,83,192,126,Mohamed Salah,8,8,0,1,6,0,99.8
2024-25,24,4-3-3,67,69,65,63,178,111,Mohamed Salah,16,16,1,1,5,0,98.3
2024-25,25,3-4-3,51,79,50,53,158,107,Bryan Mbeumo,3,3,0,0,8,6,99.2
2024-25,26,3-4-3,76,66,74,46,181,105,Jean-Philippe Mateta,5,5,0,0,13,0,97.5
2024-25,27,4-3-3,58,53,55,53,174,116,Jean-Philippe Mateta,8,8,1,1,23,2,99.0
2024-25,28,3-5-2,36,90,41,61,142,106,Jean-Philippe Mateta,0,2,0,0,18,2,94.5
2024-25,29,3-4-3,40,73,43,58,170,130,Cole Palmer,0,1,0,0,15,3,88.1
2024-25,30,4-4-2,32,46,40,31,143,111,Mohamed Salah,3,3,0,1,6,3,100.0
2024-25,31,4-5-1,21,36,23,22,168,147,Ismaïla Sarr,2,2,0,1,10,0,93.1
2024-25,32,4-5-1,51,63,43,64,176,125,Ismaïla Sarr,2,2,0,0,19,0,96.6
2024-25,33,3-4-3,26,51,25,53,157,131,Mohamed Salah,3,3,0,1,7,0,92.5
2024-25,34,3-5-2,66,57,67,54,183,117,Mohamed Salah,8,8,0,1,19,0,93.2
2024-25,35,3-4-3,36,52,36,59,141,105,Rayan Aït-Nouri,2,2,0,1,20,9,95.9
2024-25,36,3-4-3,54,51,55,47,148,94,Alexander Isak,2,2,0,0,33,0,99.6
2024-25,37,3-5-2,58,37,52,37,166,108,Alexander Isak,0,6,0,0,28,15,100.0
2024-25,38,4-5-1,42,47,37,57,164,122,Yoane Wissa,1,1,0,0,8,0,99.9
2025-26,1,4-4-2,64,39,53,43,152,88,Yoane Wissa,0,8,0,0,11,9,100.0
2025-26,2,5-4-1,34,43,24,50,175,141,Fabian Schär,1,1,0,0,3,0,99.6
2025-26,3,4-4-2,65,34,61,54,143,78,Erling Haaland,9,9,0,1,11,0,100.0
2025-26,4,4-4-2,74,81,58,49,149,75,Erling Haaland,13,13,1,1,9,1,100.0
2025-26,5,5-4-1,41,58,51,65,135,94,Erling Haaland,9,9,1,1,12,6,100.0
2025-26,6,4-4-2,59,72,55,65,159,100,Erling Haaland,16,16,1,1,16,0,100.0
2025-26,7,4-4-2,72,61,64,60,151,79,Erling Haaland,8,8,0,1,6,1,99.5
2025-26,8,4-4-2,91,62,82,79,169,78,Erling Haaland,13,13,0,1,25,2,100.0
2025-26,9,5-3-2,41,47,43,36,169,128,Jean-Philippe Mateta,2,2,0,0,17,5,99.1
2025-26,10,4-3-3,77,72,75,62,141,64,Jean-Philippe Mateta,9,9,0,1,14,0,99.9
2025-26,11,4-3-3,43,39,31,47,153,110,Jean-Philippe Mateta,2,2,0,0,16,0,99.8
2025-26,12,4-4-2,34,36,38,47,173,139,Jean-Philippe Mateta,1,1,0,0,17,1,99.7
2025-26,13,4-3-3,37,25,51,40,159,122,Erling Haaland,2,2,0,0,12,0,99.9
2025-26,14,5-3-2,68,64,64,61,167,99,Igor Thiago Nascimento Rodrigues,1,1,0,0,11,7,98.2
2025-26,15,5-3-2,46,66,32,57,159,113,Erling Haaland,2,2,0,0,6,2,98.7
2025-26,16,5-3-2,67,80,64,65,174,107,Erling Haaland,13,13,1,1,23,1,100.0
2025-26,17,4-4-2,54,57,51,83,165,111,Erling Haaland,16,16,1,1,20,0,100.0
2025-26,18,3-5-2,34,40,47,39,158,124,Erling Haaland,2,2,0,0,7,3,99.8
2025-26,19,4-4-2,43,42,49,34,144,101,Erling Haaland,2,2,0,0,20,0,99.9
2025-26,20,4-5-1,43,40,39,43,157,114,Kevin Schade,6,6,0,1,16,5,99.9
2025-26,21,3-5-2,49,54,51,44,145,96,Kevin Schade,6,6,0,1,9,0,98.9
2025-26,22,3-4-3,33,45,31,31,125,92,Kevin Schade,1,1,0,0,11,0,99.6
2025-26,23,4-4-2,45,24,36,55,138,93,Kevin Schade,2,2,0,0,15,12,99.7
2025-26,24,4-4-2,47,61,43,52,146,99,Ollie Watkins,0,2,0,0,9,0,97.7
2025-26,25,4-5-1,60,53,42,59,152,92,Igor Thiago Nascimento Rodrigues,5,5,0,0,10,0,98.9
2025-26,26,3-4-3,33,71,32,65,155,122,Erling Haaland,5,5,0,1,5,0,99.8
2025-26,27,3-5-2,48,59,35,40,157,109,Cole Palmer,3,3,0,0,18,11,99.4
2025-26,28,3-5-2,36,45,33,50,147,111,Cole Palmer,1,1,0,0,16,0,99.6
2025-26,29,3-5-2,91,63,67,57,158,67,Cole Palmer,9,9,0,0,6,1,99.1
2025-26,30,3-5-2,42,45,36,54,128,86,João Pedro Junqueira de Jesus,2,2,0,0,4,2,99.7
2025-26,31,5-3-2,42,65,42,54,145,103,João Pedro Junqueira de Jesus,2,2,0,0,20,0,96.5
2025-26,32,3-5-2,44,38,57,61,180,136,João Pedro Junqueira de Jesus,2,2,0,0,22,0,95.6
2025-26,33,3-4-3,46,44,47,32,165,119,Bruno Borges Fernandes,6,6,0,1,13,10,89.3
2025-26,34,5-3-2,43,54,53,43,136,93,Igor Thiago Nascimento Rodrigues,1,1,0,0,12,0,94.2
2025-26,35,5-2-3,59,42,54,49,153,94,Erling Haaland,7,7,1,1,15,5,98.7
2025-26,36,5-3-2,51,45,49,42,146,95,Erling Haaland,0,0,0,0,7,4,99.2
2025-26,37,5-2-3,63,58,68,65,154,91,Gabriel dos Santos Magalhães,6,6,0,0,18,0,98.9
2025-26,38,5-4-1,42,50,57,65,150,108,Gabriel dos Santos Magalhães,1,1,0,0,6,6,99.1
