canonical_player_id,season,fpl_id,fc_id,fpl_name,fpl_web_name,matched_fc_name,team_id,match_confidence,mapping_method
58,2022-23,52,231743,Keinan Davis,Davis,Keinan Davis,2,EXACT,Deterministic Normalized Name Match
59,2022-23,53,236987,Boubacar Kamara,Kamara,Boubacar Kamara,2,EXACT,Deterministic Normalized Name Match
60,2022-23,54,258930,Cameron Archer,Archer,Cameron Archer,2,EXACT,Deterministic Normalized Name Match
61,2022-23,55,N/A,Jaden Philogene-Bidace,Philogene-Bidace,Jaden Philogene-Bidace,2,UNMATCHED_RESERVE,Deterministic Normalized Name Match
62,2022-23,56,N/A,FrÃ©dÃ©ric Guilbert,Guilbert,FrÃ©dÃ©ric Guilbert,2,UNMATCHED_RESERVE,Deterministic Normalized Name Match
63,2022-23,479,212501,Leander Dendoncker,Dendoncker,Leander Dendoncker,2,EXACT,Deterministic Normalized Name Match
64,2022-23,525,212678,Ludwig Augustinsson,Augustinsson,Ludwig Augustinsson,2,EXACT,Deterministic Normalized Name Match
65,2022-23,537,261335,Kaine Kesler Hayden,Kesler Hayden,Kaine Kesler-Hayden,2,EXACT,Deterministic Normalized Name Match
66,2022-23,538,152908,Ashley Young,Young,Ashley Young,2,EXACT,Deterministic Normalized Name Match
67,2022-23,638,264209,Lamare Bogarde,Bogarde,Lamare Bogarde,2,EXACT,Deterministic Normalized Name Match
68,2022-23,670,268583,Filip Marschall,Marschall,Filip Marschall,2,EXACT,Deterministic Normalized Name Match
69,2022-23,672,N/A,Kadan Young,Kadan Young,Kadan Young,2,UNMATCHED_RESERVE,Deterministic Normalized Name Match
70,2022-23,694,217036,Alexandre Moreno Lopera,Ãlex Moreno,Álex Moreno,2,HIGH_CONFIDENCE,Deterministic Normalized Name Match
71,2022-23,707,258928,Viljami Sinisalo,Sinisalo,Viljami Sinisalo,2,EXACT,Deterministic Normalized Name Match
72,2022-23,711,247172,Jhon DurÃ¡n,DurÃ¡n,Jhon Durán,2,EXACT,Deterministic Normalized Name Match
73,2022-23,744,264411,Sil Swinkels,Swinkels,Sil Swinkels,2,EXACT,Deterministic Normalized Name Match
74,2022-23,745,271411,Oliwier Zych,Zych,Oliwier Zych,2,EXACT,Deterministic Normalized Name Match
75,2022-23,753,N/A,James Wright,Wright,James Wright,2,UNMATCHED_RESERVE,Deterministic Normalized Name Match
76,2022-23,754,275599,Sebastian Revan,Revan,Sebastian Revan,2,EXACT,Deterministic Normalized Name Match
77,2022-23,755,N/A,Travis Patterson,Patterson,Travis Patterson,2,UNMATCHED_RESERVE,Deterministic Normalized Name Match
78,2022-23,761,267849,Tommi O'Reilly,O'Reilly,Tommi O'Reilly,2,EXACT,Deterministic Normalized Name Match
79,2022-23,57,190885,Adam Smith,Smith,Adam Smith,3,EXACT,Deterministic Normalized Name Match
80,2022-23,58,N/A,Junior Stanislas,Stanislas,Junior Stanislas,3,UNMATCHED_RESERVE,Deterministic Normalized Name Match
81,2022-23,59,N/A,Ryan Fredericks,Fredericks,Ryan Fredericks,3,UNMATCHED_RESERVE,Deterministic Normalized Name Match
82,2022-23,60,220196,David Brooks,Brooks,David Brooks,3,EXACT,Deterministic Normalized Name Match
83,2022-23,61,211384,Jamal Lowe,Lowe,Jamal Lowe,3,EXACT,Deterministic Normalized Name Match
84,2022-23,62,216627,Kieffer Moore,Moore,Kieffer Moore,3,EXACT,Deterministic Normalized Name Match
85,2022-23,63,210644,Emiliano Marcondes,Marcondes,Emiliano Marcondes,3,EXACT,Deterministic Normalized Name Match
86,2022-23,64,N/A,Jefferson Lerma SolÃ­s,Lerma,Jefferson Lerma SolÃ­s,3,UNMATCHED_RESERVE,Deterministic Normalized Name Match
87,2022-23,65,221282,Jack Stacey,Stacey,Jack Stacey,3,EXACT,Deterministic Normalized Name Match
88,2022-23,66,225539,Dominic Solanke,Solanke,Dominic Solanke,3,EXACT,Deterministic Normalized Name Match
89,2022-23,67,224294,Lewis Cook,Cook,Lewis Cook,3,EXACT,Deterministic Normalized Name Match
90,2022-23,68,213689,Ben Pearson,Pearson,Ben Pearson,3,EXACT,Deterministic Normalized Name Match
91,2022-23,69,213884,Ryan Christie,Christie,Ryan Christie,3,EXACT,Deterministic Normalized Name Match
92,2022-23,70,220714,Philip Billing,Billing,Philip Billing,3,EXACT,Deterministic Normalized Name Match
93,2022-23,71,233201,Chris Mepham,Mepham,Chris Mepham,3,EXACT,Deterministic Normalized Name Match
94,2022-23,72,232284,Mark Travers,Travers,Mark Travers,3,EXACT,Deterministic Normalized Name Match
95,2022-23,73,231512,Lloyd Kelly,Kelly,Lloyd Kelly,3,EXACT,Deterministic Normalized Name Match
96,2022-23,74,239350,Siriki DembÃ©lÃ©,DembÃ©lÃ©,Siriki Dembélé,3,EXACT,Deterministic Normalized Name Match
97,2022-23,75,243669,Jaidon Anthony,Anthony,Jaidon Anthony,3,EXACT,Deterministic Normalized Name Match
98,2022-23,76,259634,Jordan Zemura,Zemura,Jordan Zemura,3,EXACT,Deterministic Normalized Name Match
99,2022-23,77,243048,Will Dennis,Dennis,Will Dennis,3,EXACT,Deterministic Normalized Name Match
100,2022-23,404,202697,Jack Stephens,Stephens,Jack Stephens,3,EXACT,Deterministic Normalized Name Match
101,2022-23,505,213693,Joe Rothwell,Rothwell,Joe Rothwell,3,EXACT,Deterministic Normalized Name Match
102,2022-23,535,237477,Marcus Tavernier,Tavernier,Marcus Tavernier,3,EXACT,Deterministic Normalized Name Match
103,2022-23,539,248492,James Hill,Hill,James Hill,3,EXACT,Deterministic Normalized Name Match
104,2022-23,571,N/A,Darren Randolph,Randolph,Darren Randolph,3,UNMATCHED_RESERVE,Deterministic Normalized Name Match
105,2022-23,574,N/A,Norberto Murara Neto,Neto,Norberto Murara Neto,3,UNMATCHED_RESERVE,Deterministic Normalized Name Match
106,2022-23,576,236506,Marcos Senesi,Senesi,Marcos Senesi,3,EXACT,Deterministic Normalized Name Match
107,2022-23,597,254858,Christian Saydee,Saydee,Christian Saydee,3,EXACT,Deterministic Normalized Name Match
108,2022-23,598,271235,Owen Bevan,Bevan,Owen Bevan,3,EXACT,Deterministic Normalized Name Match
109,2022-23,649,N/A,Cameron Plain,Plain,Cameron Plain,3,UNMATCHED_RESERVE,Deterministic Normalized Name Match
110,2022-23,695,N/A,Daniel Adu-Adjei,Adu-Adjei,Daniel Adu-Adjei,3,UNMATCHED_RESERVE,Deterministic Normalized Name Match
111,2022-23,696,N/A,Michael Dacosta Gonzalez,Dacosta Gonzalez,Michael Dacosta Gonzalez,3,UNMATCHED_RESERVE,Deterministic Normalized Name Match
112,2022-23,697,N/A,Dominic Sadi,Sadi,Dominic Sadi,3,UNMATCHED_RESERVE,Deterministic Normalized Name Match
113,2022-23,705,265552,Dango Ouattara,Ouattara,Dango Ouattara,3,EXACT,Deterministic Normalized Name Match
114,2022-23,706,N/A,Euan Pollock,Pollock,Euan Pollock,3,UNMATCHED_RESERVE,Deterministic Normalized Name Match
115,2022-23,714,241236,Antoine Semenyo,Semenyo,Antoine Semenyo,3,EXACT,Deterministic Normalized Name Match
116,2022-23,718,N/A,MatÃ­as ViÃ±a,ViÃ±a,MatÃ­as ViÃ±a,3,UNMATCHED_RESERVE,Deterministic Normalized Name Match
117,2022-23,722,258781,Illia Zabarnyi,Zabarnyi,Illia Zabarnyi,3,EXACT,Deterministic Normalized Name Match
118,2022-23,723,N/A,Hamed TraorÃ¨,H.TraorÃ¨,Hamed TraorÃ¨,3,UNMATCHED_RESERVE,Deterministic Normalized Name Match
119,2022-23,737,N/A,Ben Greenwood,Greenwood,Ben Greenwood,3,UNMATCHED_RESERVE,Deterministic Normalized Name Match
120,2022-23,738,N/A,Max Kinsey-Wellings,Kinsey-Wellings,Max Kinsey-Wellings,3,UNMATCHED_RESERVE,Deterministic Normalized Name Match
121,2022-23,78,194201,Pontus Jansson,Jansson,Pontus Jansson,4,EXACT,Deterministic Normalized Name Match
122,2022-23,79,210697,Christian NÃ¸rgaard,NÃ¸rgaard,Christian Nørgaard,4,EXACT,Deterministic Normalized Name Match
123,2022-23,80,212228,Ivan Toney,Toney,Ivan Toney,4,EXACT,Deterministic Normalized Name Match
124,2022-23,81,N/A,David Raya Martin,Raya,David Raya Martin,4,UNMATCHED_RESERVE,Deterministic Normalized Name Match
125,2022-23,82,N/A,Sergi CanÃ³s TenÃ©s,CanÃ³s,Sergi CanÃ³s TenÃ©s,4,UNMATCHED_RESERVE,Deterministic Normalized Name Match
126,2022-23,83,N/A,Josh Dasilva,Dasilva,Josh Dasilva,4,UNMATCHED_RESERVE,Deterministic Normalized Name Match
127,2022-23,84,224258,Kristoffer Ajer,Ajer,Kristoffer Ajer,4,EXACT,Deterministic Normalized Name Match
128,2022-23,85,224494,Rico Henry,Henry,Rico Henry,4,EXACT,Deterministic Normalized Name Match
129,2022-23,86,235167,Vitaly Janelt,Janelt,Vitaly Janelt,4,EXACT,Deterministic Normalized Name Match
130,2022-23,87,N/A,Saman Ghoddos,Ghoddos,Saman Ghoddos,4,UNMATCHED_RESERVE,Deterministic Normalized Name Match
131,2022-23,88,77393,Mathias Jensen,Jensen,Mathias Jensen,4,EXACT,Deterministic Normalized Name Match
132,2022-23,89,234824,Yoane Wissa,Wissa,Yoane Wissa,4,EXACT,Deterministic Normalized Name Match
133,2022-23,90,N/A,Mads Roerslev Rasmussen,Roerslev,Mads Roerslev Rasmussen,4,UNMATCHED_RESERVE,Deterministic Normalized Name Match
134,2022-23,91,234472,Mads Bech SÃ¸rensen,Bech,Mads Bech Sørensen,4,EXACT,Deterministic Normalized Name Match
135,2022-23,92,238717,Ethan Pinnock,Pinnock,Ethan Pinnock,4,EXACT,Deterministic Normalized Name Match
136,2022-23,93,239529,Frank Onyeka,Onyeka,Frank Onyeka,4,EXACT,Deterministic Normalized Name Match
137,2022-23,94,240697,Shandon Baptiste,Baptiste,Shandon Baptiste,4,EXACT,Deterministic Normalized Name Match
138,2022-23,95,243014,Bryan Mbeumo,Mbeumo,Bryan Mbeumo,4,EXACT,Deterministic Normalized Name Match
139,2022-23,96,228997,Charlie Goode,Goode,Charlie Goode,4,EXACT,Deterministic Normalized Name Match
140,2022-23,97,241523,Marcus Forss,Forss,Marcus Forss,4,EXACT,Deterministic Normalized Name Match
141,2022-23,98,244196,Dominic Thompson,Thompson,Dominic Thompson,4,EXACT,Deterministic Normalized Name Match
142,2022-23,99,246402,Mads Bidstrup,Bidstrup,Mads Bidstrup,4,EXACT,Deterministic Normalized Name Match
143,2022-23,100,236663,Ellery Balcombe,Balcombe,Ellery Balcombe,4,EXACT,Deterministic Normalized Name Match
144,2022-23,510,248808,Aaron Hickey,Hickey,Aaron Hickey,4,EXACT,Deterministic Normalized Name Match
145,2022-23,515,243606,Keane Lewis-Potter,Lewis-Potter,Keane Lewis-Potter,4,EXACT,Deterministic Normalized Name Match
146,2022-23,517,212151,Thomas Strakosha,Strakosha,Thomas Strakosha,4,EXACT,Deterministic Normalized Name Match
147,2022-23,526,N/A,Ben Mee,Mee,Ben Mee,4,UNMATCHED_RESERVE,Deterministic Normalized Name Match
148,2022-23,540,259766,Fin Stevens,Stevens,Fin Stevens,4,EXACT,Deterministic Normalized Name Match
149,2022-23,541,N/A,Halil DerviÅoÄlu,DerviÅoÄlu,Halil DerviÅoÄlu,4,UNMATCHED_RESERVE,Deterministic Normalized Name Match
150,2022-23,580,241508,Mikkel Damsgaard,Damsgaard,Mikkel Damsgaard,4,EXACT,Deterministic Normalized Name Match
151,2022-23,595,183491,Mathias Jorgensen,Zanka,Zanka,4,HIGH_CONFIDENCE,Deterministic Normalized Name Match
152,2022-23,632,262569,Ryan Trevitt,Trevitt,Ryan Trevitt,4,EXACT,Deterministic Normalized Name Match
153,2022-23,633,256488,Matthew Cox,Cox,Matthew Cox,4,EXACT,Deterministic Normalized Name Match
154,2022-23,646,262568,Tristan Crama,Crama,Tristan Crama,4,EXACT,Deterministic Normalized Name Match
155,2022-23,650,N/A,Yegor Yarmolyuk,Yarmolyuk,Yegor Yarmolyuk,4,UNMATCHED_RESERVE,Deterministic Normalized Name Match
156,2022-23,688,260926,Kevin Schade,Schade,Kevin Schade,4,EXACT,Deterministic Normalized Name Match
157,2022-23,752,N/A,Michael Olakigbe,Olakigbe,Michael Olakigbe,4,UNMATCHED_RESERVE,Deterministic Normalized Name Match
158,2022-23,101,N/A,Adam Lallana,Lallana,Adam Lallana,5,UNMATCHED_RESERVE,Deterministic Normalized Name Match
159,2022-23,102,188836,Jason Steele,Steele,Jason Steele,5,EXACT,Deterministic Normalized Name Match
160,2022-23,103,186146,Danny Welbeck,Welbeck,Danny Welbeck,5,EXACT,Deterministic Normalized Name Match
161,2022-23,104,190765,Pascal GroÃ,GroÃ,Pascal Groß,5,EXACT,Deterministic Normalized Name Match
162,2022-23,106,199915,Lewis Dunk,Dunk,Lewis Dunk,5,EXACT,Deterministic Normalized Name Match
163,2022-23,107,206594,Solly March,March,Solly March,5,EXACT,Deterministic Normalized Name Match
164,2022-23,108,207616,Adam Webster,Webster,Adam Webster,5,EXACT,Deterministic Normalized Name Match
165,2022-23,109,208004,JoÃ«l Veltman,Veltman,Joël Veltman,5,EXACT,Deterministic Normalized Name Match
166,2022-23,113,228789,Robert SÃ¡nchez,SÃ¡nchez,Robert Sánchez,5,EXACT,Deterministic Normalized Name Match
167,2022-23,114,242418,Tariq Lamptey,Lamptey,Tariq Lamptey,5,EXACT,Deterministic Normalized Name Match
168,2022-23,115,236529,Steven Alzate,Alzate,Steven Alzate,5,EXACT,Deterministic Normalized Name Match
169,2022-23,116,239837,Alexis Mac Allister,Mac Allister,Alexis Mac Allister,5,EXACT,Deterministic Normalized Name Match
170,2022-23,117,239778,Jakub Moder,Moder,Jakub Moder,5,EXACT,Deterministic Normalized Name Match
171,2022-23,118,N/A,Enock Mwepu,Mwepu,Enock Mwepu,5,UNMATCHED_RESERVE,Deterministic Normalized Name Match
172,2022-23,119,N/A,Jeremy Sarmiento Morante,Sarmiento,Jeremy Sarmiento Morante,5,UNMATCHED_RESERVE,Deterministic Normalized Name Match
173,2022-23,120,N/A,MoisÃ©s Caicedo Corozo,Caicedo,MoisÃ©s Caicedo Corozo,5,UNMATCHED_RESERVE,Deterministic Normalized Name Match
174,2022-23,121,N/A,Taylor Richards,Richards,Taylor Richards,5,UNMATCHED_RESERVE,Deterministic Normalized Name Match
175,2022-23,122,258931,Haydon Roberts,Roberts,Haydon Roberts,5,EXACT,Deterministic Normalized Name Match
176,2022-23,123,244176,Deniz Undav,Undav,Deniz Undav,5,EXACT,Deterministic Normalized Name Match
177,2022-23,124,255565,Kaoru Mitoma,Mitoma,Kaoru Mitoma,5,EXACT,Deterministic Normalized Name Match
178,2022-23,125,N/A,Julio Enciso,Enciso,Julio Enciso,5,UNMATCHED_RESERVE,Deterministic Normalized Name Match
179,2022-23,126,252508,Kacper KozÅowski,KozÅowski,Kacper Kozłowski,5,EXACT,Deterministic Normalized Name Match
180,2022-23,149,245992,Billy Gilmour,Gilmour,Billy Gilmour,5,EXACT,Deterministic Normalized Name Match
181,2022-23,542,243675,Kjell Scherpen,Scherpen,Kjell Scherpen,5,EXACT,Deterministic Normalized Name Match
182,2022-23,543,221600,Matt Clarke,Clarke,Matt Clarke,5,EXACT,Deterministic Normalized Name Match
183,2022-23,544,258908,Jan Paul van Hecke,Van Hecke,Jan Paul van Hecke,5,EXACT,Deterministic Normalized Name Match
184,2022-23,559,262859,Levi Colwill,Colwill,Levi Colwill,5,EXACT,Deterministic Normalized Name Match
185,2022-23,586,237942,Pervis EstupiÃ±Ã¡n,EstupiÃ±Ã¡n,Pervis Estupiñán,5,EXACT,Deterministic Normalized Name Match
186,2022-23,596,259608,Evan Ferguson,Ferguson,Evan Ferguson,5,EXACT,Deterministic Normalized Name Match
187,2022-23,640,263901,Ed Turns,Turns,Ed Turns,5,EXACT,Deterministic Normalized Name Match
188,2022-23,651,N/A,Andrew Moran,Moran,Andrew Moran,5,UNMATCHED_RESERVE,Deterministic Normalized Name Match
189,2022-23,652,248569,James Furlong,Furlong,James Furlong,5,EXACT,Deterministic Normalized Name Match
190,2022-23,677,277283,Jack Hinshelwood,Hinshelwood,Jack Hinshelwood,5,EXACT,Deterministic Normalized Name Match
191,2022-23,679,269495,Facundo Buonanotte,Buonanotte,Facundo Buonanotte,5,EXACT,Deterministic Normalized Name Match
192,2022-23,719,257400,Yasin Ayari,Ayari,Yasin Ayari,5,EXACT,Deterministic Normalized Name Match
193,2022-23,736,N/A,Odeluga Offiah,Offiah,Odeluga Offiah,5,UNMATCHED_RESERVE,Deterministic Normalized Name Match
194,2022-23,756,243588,Tom McGill,McGill,Tom McGill,5,EXACT,Deterministic Normalized Name Match
195,2022-23,762,N/A,Cameron Peupion,Peupion,Cameron Peupion,5,UNMATCHED_RESERVE,Deterministic Normalized Name Match
196,2022-23,765,250830,Imari Samuels,Samuels,Imari Samuels,5,EXACT,Deterministic Normalized Name Match
197,2022-23,48,259356,Carney Chukwuemeka,Chukwuemeka,Carney Chukwuemeka,6,EXACT,Deterministic Normalized Name Match
198,2022-23,112,N/A,Marc Cucurella Saseta,Cucurella,Marc Cucurella Saseta,6,UNMATCHED_RESERVE,Deterministic Normalized Name Match
199,2022-23,127,N/A,CÃ©sar Azpilicueta,Azpilicueta,CÃ©sar Azpilicueta,6,UNMATCHED_RESERVE,Deterministic Normalized Name Match
200,2022-23,128,N/A,Thiago Emiliano da Silva,Thiago Silva,Thiago Emiliano da Silva,6,UNMATCHED_RESERVE,Deterministic Normalized Name Match
201,2022-23,129,192638,Marcos Alonso,Alonso,Marcos Alonso,6,EXACT,Deterministic Normalized Name Match
202,2022-23,131,199189,Ross Barkley,Barkley,Ross Barkley,6,EXACT,Deterministic Normalized Name Match
203,2022-23,132,N/A,Mateo Kovacic,Kovacic,Mateo Kovacic,6,UNMATCHED_RESERVE,Deterministic Normalized Name Match
204,2022-23,133,N/A,Kepa Arrizabalaga,Arrizabalaga,Kepa Arrizabalaga,6,UNMATCHED_RESERVE,Deterministic Normalized Name Match
205,2022-23,134,215914,N'Golo KantÃ©,KantÃ©,N'Golo Kanté,6,EXACT,Deterministic Normalized Name Match
206,2022-23,135,N/A,Hakim Ziyech,Ziyech,Hakim Ziyech,6,UNMATCHED_RESERVE,Deterministic Normalized Name Match
207,2022-23,136,213666,Ruben Loftus-Cheek,Loftus-Cheek,Ruben Loftus-Cheek,6,EXACT,Deterministic Normalized Name Match
208,2022-23,137,212188,Timo Werner,Werner,Timo Werner,6,EXACT,Deterministic Normalized Name Match
209,2022-23,138,N/A,Robert Kenedy Nunes do Nascimento,Kenedy,Robert Kenedy Nunes do Nascimento,6,UNMATCHED_RESERVE,Deterministic Normalized Name Match
210,2022-23,139,229984,Ben Chilwell,Chilwell,Ben Chilwell,6,EXACT,Deterministic Normalized Name Match
211,2022-23,140,227796,Christian Pulisic,Pulisic,Christian Pulisic,6,EXACT,Deterministic Normalized Name Match
212,2022-23,141,230918,Trevoh Chalobah,Chalobah,Trevoh Chalobah,6,EXACT,Deterministic Normalized Name Match
213,2022-23,142,233064,Mason Mount,Mount,Mason Mount,6,EXACT,Deterministic Normalized Name Match
214,2022-23,143,235454,Malang Sarr,Sarr,Malang Sarr,6,EXACT,Deterministic Normalized Name Match
215,2022-23,144,240740,Callum Hudson-Odoi,Hudson-Odoi,Callum Hudson-Odoi,6,EXACT,Deterministic Normalized Name Match
216,2022-23,145,235790,Kai Havertz,Havertz,Kai Havertz,6,EXACT,Deterministic Normalized Name Match
217,2022-23,146,211514,Reece James,James,Reece James,6,EXACT,Deterministic Normalized Name Match
218,2022-23,147,N/A,Edouard Mendy,Mendy,Edouard Mendy,6,UNMATCHED_RESERVE,Deterministic Normalized Name Match
219,2022-23,148,238216,Conor Gallagher,Gallagher,Conor Gallagher,6,EXACT,Deterministic Normalized Name Match
220,2022-23,150,256268,Armando Broja,Broja,Armando Broja,6,EXACT,Deterministic Normalized Name Match
221,2022-23,151,235735,Ethan Ampadu,Ampadu,Ethan Ampadu,6,EXACT,Deterministic Normalized Name Match
222,2022-23,272,248695,Wesley Fofana,W.Fofana,Wesley Fofana,6,EXACT,Deterministic Normalized Name Match
223,2022-23,304,202652,Raheem Sterling,Sterling,Raheem Sterling,6,EXACT,Deterministic Normalized Name Match
224,2022-23,520,201024,Kalidou Koulibaly,Koulibaly,Kalidou Koulibaly,6,EXACT,Deterministic Normalized Name Match
