season,fixture_id,kickoff_time,team,opponent,was_home,player_name,position,is_starter,minutes_played,source,temporal_validity
2022-23,61,2023-03-01T19:45:00Z,Everton,1,False,Abdoulaye DoucourÃ©,MID,1,78,FPL Official Lineup Logs,VERIFIED_1_HOUR_PRE_KICKOFF
2022-23,61,2023-03-01T19:45:00Z,Everton,1,False,Jordan Pickford,GK,1,90,FPL Official Lineup Logs,VERIFIED_1_HOUR_PRE_KICKOFF
2022-23,61,2023-03-01T19:45:00Z,Everton,1,False,Seamus Coleman,DEF,1,60,FPL Official Lineup Logs,VERIFIED_1_HOUR_PRE_KICKOFF
2022-23,62,2023-04-04T18:45:00Z,Bournemouth,5,True,Ryan Christie,MID,1,57,FPL Official Lineup Logs,VERIFIED_1_HOUR_PRE_KICKOFF
2022-23,62,2023-04-04T18:45:00Z,Bournemouth,5,True,Dominic Solanke,FWD,1,90,FPL Official Lineup Logs,VERIFIED_1_HOUR_PRE_KICKOFF
2022-23,62,2023-04-04T18:45:00Z,Bournemouth,5,True,Jack Stephens,DEF,1,90,FPL Official Lineup Logs,VERIFIED_1_HOUR_PRE_KICKOFF
2022-23,62,2023-04-04T18:45:00Z,Bournemouth,5,True,Lloyd Kelly,DEF,1,90,FPL Official Lineup Logs,VERIFIED_1_HOUR_PRE_KICKOFF
2022-23,62,2023-04-04T18:45:00Z,Bournemouth,5,True,Jefferson Lerma SolÃ­s,MID,1,90,FPL Official Lineup Logs,VERIFIED_1_HOUR_PRE_KICKOFF
2022-23,62,2023-04-04T18:45:00Z,Bournemouth,5,True,Adam Smith,DEF,1,90,FPL Official Lineup Logs,VERIFIED_1_HOUR_PRE_KICKOFF
2022-23,62,2023-04-04T18:45:00Z,Bournemouth,5,True,Norberto Murara Neto,GK,1,90,FPL Official Lineup Logs,VERIFIED_1_HOUR_PRE_KICKOFF
2022-23,62,2023-04-04T18:45:00Z,Bournemouth,5,True,Hamed TraorÃ¨,MID,1,71,FPL Official Lineup Logs,VERIFIED_1_HOUR_PRE_KICKOFF
2022-23,62,2023-04-04T18:45:00Z,Bournemouth,5,True,Dango Ouattara,MID,1,84,FPL Official Lineup Logs,VERIFIED_1_HOUR_PRE_KICKOFF
2022-23,62,2023-04-04T18:45:00Z,Bournemouth,5,True,Marcos Senesi,DEF,1,84,FPL Official Lineup Logs,VERIFIED_1_HOUR_PRE_KICKOFF
2022-23,62,2023-04-04T18:45:00Z,Bournemouth,5,True,Philip Billing,MID,1,84,FPL Official Lineup Logs,VERIFIED_1_HOUR_PRE_KICKOFF
2022-23,62,2023-04-04T18:45:00Z,Brighton,3,False,Jason Steele,GK,1,90,FPL Official Lineup Logs,VERIFIED_1_HOUR_PRE_KICKOFF
2022-23,62,2023-04-04T18:45:00Z,Brighton,3,False,Pervis EstupiÃ±Ã¡n,DEF,1,90,FPL Official Lineup Logs,VERIFIED_1_HOUR_PRE_KICKOFF
2022-23,62,2023-04-04T18:45:00Z,Brighton,3,False,Solly March,MID,1,90,FPL Official Lineup Logs,VERIFIED_1_HOUR_PRE_KICKOFF
2022-23,62,2023-04-04T18:45:00Z,Brighton,3,False,Lewis Dunk,DEF,1,90,FPL Official Lineup Logs,VERIFIED_1_HOUR_PRE_KICKOFF
2022-23,62,2023-04-04T18:45:00Z,Brighton,3,False,Kaoru Mitoma,MID,1,90,FPL Official Lineup Logs,VERIFIED_1_HOUR_PRE_KICKOFF
2022-23,62,2023-04-04T18:45:00Z,Brighton,3,False,Adam Webster,DEF,1,90,FPL Official Lineup Logs,VERIFIED_1_HOUR_PRE_KICKOFF
2022-23,62,2023-04-04T18:45:00Z,Brighton,3,False,Evan Ferguson,FWD,1,72,FPL Official Lineup Logs,VERIFIED_1_HOUR_PRE_KICKOFF
2022-23,62,2023-04-04T18:45:00Z,Brighton,3,False,MoisÃ©s Caicedo Corozo,MID,1,79,FPL Official Lineup Logs,VERIFIED_1_HOUR_PRE_KICKOFF
2022-23,62,2023-04-04T18:45:00Z,Brighton,3,False,Pascal GroÃ,MID,1,90,FPL Official Lineup Logs,VERIFIED_1_HOUR_PRE_KICKOFF
2022-23,62,2023-04-04T18:45:00Z,Brighton,3,False,JoÃ«l Veltman,DEF,1,90,FPL Official Lineup Logs,VERIFIED_1_HOUR_PRE_KICKOFF
2022-23,62,2023-04-04T18:45:00Z,Brighton,3,False,Alexis Mac Allister,MID,1,72,FPL Official Lineup Logs,VERIFIED_1_HOUR_PRE_KICKOFF
2022-23,63,2023-01-18T20:00:00Z,Crystal Palace,14,True,Cheick DoucourÃ©,MID,1,70,FPL Official Lineup Logs,VERIFIED_1_HOUR_PRE_KICKOFF
2022-23,63,2023-01-18T20:00:00Z,Crystal Palace,14,True,Will Hughes,MID,1,83,FPL Official Lineup Logs,VERIFIED_1_HOUR_PRE_KICKOFF
2022-23,63,2023-01-18T20:00:00Z,Crystal Palace,14,True,Nathaniel Clyne,DEF,1,90,FPL Official Lineup Logs,VERIFIED_1_HOUR_PRE_KICKOFF
2022-23,63,2023-01-18T20:00:00Z,Crystal Palace,14,True,Chris Richards,DEF,1,90,FPL Official Lineup Logs,VERIFIED_1_HOUR_PRE_KICKOFF
2022-23,63,2023-01-18T20:00:00Z,Crystal Palace,14,True,Jean-Philippe Mateta,FWD,1,55,FPL Official Lineup Logs,VERIFIED_1_HOUR_PRE_KICKOFF
2022-23,63,2023-01-18T20:00:00Z,Crystal Palace,14,True,Tyrick Mitchell,DEF,1,90,FPL Official Lineup Logs,VERIFIED_1_HOUR_PRE_KICKOFF
2022-23,63,2023-01-18T20:00:00Z,Crystal Palace,14,True,Wilfried Zaha,MID,1,90,FPL Official Lineup Logs,VERIFIED_1_HOUR_PRE_KICKOFF
2022-23,63,2023-01-18T20:00:00Z,Crystal Palace,14,True,Michael Olise,MID,1,90,FPL Official Lineup Logs,VERIFIED_1_HOUR_PRE_KICKOFF
2022-23,63,2023-01-18T20:00:00Z,Crystal Palace,14,True,Marc GuÃ©hi,DEF,1,90,FPL Official Lineup Logs,VERIFIED_1_HOUR_PRE_KICKOFF
2022-23,63,2023-01-18T20:00:00Z,Crystal Palace,14,True,Odsonne Edouard,FWD,1,70,FPL Official Lineup Logs,VERIFIED_1_HOUR_PRE_KICKOFF
2022-23,63,2023-01-18T20:00:00Z,Crystal Palace,14,True,Vicente Guaita,GK,1,90,FPL Official Lineup Logs,VERIFIED_1_HOUR_PRE_KICKOFF
2022-23,63,2023-01-18T20:00:00Z,Man Utd,7,False,Christian Eriksen,MID,1,82,FPL Official Lineup Logs,VERIFIED_1_HOUR_PRE_KICKOFF
2022-23,63,2023-01-18T20:00:00Z,Man Utd,7,False,Bruno Borges Fernandes,MID,1,90,FPL Official Lineup Logs,VERIFIED_1_HOUR_PRE_KICKOFF
2022-23,63,2023-01-18T20:00:00Z,Man Utd,7,False,RaphaÃ«l Varane,DEF,1,90,FPL Official Lineup Logs,VERIFIED_1_HOUR_PRE_KICKOFF
2022-23,63,2023-01-18T20:00:00Z,Man Utd,7,False,Marcus Rashford,MID,1,90,FPL Official Lineup Logs,VERIFIED_1_HOUR_PRE_KICKOFF
2022-23,63,2023-01-18T20:00:00Z,Man Utd,7,False,Antony Matheus dos Santos,MID,1,69,FPL Official Lineup Logs,VERIFIED_1_HOUR_PRE_KICKOFF
2022-23,63,2023-01-18T20:00:00Z,Man Utd,7,False,Lisandro MartÃ­nez,DEF,1,90,FPL Official Lineup Logs,VERIFIED_1_HOUR_PRE_KICKOFF
2022-23,63,2023-01-18T20:00:00Z,Man Utd,7,False,Wout Weghorst,FWD,1,68,FPL Official Lineup Logs,VERIFIED_1_HOUR_PRE_KICKOFF
2022-23,63,2023-01-18T20:00:00Z,Man Utd,7,False,David De Gea Quintana,GK,1,90,FPL Official Lineup Logs,VERIFIED_1_HOUR_PRE_KICKOFF
2022-23,63,2023-01-18T20:00:00Z,Man Utd,7,False,Luke Shaw,DEF,1,90,FPL Official Lineup Logs,VERIFIED_1_HOUR_PRE_KICKOFF
2022-23,63,2023-01-18T20:00:00Z,Man Utd,7,False,Aaron Wan-Bissaka,DEF,1,90,FPL Official Lineup Logs,VERIFIED_1_HOUR_PRE_KICKOFF
2022-23,63,2023-01-18T20:00:00Z,Man Utd,7,False,Carlos Henrique Casimiro,MID,1,90,FPL Official Lineup Logs,VERIFIED_1_HOUR_PRE_KICKOFF
2022-23,64,2023-01-12T20:00:00Z,Chelsea,9,False,Trevoh Chalobah,DEF,1,78,FPL Official Lineup Logs,VERIFIED_1_HOUR_PRE_KICKOFF
2022-23,64,2023-01-12T20:00:00Z,Chelsea,9,False,JoÃ£o FÃ©lix Sequeira,FWD,1,57,FPL Official Lineup Logs,VERIFIED_1_HOUR_PRE_KICKOFF
2022-23,64,2023-01-12T20:00:00Z,Chelsea,9,False,Lewis Hall,MID,1,78,FPL Official Lineup Logs,VERIFIED_1_HOUR_PRE_KICKOFF
2022-23,64,2023-01-12T20:00:00Z,Chelsea,9,False,Denis Zakaria,MID,1,55,FPL Official Lineup Logs,VERIFIED_1_HOUR_PRE_KICKOFF
2022-23,64,2023-01-12T20:00:00Z,Chelsea,9,False,Mason Mount,MID,1,79,FPL Official Lineup Logs,VERIFIED_1_HOUR_PRE_KICKOFF
2022-23,64,2023-01-12T20:00:00Z,Chelsea,9,False,Kai Havertz,FWD,1,90,FPL Official Lineup Logs,VERIFIED_1_HOUR_PRE_KICKOFF
2022-23,64,2023-01-12T20:00:00Z,Chelsea,9,False,Kepa Arrizabalaga,GK,1,90,FPL Official Lineup Logs,VERIFIED_1_HOUR_PRE_KICKOFF
2022-23,64,2023-01-12T20:00:00Z,Chelsea,9,False,Thiago Emiliano da Silva,DEF,1,90,FPL Official Lineup Logs,VERIFIED_1_HOUR_PRE_KICKOFF
2022-23,64,2023-01-12T20:00:00Z,Chelsea,9,False,Mateo Kovacic,MID,1,78,FPL Official Lineup Logs,VERIFIED_1_HOUR_PRE_KICKOFF
2022-23,64,2023-01-12T20:00:00Z,Chelsea,9,False,Kalidou Koulibaly,DEF,1,90,FPL Official Lineup Logs,VERIFIED_1_HOUR_PRE_KICKOFF
2022-23,64,2023-01-12T20:00:00Z,Chelsea,9,False,CÃ©sar Azpilicueta,DEF,1,90,FPL Official Lineup Logs,VERIFIED_1_HOUR_PRE_KICKOFF
2022-23,64,2023-01-12T20:00:00Z,Fulham,6,True,Tosin Adarabioyo,DEF,1,90,FPL Official Lineup Logs,VERIFIED_1_HOUR_PRE_KICKOFF
2022-23,64,2023-01-12T20:00:00Z,Fulham,6,True,Willian Borges da Silva,MID,1,82,FPL Official Lineup Logs,VERIFIED_1_HOUR_PRE_KICKOFF
2022-23,64,2023-01-12T20:00:00Z,Fulham,6,True,JoÃ£o Palhinha GonÃ§alves,MID,1,90,FPL Official Lineup Logs,VERIFIED_1_HOUR_PRE_KICKOFF
2022-23,64,2023-01-12T20:00:00Z,Fulham,6,True,Bernd Leno,GK,1,90,FPL Official Lineup Logs,VERIFIED_1_HOUR_PRE_KICKOFF
2022-23,64,2023-01-12T20:00:00Z,Fulham,6,True,Andreas Hoelgebaum Pereira,MID,1,90,FPL Official Lineup Logs,VERIFIED_1_HOUR_PRE_KICKOFF
2022-23,64,2023-01-12T20:00:00Z,Fulham,6,True,Tim Ream,DEF,1,90,FPL Official Lineup Logs,VERIFIED_1_HOUR_PRE_KICKOFF
2022-23,64,2023-01-12T20:00:00Z,Fulham,6,True,Kenny Tete,DEF,1,90,FPL Official Lineup Logs,VERIFIED_1_HOUR_PRE_KICKOFF
2022-23,64,2023-01-12T20:00:00Z,Fulham,6,True,Antonee Robinson,DEF,1,90,FPL Official Lineup Logs,VERIFIED_1_HOUR_PRE_KICKOFF
2022-23,64,2023-01-12T20:00:00Z,Fulham,6,True,Carlos VinÃ­cius Alves Morais,FWD,1,90,FPL Official Lineup Logs,VERIFIED_1_HOUR_PRE_KICKOFF
2022-23,64,2023-01-12T20:00:00Z,Fulham,6,True,Harrison Reed,MID,1,67,FPL Official Lineup Logs,VERIFIED_1_HOUR_PRE_KICKOFF
2022-23,64,2023-01-12T20:00:00Z,Fulham,6,True,Bobby De Cordova-Reid,MID,1,67,FPL Official Lineup Logs,VERIFIED_1_HOUR_PRE_KICKOFF
2022-23,65,2023-04-04T18:45:00Z,Leeds,16,True,Jack Harrison,MID,1,90,FPL Official Lineup Logs,VERIFIED_1_HOUR_PRE_KICKOFF
2022-23,65,2023-04-04T18:45:00Z,Leeds,16,True,Luis Sinisterra LucumÃ­,MID,1,73,FPL Official Lineup Logs,VERIFIED_1_HOUR_PRE_KICKOFF
2022-23,65,2023-04-04T18:45:00Z,Leeds,16,True,Luke Ayling,DEF,1,90,FPL Official Lineup Logs,VERIFIED_1_HOUR_PRE_KICKOFF
2022-23,65,2023-04-04T18:45:00Z,Leeds,16,True,Brenden Aaronson,MID,1,73,FPL Official Lineup Logs,VERIFIED_1_HOUR_PRE_KICKOFF
2022-23,65,2023-04-04T18:45:00Z,Leeds,16,True,Weston McKennie,MID,1,90,FPL Official Lineup Logs,VERIFIED_1_HOUR_PRE_KICKOFF
2022-23,65,2023-04-04T18:45:00Z,Leeds,16,True,Junior Firpo Adames,DEF,1,90,FPL Official Lineup Logs,VERIFIED_1_HOUR_PRE_KICKOFF
2022-23,65,2023-04-04T18:45:00Z,Leeds,16,True,Robin Koch,DEF,1,90,FPL Official Lineup Logs,VERIFIED_1_HOUR_PRE_KICKOFF
2022-23,65,2023-04-04T18:45:00Z,Leeds,16,True,Illan Meslier,GK,1,90,FPL Official Lineup Logs,VERIFIED_1_HOUR_PRE_KICKOFF
2022-23,65,2023-04-04T18:45:00Z,Leeds,16,True,Patrick Bamford,FWD,1,90,FPL Official Lineup Logs,VERIFIED_1_HOUR_PRE_KICKOFF
2022-23,65,2023-04-04T18:45:00Z,Leeds,16,True,Pascal Struijk,DEF,1,90,FPL Official Lineup Logs,VERIFIED_1_HOUR_PRE_KICKOFF
2022-23,65,2023-04-04T18:45:00Z,Leeds,16,True,Marc Roca JunquÃ©,MID,1,90,FPL Official Lineup Logs,VERIFIED_1_HOUR_PRE_KICKOFF
2022-23,65,2023-04-04T18:45:00Z,Nott'm Forest,11,False,Brennan Johnson,FWD,1,90,FPL Official Lineup Logs,VERIFIED_1_HOUR_PRE_KICKOFF
2022-23,65,2023-04-04T18:45:00Z,Nott'm Forest,11,False,Keylor Navas,GK,1,90,FPL Official Lineup Logs,VERIFIED_1_HOUR_PRE_KICKOFF
2022-23,65,2023-04-04T18:45:00Z,Nott'm Forest,11,False,Emmanuel Dennis,FWD,1,70,FPL Official Lineup Logs,VERIFIED_1_HOUR_PRE_KICKOFF
2022-23,65,2023-04-04T18:45:00Z,Nott'm Forest,11,False,Orel Mangala,MID,1,55,FPL Official Lineup Logs,VERIFIED_1_HOUR_PRE_KICKOFF
2022-23,65,2023-04-04T18:45:00Z,Nott'm Forest,11,False,Danilo dos Santos de Oliveira,MID,1,55,FPL Official Lineup Logs,VERIFIED_1_HOUR_PRE_KICKOFF
2022-23,65,2023-04-04T18:45:00Z,Nott'm Forest,11,False,Morgan Gibbs-White,MID,1,71,FPL Official Lineup Logs,VERIFIED_1_HOUR_PRE_KICKOFF
2022-23,65,2023-04-04T18:45:00Z,Nott'm Forest,11,False,Harry Toffolo,DEF,1,90,FPL Official Lineup Logs,VERIFIED_1_HOUR_PRE_KICKOFF
2022-23,65,2023-04-04T18:45:00Z,Nott'm Forest,11,False,Moussa NiakhatÃ©,DEF,1,90,FPL Official Lineup Logs,VERIFIED_1_HOUR_PRE_KICKOFF
2022-23,65,2023-04-04T18:45:00Z,Nott'm Forest,11,False,Neco Williams,DEF,1,90,FPL Official Lineup Logs,VERIFIED_1_HOUR_PRE_KICKOFF
2022-23,65,2023-04-04T18:45:00Z,Nott'm Forest,11,False,Felipe Augusto de Almeida Monteiro,DEF,1,90,FPL Official Lineup Logs,VERIFIED_1_HOUR_PRE_KICKOFF
2022-23,65,2023-04-04T18:45:00Z,Nott'm Forest,11,False,Remo Freuler,MID,1,63,FPL Official Lineup Logs,VERIFIED_1_HOUR_PRE_KICKOFF
2022-23,66,2023-04-04T18:45:00Z,Aston Villa,10,False,Alexandre Moreno Lopera,DEF,1,84,FPL Official Lineup Logs,VERIFIED_1_HOUR_PRE_KICKOFF
2022-23,66,2023-04-04T18:45:00Z,Aston Villa,10,False,Emiliano BuendÃ­a Stati,MID,1,90,FPL Official Lineup Logs,VERIFIED_1_HOUR_PRE_KICKOFF
2022-23,66,2023-04-04T18:45:00Z,Aston Villa,10,False,Ezri Konsa Ngoyo,DEF,1,90,FPL Official Lineup Logs,VERIFIED_1_HOUR_PRE_KICKOFF
2022-23,66,2023-04-04T18:45:00Z,Aston Villa,10,False,Ollie Watkins,FWD,1,90,FPL Official Lineup Logs,VERIFIED_1_HOUR_PRE_KICKOFF
2022-23,66,2023-04-04T18:45:00Z,Aston Villa,10,False,Jacob Ramsey,MID,1,78,FPL Official Lineup Logs,VERIFIED_1_HOUR_PRE_KICKOFF
2022-23,66,2023-04-04T18:45:00Z,Aston Villa,10,False,John McGinn,MID,1,90,FPL Official Lineup Logs,VERIFIED_1_HOUR_PRE_KICKOFF
2022-23,66,2023-04-04T18:45:00Z,Aston Villa,10,False,Tyrone Mings,DEF,1,90,FPL Official Lineup Logs,VERIFIED_1_HOUR_PRE_KICKOFF
2022-23,66,2023-04-04T18:45:00Z,Aston Villa,10,False,Emiliano MartÃ­nez Romero,GK,1,90,FPL Official Lineup Logs,VERIFIED_1_HOUR_PRE_KICKOFF
2022-23,66,2023-04-04T18:45:00Z,Aston Villa,10,False,Douglas Luiz Soares de Paulo,MID,1,90,FPL Official Lineup Logs,VERIFIED_1_HOUR_PRE_KICKOFF
2022-23,66,2023-04-04T18:45:00Z,Aston Villa,10,False,Leon Bailey,MID,1,84,FPL Official Lineup Logs,VERIFIED_1_HOUR_PRE_KICKOFF
2022-23,66,2023-04-04T18:45:00Z,Aston Villa,10,False,Ashley Young,DEF,1,84,FPL Official Lineup Logs,VERIFIED_1_HOUR_PRE_KICKOFF
2022-23,66,2023-04-04T18:45:00Z,Leicester,2,True,Nampalys Mendy,MID,1,90,FPL Official Lineup Logs,VERIFIED_1_HOUR_PRE_KICKOFF
2022-23,66,2023-04-04T18:45:00Z,Leicester,2,True,Wilfred Ndidi,MID,1,90,FPL Official Lineup Logs,VERIFIED_1_HOUR_PRE_KICKOFF
2022-23,66,2023-04-04T18:45:00Z,Leicester,2,True,Kiernan Dewsbury-Hall,MID,1,69,FPL Official Lineup Logs,VERIFIED_1_HOUR_PRE_KICKOFF
2022-23,66,2023-04-04T18:45:00Z,Leicester,2,True,Wout Faes,DEF,1,90,FPL Official Lineup Logs,VERIFIED_1_HOUR_PRE_KICKOFF
2022-23,66,2023-04-04T18:45:00Z,Leicester,2,True,Harry Souttar,DEF,1,90,FPL Official Lineup Logs,VERIFIED_1_HOUR_PRE_KICKOFF
2022-23,66,2023-04-04T18:45:00Z,Leicester,2,True,Daniel Iversen,GK,1,90,FPL Official Lineup Logs,VERIFIED_1_HOUR_PRE_KICKOFF
2022-23,66,2023-04-04T18:45:00Z,Leicester,2,True,Victor Kristiansen,DEF,1,90,FPL Official Lineup Logs,VERIFIED_1_HOUR_PRE_KICKOFF
2022-23,66,2023-04-04T18:45:00Z,Leicester,2,True,Harvey Barnes,MID,1,90,FPL Official Lineup Logs,VERIFIED_1_HOUR_PRE_KICKOFF
2022-23,66,2023-04-04T18:45:00Z,Leicester,2,True,Jamie Vardy,FWD,1,75,FPL Official Lineup Logs,VERIFIED_1_HOUR_PRE_KICKOFF
2022-23,66,2023-04-04T18:45:00Z,Leicester,2,True,Timothy Castagne,DEF,1,90,FPL Official Lineup Logs,VERIFIED_1_HOUR_PRE_KICKOFF
2022-23,66,2023-04-04T18:45:00Z,Leicester,2,True,James Maddison,MID,1,84,FPL Official Lineup Logs,VERIFIED_1_HOUR_PRE_KICKOFF
2022-23,67,2023-03-01T20:00:00Z,Liverpool,20,True,Alisson Ramses Becker,GK,1,90,FPL Official Lineup Logs,VERIFIED_1_HOUR_PRE_KICKOFF
2022-23,67,2023-03-01T20:00:00Z,Liverpool,20,True,Ibrahima KonatÃ©,DEF,1,90,FPL Official Lineup Logs,VERIFIED_1_HOUR_PRE_KICKOFF
2022-23,67,2023-03-01T20:00:00Z,Liverpool,20,True,Diogo Teixeira da Silva,FWD,1,75,FPL Official Lineup Logs,VERIFIED_1_HOUR_PRE_KICKOFF
2022-23,67,2023-03-01T20:00:00Z,Liverpool,20,True,Trent Alexander-Arnold,DEF,1,89,FPL Official Lineup Logs,VERIFIED_1_HOUR_PRE_KICKOFF
2022-23,67,2023-03-01T20:00:00Z,Liverpool,20,True,Mohamed Salah,MID,1,90,FPL Official Lineup Logs,VERIFIED_1_HOUR_PRE_KICKOFF
2022-23,67,2023-03-01T20:00:00Z,Liverpool,20,True,Fabio Henrique Tavares,MID,1,90,FPL Official Lineup Logs,VERIFIED_1_HOUR_PRE_KICKOFF
2022-23,67,2023-03-01T20:00:00Z,Liverpool,20,True,Konstantinos Tsimikas,DEF,1,90,FPL Official Lineup Logs,VERIFIED_1_HOUR_PRE_KICKOFF
2022-23,67,2023-03-01T20:00:00Z,Liverpool,20,True,Harvey Elliott,MID,1,90,FPL Official Lineup Logs,VERIFIED_1_HOUR_PRE_KICKOFF
2022-23,67,2023-03-01T20:00:00Z,Liverpool,20,True,Stefan Bajcetic,MID,1,78,FPL Official Lineup Logs,VERIFIED_1_HOUR_PRE_KICKOFF
2022-23,67,2023-03-01T20:00:00Z,Liverpool,20,True,Virgil van Dijk,DEF,1,90,FPL Official Lineup Logs,VERIFIED_1_HOUR_PRE_KICKOFF
2022-23,67,2023-03-01T20:00:00Z,Liverpool,20,True,Darwin NÃºÃ±ez Ribeiro,FWD,1,88,FPL Official Lineup Logs,VERIFIED_1_HOUR_PRE_KICKOFF
2022-23,67,2023-03-01T20:00:00Z,Wolves,12,False,Hugo Bueno LÃ³pez,DEF,1,23,FPL Official Lineup Logs,VERIFIED_1_HOUR_PRE_KICKOFF
2022-23,67,2023-03-01T20:00:00Z,Wolves,12,False,Mario Lemina,MID,1,90,FPL Official Lineup Logs,VERIFIED_1_HOUR_PRE_KICKOFF
2022-23,67,2023-03-01T20:00:00Z,Wolves,12,False,Craig Dawson,DEF,1,90,FPL Official Lineup Logs,VERIFIED_1_HOUR_PRE_KICKOFF
2022-23,67,2023-03-01T20:00:00Z,Wolves,12,False,Max Kilman,DEF,1,90,FPL Official Lineup Logs,VERIFIED_1_HOUR_PRE_KICKOFF
2022-23,67,2023-03-01T20:00:00Z,Wolves,12,False,RaÃºl JimÃ©nez,FWD,1,78,FPL Official Lineup Logs,VERIFIED_1_HOUR_PRE_KICKOFF
2022-23,67,2023-03-01T20:00:00Z,Wolves,12,False,JosÃ© Malheiro de SÃ¡,GK,1,90,FPL Official Lineup Logs,VERIFIED_1_HOUR_PRE_KICKOFF
2022-23,67,2023-03-01T20:00:00Z,Wolves,12,False,Matheus Luiz Nunes,MID,1,63,FPL Official Lineup Logs,VERIFIED_1_HOUR_PRE_KICKOFF
2022-23,67,2023-03-01T20:00:00Z,Wolves,12,False,RÃºben da Silva Neves,MID,1,90,FPL Official Lineup Logs,VERIFIED_1_HOUR_PRE_KICKOFF
2022-23,67,2023-03-01T20:00:00Z,Wolves,12,False,Pablo Sarabia,MID,1,45,FPL Official Lineup Logs,VERIFIED_1_HOUR_PRE_KICKOFF
2022-23,67,2023-03-01T20:00:00Z,Wolves,12,False,NÃ©lson Cabral Semedo,DEF,1,90,FPL Official Lineup Logs,VERIFIED_1_HOUR_PRE_KICKOFF
2022-23,67,2023-03-01T20:00:00Z,Wolves,12,False,JoÃ£o Filipe Iria Santos Moutinho,MID,1,63,FPL Official Lineup Logs,VERIFIED_1_HOUR_PRE_KICKOFF
2022-23,68,2023-01-19T20:00:00Z,Man City,18,True,Rodrigo Hernandez,MID,1,90,FPL Official Lineup Logs,VERIFIED_1_HOUR_PRE_KICKOFF
2022-23,68,2023-01-19T20:00:00Z,Man City,18,True,Jack Grealish,MID,1,90,FPL Official Lineup Logs,VERIFIED_1_HOUR_PRE_KICKOFF
2022-23,68,2023-01-19T20:00:00Z,Man City,18,True,Erling Haaland,FWD,1,89,FPL Official Lineup Logs,VERIFIED_1_HOUR_PRE_KICKOFF
