player_id,player,club,pos,price,gw1_xp,gw2_xp,delta,attack_delta,defence_delta,style_delta,sp_delta
152,Marco Palestra,Chelsea,DEF,5.5,3.66,4.1,0.44,0.17,0.26,0.21,-0.01
154,Cole Palmer,Chelsea,MID,9.5,7.6,7.8,0.2,0.26,-0.15,0.15,0.0
155,Enzo Fernández,Chelsea,MID,7.0,5.36,5.65,0.29,0.34,0.2,-0.19,0.13
156,Pedro Lomba Neto,Chelsea,MID,6.5,4.76,4.61,-0.15,0.01,0.05,-0.05,-0.13
157,Estêvão Almeida de Oliveira Gonçalves,Chelsea,MID,6.5,4.91,4.85,-0.06,0.21,-0.3,-0.08,-0.03
158,Jamie Bynoe-Gittens,Chelsea,MID,6.0,4.62,4.81,0.19,0.29,-0.09,-0.08,0.07
159,Moisés Caicedo Corozo,Chelsea,MID,5.5,4.43,3.99,-0.44,-0.19,-0.03,-0.18,-0.1
161,Roméo Lavia,Chelsea,MID,5.0,4.29,4.29,0.0,-0.06,0.25,-0.07,0.02
163,Dário Luís Essugo,Chelsea,MID,4.5,3.72,3.47,-0.25,-0.34,0.1,-0.16,0.14
164,Geovany Quenda,Chelsea,MID,5.5,4.5,4.6,0.1,-0.06,-0.25,0.25,0.0
165,João Pedro Junqueira de Jesus,Chelsea,FWD,7.6,5.16,4.95,-0.21,-0.3,0.15,-0.15,0.12
166,Nicolas Jackson,Chelsea,FWD,6.5,4.58,4.3,-0.28,-0.22,-0.28,-0.01,0.02
168,Marc Guiu Paz,Chelsea,FWD,5.0,4.13,4.26,0.13,0.19,-0.03,0.01,-0.02
169,Shumaira Mheuka,Chelsea,FWD,4.5,4.28,4.18,-0.1,0.04,-0.21,-0.16,0.11
170,Emmanuel Emegha,Chelsea,FWD,5.0,3.87,3.78,-0.09,-0.09,-0.14,0.07,-0.03
200,Maxence Lacroix,Chelsea,DEF,6.0,3.96,3.76,-0.2,-0.24,0.13,0.08,-0.14
560,Mike Penders,Chelsea,GK,4.5,3.68,3.21,-0.47,-0.19,0.1,-0.24,-0.12
561,Aaron Anselmino,Chelsea,DEF,4.5,3.29,2.89,-0.4,-0.23,0.09,-0.13,-0.12
568,Valentín Barco,Chelsea,MID,5.5,4.55,4.9,0.35,0.16,0.21,0.17,-0.03
578,Mykhailo Mudryk,Chelsea,MID,5.5,4.14,3.97,-0.17,-0.21,-0.12,0.2,-0.15
583,Pep Chavarría,Chelsea,DEF,5.0,3.64,3.23,-0.41,-0.2,-0.28,-0.16,0.02
91,Ethan Pinnock,Coventry City,DEF,4.5,3.39,3.53,0.14,0.27,0.19,-0.08,-0.07
104,Frank Onyeka,Coventry City,MID,5.0,4.24,4.26,0.02,0.06,-0.14,0.06,-0.03
110,Carl Rushworth,Coventry City,GK,4.5,3.22,3.44,0.22,-0.04,-0.12,0.22,0.08
171,Oliver Dovin,Coventry City,GK,4.0,3.2,3.69,0.49,0.26,-0.01,0.2,0.09
172,Ben Wilson,Coventry City,GK,4.5,3.3,3.04,-0.26,-0.33,-0.14,0.02,0.04
173,Bobby Thomas,Coventry City,DEF,4.0,3.02,3.15,0.13,-0.25,0.2,0.24,0.01
174,Liam Kitching,Coventry City,DEF,4.0,3.3,3.16,-0.14,-0.16,-0.29,0.21,-0.11
175,Milan van Ewijk,Coventry City,DEF,4.0,3.04,3.1,0.06,-0.16,0.03,0.08,0.1
176,Jay Dasilva,Coventry City,DEF,4.0,3.32,3.27,-0.05,-0.34,-0.22,0.2,0.11
177,Kaine Kesler-Hayden,Coventry City,DEF,4.0,3.19,3.25,0.06,0.07,0.1,-0.16,0.12
178,Jake Bidwell,Coventry City,DEF,4.0,3.42,3.03,-0.39,-0.08,0.01,-0.23,-0.1
179,Joel Latibeaudiere,Coventry City,DEF,4.0,3.1,2.73,-0.37,-0.29,0.06,-0.13,-0.03
180,Luke Woolfenden,Coventry City,DEF,4.0,3.23,3.12,-0.11,-0.1,0.13,-0.1,0.02
181,Miguel Brau,Coventry City,DEF,4.0,2.92,3.14,0.22,0.11,0.26,0.12,-0.09
182,Aurèle Amenda,Coventry City,DEF,4.0,3.32,2.99,-0.33,-0.17,0.06,-0.22,-0.0
183,Jack Rudoni,Coventry City,MID,5.0,4.36,4.0,-0.36,-0.12,0.16,-0.2,-0.13
184,Matt Grimes,Coventry City,MID,5.0,4.42,4.35,-0.07,-0.0,0.11,-0.03,-0.08
185,Tatsuhiro Sakamoto,Coventry City,MID,5.0,4.1,4.24,0.14,0.21,0.12,-0.11,0.03
186,Ephron Mason-Clark,Coventry City,MID,5.5,4.39,4.22,-0.17,-0.29,0.25,-0.18,0.14
187,Josh Eccles,Coventry City,MID,5.0,4.41,4.51,0.1,-0.22,0.03,0.19,0.07
188,Victor Torp,Coventry City,MID,5.5,4.42,4.65,0.23,0.11,0.12,0.17,-0.08
189,George Shepherd,Coventry City,MID,4.5,4.11,4.15,0.04,-0.2,0.29,0.22,-0.14
190,Loum Tchaouna,Coventry City,MID,5.5,4.1,4.41,0.31,0.3,-0.19,0.03,0.12
191,Raphael Borges Rodrigues,Coventry City,MID,4.5,4.28,4.69,0.41,0.14,-0.12,0.21,0.14
192,Kai Andrews,Coventry City,MID,4.5,4.2,4.39,0.19,-0.02,0.22,0.17,-0.05
193,Haji Wright,Coventry City,FWD,5.5,4.13,3.66,-0.47,-0.32,0.06,-0.13,-0.11
194,Brandon Thomas-Asante,Coventry City,FWD,5.0,4.07,4.12,0.05,0.14,-0.1,0.11,-0.13
195,Ellis Simms,Coventry City,FWD,5.0,4.47,4.51,0.04,0.03,0.17,-0.09,0.04
196,Jahnoah Markelo,Coventry City,FWD,5.0,3.86,3.73,-0.13,0.08,-0.16,-0.24,0.11
197,Norman Bassette,Coventry City,FWD,4.5,4.32,4.85,0.53,0.26,0.02,0.22,0.09
492,Taiwo Awoniyi,Coventry City,FWD,5.5,4.52,4.44,-0.08,-0.1,0.16,-0.05,-0.01
575,Caleb Yirenkyi,Coventry City,MID,5.0,4.14,4.57,0.43,0.26,0.29,0.13,-0.02
584,Gustavo Hamer,Coventry City,MID,5.5,4.28,4.12,-0.16,0.17,-0.16,-0.19,-0.04
599,Sidiki Cherif,Coventry City,FWD,5.0,4.54,3.99,-0.55,-0.14,-0.16,-0.23,-0.14
42,Evann Guessand,Crystal Palace,MID,5.5,4.74,4.68,-0.06,-0.05,-0.07,0.09,-0.08
153,Axel Disasi,Crystal Palace,DEF,4.5,3.78,3.91,0.13,0.2,-0.25,-0.04,0.11
198,Dean Henderson,Crystal Palace,GK,5.0,3.51,3.5,-0.01,-0.02,0.07,-0.17,0.15
199,Walter Benítez,Crystal Palace,GK,4.5,3.28,3.61,0.33,0.31,0.09,0.05,0.0
201,Daniel Muñoz Mejía,Crystal Palace,DEF,5.5,3.83,3.5,-0.33,-0.23,-0.17,-0.16,0.08
202,Chris Richards,Crystal Palace,DEF,5.0,4.05,4.23,0.18,-0.31,0.28,0.19,0.13
203,Jaydee Canvot,Crystal Palace,DEF,5.0,3.46,3.44,-0.02,-0.23,-0.06,0.13,0.06
204,Tyrick Mitchell,Crystal Palace,DEF,4.5,3.54,3.52,-0.02,0.22,-0.17,-0.14,0.01
205,Borna Sosa,Crystal Palace,DEF,4.5,3.21,3.28,0.07,0.06,-0.25,0.19,-0.07
206,Chadi Riad Dnanou,Crystal Palace,DEF,4.5,3.58,4.17,0.59,0.27,0.27,0.18,0.09
207,Oscar Mingueza,Crystal Palace,DEF,4.5,3.3,3.14,-0.16,0.04,-0.25,-0.05,-0.04
208,Ismaïla Sarr,Crystal Palace,MID,6.4,4.96,4.8,-0.16,0.16,-0.0,-0.21,-0.08
210,Adam Wharton,Crystal Palace,MID,5.5,4.49,4.32,-0.17,-0.3,0.21,-0.0,-0.01
211,Yéremy Pino Santos,Crystal Palace,MID,5.5,4.27,4.53,0.26,0.23,-0.09,0.09,0.02
212,Will Hughes,Crystal Palace,MID,4.5,4.23,4.71,0.48,0.27,0.18,0.08,0.11
213,Jefferson Lerma Solís,Crystal Palace,MID,5.0,4.28,4.63,0.35,0.15,0.2,0.1,0.05
214,Daichi Kamada,Crystal Palace,MID,5.0,3.87,4.23,0.36,0.18,-0.2,0.19,0.11
215,Justin Devenny,Crystal Palace,MID,5.0,3.96,4.05,0.09,0.23,-0.22,-0.08,0.07
216,Romain Esse,Crystal Palace,MID,5.0,4.05,4.16,0.11,0.22,0.2,0.0,-0.15
217,Matheus França de Oliveira,Crystal Palace,MID,5.0,4.29,4.47,0.18,0.08,0.29,0.07,-0.07
218,Cheick Doucouré,Crystal Palace,MID,5.0,4.23,4.2,-0.03,0.03,0.17,-0.2,0.08
219,Jesurun Rak-Sakyi,Crystal Palace,MID,5.0,3.92,4.34,0.42,0.32,-0.09,0.07,0.13
220,Rio Cardines,Crystal Palace,DEF,4.5,3.62,3.63,0.01,0.31,0.11,-0.22,-0.06
221,Joél Drakes-Thomas,Crystal Palace,MID,4.5,3.65,3.39,-0.26,-0.3,0.05,-0.08,0.04
222,Jørgen Strand Larsen,Crystal Palace,FWD,6.0,4.39,5.01,0.62,0.26,0.28,0.23,0.07
223,Jean-Philippe Mateta,Crystal Palace,FWD,6.5,4.87,4.61,-0.26,0.18,-0.29,-0.24,-0.05
